NUM, PINYIN, EXPECTED
1,ngo5giu3,我叫
2,ngo5aa4,我呀
3,cat1sap6cat1sap6luk6mai6cat1sap6cat1gaa3laa3gam1nin4,七十七十六咪七十七架啦今年
4,ngo5nguk1kei2aa4jau5jau5zai2laa1jau5neoi2laa1,我屋企呀有仔啦有女啦
5,jau1san1pou2laa1jau5neoi5sai3laa1jau6jau5syun1laa1,有新抱啦有女婿啦又有孫啦
6,naam4syun1neoi5syun1dou1jau5laa1,男孫女孫都有啦
7,hou2hoi1sam1gaa3ngo5dei6nguk1kei2,好開心架我地屋企
8,hai6aa3hou2hoi1sam1hai6laa3,係呀好開心係喇
9,di1di1zai2neoi2aa3tung4maai4di1syun1aa3dou1hou2hou2hou2haau3ji6ngo5,啲啲仔女啊同埋啲孫呀都好好好孝義我
10,so2ji3ngo5hou2hoi1sam1,所以我好開心
11,gam2ngo5jau5si4gan1heoi3zik1hai6go2di1zoeng2ze2zung1sam1go2dou6waan2ge3,咁我有時跟去即係嗰啲長者中心嗰度玩嘅
12,gam2ngo5jau6jau5heoi3hok6haa5coeng3go1zai2aa3,咁我又有去學下唱歌仔啊
13,teng1di1jan4zau6gong2gu3si6aa3gam2lo1,聽啲人講故事呀咁囉
14,gam2ngo5dei6ge3jat6soeng4sang1wut6dou1gei2hoi1sam1,咁我地嘅日常生活都幾開心
15,gam2joeng2lo1,咁樣囉
16,aa3go1zau6ji3ging1m4zoi6laa3,阿哥就已經唔在喇
17,jau5go3daai6sou2zau6zung6hai2dou6,有一個大嫂就仲喺度
18,gam2zau6zik1hai6ngo5ngo5dei6sei3sei3hing1dai6zi2mui6ge3ngo5hai6zeoi3sai3laa3,咁就即係我我地四四兄弟姊妹嘅我係最細喇
19,gam2zau6jau5loeng3go3aa3go1jau5go3gaa1ze1gam2ngo5zau6zeoi3sai3,咁就有兩個阿哥有個家姐咁我就最細
20,gam2daan6hai6ne1keoi5dei6go2di1zing6faan1aa3daai6go1m4hai2dou6laa3ji6go2ji6sou2dou1m4hai2dou6laa3,咁但係呢佢地嗰啲剩翻阿阿大哥唔係度喇二哥二嫂都唔係度喇
21,gam2zing6hai6ji4gaa1zing6faan1ngo5daai6sou2tung4ngo5loeng3gu1sou2,咁淨係而家剩翻我大嫂同我倆姑嫂
22,seng4jat6ngo5dei6dou1jau5gin3min6jau5si4heoi3jam2caa4,成日我地都有見面有時去飲茶
23,gam2zau6jau5di1zat6zai2zau6daai3maai4ngo5heoi3jam2caa4lo1,咁咪有啲姪仔就帶埋我去飲茶囉
24,gam2daan6hai6di1ngo5dei6di1zai2neoi2ne1gam2keoi5dei6zau6go3go3lai3baai3dou1wui3joek6ngo5heoi3sik6faan6aa3jam2caa4aa3gam2lo1,咁但係啲我地啲仔女呢咁佢地就個個禮拜都會約我去食飯啊飲茶啊咁囉
25,jau5si4zung1sam1heoi3waan2ne1ngo5zau6wui5gan1maai4zung1sam1heoi3waan2gaa3laa3,有時中心去玩呢我就會跟埋中心去玩架喇
26,so2ji3ngo5ge3sang1wut3dou1gei2hou2ge3ngo5ngo5dou1hou2mun3ji3ngo5zi6gei2ji4gaa1gei2sap6seoi3gam2gam2ge3sang1wut6waan4ging2ngo5dou1hou2mun3ji3laa3,所以我嘅生活都幾好嘅我我都好滿意我自己而家幾十歲咁咁嘅生活環境我都好滿意啊
27,gam2so2ji3ngo5hai6hou2hoi1sam1lo1jan1wai6jan1wai6di1di1siu2pang4jau5dou1ji3ging1daai6saai3laa1maa3,咁所以我係好開心囉因為因為啲啲小朋友都已經大嗮啦嘛
28,gam2go2di1ngo5ngo5waa6m5go3syun1laa3noi6noi6ngoi6ngoi6haa2,咁嗰啲我話五個孫喇內內外外吓
29,sei3go3sei3go3naam4syun1jat1go3neoi3syun1,四個四個男孫一個女孫
30,gam2keoi5dei6dou1hou2gwaai1,咁佢地都好乖
31,gam2ngo5ngo5gin3dou2go2di1syun1zai2ne1ngo5zau6hou2hoi1sam1gaa3laa3,咁我我見到嗰啲孫仔呢我就好開心架喇
32,gam2so2ji3ngo5ngo5hai6dou1mou5mat1je5waa6m4m4hoi1sam1gaa3,咁所以我我係都無乜野話唔唔唔開心架
33,kei4sat6zou6jan4hai6jiu3hoi1hoi1sam1sam1,其實做人係要開開心心
34,jau5je5jau5mat1je5je5ne1zau6m4hou2dang2hai2go3sam1go2dou6,有野有乜野野呢就唔好躉喺個心嗰度
35,ho2ji3tung4jan4di1lou6jau5gei3king1sou3ge3dou1king1haa2gai2dou1hou2hoi1sam1,可以同人啲老友記傾訴嘅都傾下計都好開心
36,gam2zi6gei2zau6m4sai2gam3san1fu2lo1gam2so2ji3ngo5hou2do1hou2pang4jau5,咁自己就唔洗咁辛苦囉咁所以我好多好朋友
37,zan1gaa3,真架
38,hai6mai6aa3hai6aa3zan1gaa3ni1joeng6je5so2ji3ngo5gong2haa5bei2nei5teng1zan1hai6di1lou6jau5gei3hou2hou2gaa3,係咪呀係呀真架呢樣野所以我講下俾你聽真係啲老友記好好架
39,ngo5dei6kam4jat6sin1zi3heoi3hoeng1gong2zai2waan2zo2jat1jat6,我地尋日先至去香港仔玩咗一日
40,zung1sam1heoi3leoi5hang4aa3,中心去旅行啊
41,gam2zau6heoi3go2dou6heoi3hoi2sin1fong2go2dou6sik6ngaan3,咁就去嗰度去海鮮舫嗰度食晏
42,gam2zau6jau5di1jan4hai2dou6coeng3go1aa3tiu3mou3aa3gam2ngo5dei6zau6m4coeng3laa3,咁就有啲人喺度唱歌啊跳舞啊咁我地就唔唱喇
43,gam2zau6teng1haa2jan4dei6coeng3lo1,咁就聽下人地唱囉
44,hai6aa3ngo5ngo5mou5heoi3coeng3gan1bun2ngo5dei6dou1ho2ji3coeng3haa3go1zai2bat1gwo3m4heoi3laa1jan1wai6jan4taai3do1bei2di1hau6saang1ge3heoi3coeng3haa2ngo5dei6dou1coeng3zo2gam3do1nin4lo3,哈哈係呀我我冇去唱根本我地都可以唱下歌仔不過唔去啦因為人太多俾啲後生嘅去唱下我地都唱咗咁多年咯
45,so2ji3ngo5zau6zung1ji3teng1haa5di1hau6saang1coeng3go1zai2,所以我就鍾意聽下啲後生唱歌仔
46,ngo5dai6jat1dai6jat1zyu6ge3hai2hou2noi6zi1cin4laa3hai2zyu6ge3,我第一第一住嘅喺好耐之前喇喺住嘅
47,hou2noi6laa3go2zan6si2zik1hai6co1co1git3fan1aa3hai2go2dou6zyu6,好耐啦嗰陣時即係初初結婚啊喺嗰度住
48,ngo5ngo5ngo5hai2hoeng1haa2ceot1sai3gaa3,我我喺鄉下出世架
49,hoeng1haa2zik1hai6,鄉下即係
50,ngo5dei6hoeng1haa2zau6hai6,我地鄉下就係
51,gam2joeng2lo1jan1wai6lau1mei1ngo5ngo5dei6go2di1siu2pang4jau5zau6ceot1zo2lei4hoeng1gong2wan2sik6laa3gam2gam2go2zan6si2lau1mei1dou1ho2ji3bei2ngo5dei6ngo5dei6heoi3hai2hoeng1haa2go2di1nung4wui2go2dou6aa3zik1hai6go2di1waa6si6jan4ge3gam2ngo5dei6san1cing2lok6lei4hoeng1gong2,咁樣囉因為留尾我地嗰啲小朋友就出咗黎香港揾食啊咁咁果陣時留尾都可以俾我地我地去喺鄉下嗰啲農會嗰度啊即係嗰啲話事人嘅咁我地申請落黎香港
52,so2ji3ngo5tung4ngo5maa1maa1zau6san1cing2lok6lei4hoeng1gong2zau6gan1faan1ngo5dei6aa3daai6go1laa3,所以我同我媽媽就申請落黎香港就跟翻我地啊大哥喇
53,gam2so2ji3zau6dou3ji4gaa1ngo5dei6dou1hou2siu2faan1hoeng1haa2laa3,咁所以就到而家我地都好少返鄉下喇
54,hoeng1haa2go2di1go2di1nguk1ne1zyu6gan2go2gaan1ne1dou1jan1wai6nei5dou1jiu3jau5jan4tai2zyu6gaa1maa3gaan1nguk1so2ji3jiu3sung3zo2bei2go2go3pang4jau2laa1,鄉下嗰啲屋呢住緊嗰間呢都因為你都要有人睇住架嘛間屋所以送咗俾果個朋友喇
55,gam2joeng1lo1gam2zik1hai6jan4dei6mou5dei6fong1zyu6sin1zi3tung4nei5hon1mun4hau2ze1,咁樣囉咁即係人地無地方住先至同你看門口姐
56,gam2bat1jyu4sung3zo2bei2keoi5gam2keoi5daa2lei3dak1hou2hou2,咁不如送咗俾佢咁佢打理得好好
57,gam2ngo5dei6mai6hou2syu1fuk6lo1,咁我地咪好舒服囉
