NUM, PINYIN, EXPECTED
4,sei3sap6ling4seoi3aa3sei3sap6luk6seoi3dou3laa1,四十零歲呀四十六歲到啦
5,jau5taai3taai3laa1jat1go3zai2laa1tung4maai4gung1jan4lo1,有太太啦一個仔啦同埋工人囉
6,ngo5hai6zeoi3daai6ge3,我係最大嘅
7,hoeng1gong2ceot1sai3,香港出世
9,zyu6zo2sap6jat1nin4dou3laa1,住咗十一年到啦
10,ng6,嗯
12,hai6lau4lai4ge3,係樓嚟嘅
13,mou5co3,冇錯
14,hai2zyu6zo2sap6sei3nin4dou3,喺住咗十四年到
15,zi1dou6,知道
16,baa4baa1hai2daai6luk6,爸爸喺大陸
17,maa4maa1hai2hoeng1gong2,媽媽喺香港
18,jan1wai6jiu3lai4hoeng1gong2wan2sik6,因為要嚟香港搵食
19,so2ji5ze1hai6hai2daai6luk6wan2m4dou3sik6zau6lai4heong1gong2,所以啫係喺大陸搵唔到食就嚟香港
20,zau6ze1hai6saang1wut6lo1gam2gaa3,就啫係生活囉咁㗎
21,ng6ng6,嗯嗯
23,dou1jau5ge3,都有嘅
24,jan1wai6ji5cin4keoi5uk1kei5hou2kung4,因為以前佢屋企好窮
25,zau6zoeng1keoi5zi6gei2uk1kei5jan4zoeng1keoi5maai6zo2heoi3dai6ji6dou6,就將佢自己屋企人將佢自己賣咗賣咗去第二度
26,maai6zo2heoi3dai6ji6gaa1jan4,賣咗去第二家人
27,dai6ji6gaa1jan4zau6hoi1ci2ze1hai6dong1jin4keoi5zi6gei2hai6hou2jau5cin4ge3hou2jau5cin4ge3go2gaa1jan4,第二家人就開始啫係當然佢自己係好有錢嘅好有錢嘅嗰家人
28,daan6hai6ne1zau6mut6lok6zo2zi1hau6zau6zi6gei2paau2lok6lai4hoeng1gong2,但係呢就末落咗之後就自己跑落嚟香港
29,gam2joeng6,咁樣
30,dong1jin4laa1nei5keoi5dei6lai4dou3hoeng1gong2wui5tau4haau3tau4kaau3keoi5go2go3aa3suk1,當然啦你佢地嚟到香港會投孝投靠佢嗰個阿叔
31,ji4dong1jin4go2si4san1fu2dong1jin4zau6jat1ding6san1fu2laa1mei6jau5san1fan6zing3zau6wan2m4dou3je5zou6ge3,而當然嗰時辛苦當然就一定辛苦啦未有身份證就搵唔到野做嘅
32,zau6hoi1ci2ling5dou3san1fan6zing3zi1hau6ne1sin1maan6maan6heoi3ceot1heoi3zi6gei2heoi3wan2wan2dou3zi6gei2go2ling6ngoi6jat1go3jat1go3tin1dei6,就開始領到身份證之後呢先慢慢去出去自己去搵搵到自己個另外一個一個天地
33,haa6gam2joeng6lo1ng6ng6,嗄咁樣囉嗯嗯
34,se5keoi1zing1san4ngo5zyu6go2keoi1ne1hai6jing1goi1hai6san1san1faat3zin2keoi1lai4ge3,社區精神我住嗰區呢係應該係新新發展區嚟嘅
35,gam2ji4gaa1joeng6joeng6je5dou1hoi1ci2go3pui3tou3ji5ging1hoi1ci2hoi1ci2jyun4sin6gaa3laa3,咁而家樣樣野都開始個配套已經開始開始完善㗎啦
36,haa6bei2ji5cin4ze1hai6zou6hoi1fong1ngau4go2si4ne1zang1hou2jyun5jan1wai6ngo5zyu6zo2ji5ging1sap6sei3nin4laa3,嗄比以前啫係做開荒牛嗰時呢爭好遠因為我住咗已經十四年啦
37,ze1hai6sap6sei3nin4zi1cin4ne1zan1hai6zan1hai6go3gaau1tung1ne1jyun4cyun4hai6jyun4cyun4hai6m4fong1bin6ge3,啫係十四年之前呢真係真係個交通呢完全運輸呢完全係完全係唔方便嘅
38,jau6mou5dei6tit3,又冇地鐵
39,ji4gaa1hoi1ci2jau5dei6tit3laa3zau6wui5bei2gaau3jyun4mei5jyun4sin6di1,而家開始有地鐵啦就會比較完美完善啲
40,gam2ze1hai6hoi1ci2go3faat3zin2go2go3zoeng1gwan1ou3keoi1faat3zin2ne1ji5ging1hoi1ci2maan6maan6heoi3zau2soeng5heoi3gan6zyu6si5keoi1go2go3wai6zi3laa3,咁啫係開始個發展嗰個將軍澳區發展呢已經開始慢慢去走上去近住市區嗰個位置啦
41,ng6ng6gam2joeng6lo1,嗯嗯咁樣囉
42,jing6sik1dong1jin4jing6sik1laa1ngo5hai2gaak3lei4leon4se3dou1wui5dou1wui5daai6gaa1dou1jau5daa2ziu1fu1aa3king1haa5gai2aa3gin3dou3min6daa2ziu1fu1aa3dou1dou1gei2wo4muk6haa6gam2joeng6lo1,認識當然認識啦我喺隔離鄰舍都會都會大家都有打招呼呀傾吓偈呀見到面打招呼呀都都幾和睦嗄咁樣囉
43,jau5si4wui5zeoi6maai4jat1cai4jan1wai6daai6gaa1dou1jau5jau5jau5jat1go3leon4geoi1dou1tung4ngo5jau5go3gung1zok3go3fo2bun6jau5jau5gwaan1hai6ge3,有時會聚埋一齊因為大家都有有有一個鄰居都同我有個工作個伙伴有有關係嘅
44,tung4maai4jau5di1leon4geoi1dou1seoi1jiu3ngo5jau5si4gaan3m4zung1jiu3bong1haa5sau2ge3,同埋有啲鄰居都需要我有時間唔中要幫吓手嘅
45,ze1hai6daai6gaa1dou1wu6soeng1bong1mong4,啫係大家都互相幫忙
46,kei4sat6dou1daai6gaa1dou1gwaan1hai6dou1hou2loeng4hou2ge3,其實都大家都關係都好良好嘅
47,mou5man6tai4,冇問題
48,ngo5zau6mei6cang4si3gwo3daan6hai6jau5leon4geoi1si3gwo3jiu3ngo5dei6heoi3bong1sau2,我就未曾試過但係有鄰居試過要我地去幫手
49,jan1wai6jau5go3leon4geoi1go3taai3taai3zau6wan2m4dou3keoi5sin1saang1,因為有個鄰居個太太就搵唔到佢先生
50,so2ji5daa2din6waa6lai4hoeng3ngo5dei6uk1kei5ze1hai6hoeng3ngo5kau4gau3laa3man6ngo5heoi3bong1keoi5paak3haa5mun4laa1man6haa5tai2haa5keoi5hai2m4hai2uk1kei5aa3dou1soeng4si3gwo4gam2joeng6zou6,所以打電話嚟向我地屋企啫係向我求救啦問我去幫佢拍吓門啦問吓睇吓佢喺唔喺屋企呀都嘗試過咁樣做
51,so2ji5jau5si4ze1hai6ho2ji5gong2jat1geoi3gong2jat1geoi3laa3zau6waa6jyun5can1bat1jyu4gan6leon4laa3,所以有時啫係可以講一句講一句啦就話遠親不如近鄰啦
52,so2ji5jau5si4zan1hai6seoi1jiu3zan1hai6seoi1jiu3zi6gei2leon4geoi1bong1sau2le1dou1zeon6loeng6dou1bong1bong1dak1dou3zau6bong1,所以有時真係需要真係需要自己鄰居幫手呢都盡量都幫幫得到就幫
53,gam2joeng2ng6ng6,咁樣嗯嗯
55,jau5mou5si3gwo3dou1jau5,有冇試過都有
56,ngo5lau4soeng6le1zau6hai6ngo5hou2lou5jau5ge3pang4jau5,我樓上呢就係我好老友嘅朋友
57,ze1hai6daai6gaa1dou1hai6hou2paak3hou2pang4jau5laa1,啫係大家都係好拍好朋友啦
58,gam2jau5si4ngo5dei6loeng5loeng5loeng5go3ngo5tung4ngo5taai3taai2dou1m4dak1haan4ge3si4hau6le1zau6jiu3seoi1jiu3keoi5dei6bong1sau2laa3,咁有時我地兩兩兩個我同我太太都唔得閒嘅時候呢就要需要佢地幫手啦
59,gam2dou1wui5si3gwo3wui5baai2dai1go3siu2pang4jau5hai2go3leon4geoi1go3uk1kei5cau3cau3jat1dyun6si4gaan3gam2joeng2lo1,咁都會試過會擺底個小朋友喺個鄰居個屋企揍揍一段時間咁樣囉
61,ngo5zyu6go2keoi1le1kei4sat6zi6on1dou1syun3loeng4hou2tung4maai4ngo5ji4gaa1zyu6gan2go3uk1jyun2le1go3zi6on1zau6fei1soeng4zi1mou5man6tai4fei1soeng4zi1hou2ge3,我住嗰區呢其實治安都算良好同埋我而家住緊個屋苑呢個治安就非常之冇問題非常之好嘅
62,so2ji5kei4sat6dou1m4hai6hou2daam1sam1ngo5gaa3li1dou6ngo5go3uk1jyun2go3zi6on1go3man6tai4,所以其實都唔係好擔心我㗎呢度我個屋苑個治安個問題
63,so2ji5so2ji5dou1m4hai6hou2daai6man6tai4ze1hai6ze1hai6hai2ngo5dei6ji1jat1keoi1go2bin1,所以所以都唔係好大問題啫係啫係喺我地依一區嗰邊
64,dou1syun3hai6leong4hou2dou1gei2hou2ge3,都算係良好都幾好嘅
65,dong1jin4jau5laa1,當然有啦
66,hai6lei4hoi1hoeng1gong2lo1jau5si4wui5faan1heoi3ngoi6dei6zou6je5noi6dei6zou6je5laa1,係離開香港囉有時會返去外地做野內地做野啦
67,jau5si4wui5ceot1heoi3ceot1min6leoi5hang4laa1,有時會出去出面旅行啦
68,dou1wui5lei4hoi1hoeng1gong2haa6,都會離開香港嗄
69,dong1jin4wui5jau5laa1,當然會有啦
70,hoeng1gong2kei4sat6kei4sat6ji5cin4le1ngo5dei6hoeng1gong2hai6ngo5gaa1,香港其實其實以前呢我地香港係我家
71,jat1ding6hai6hoeng1gong2hai6zeoi3hou2gaa3laa3zeoi3gaa3laa3zeoi3hou2jat1go3hou2dei6fong1aa3,一定係香港係最好㗎啦最㗎啦最好一個好地方呀
72,daan6hai6le1daan6hai6jau5si4ngo5heoi3gwo3kei4taa1gwok3gaa1pei3jyu4heoi3gwo3san1gaa3bo1aa3maa5loi4sai1aa3jau5si4keoi5dei6gok3dak1keoi5dei6ge3keoi5dei6ge3keoi5dei6ge3man4faa3tung4maai4gun2zi6le1tung4hoeng1gong2caa1m4do1,但係呢但係有時我去過其他國家譬如去過新加坡呀馬來西亞有時佢地覺得佢地嘅佢地嘅佢地嘅文化同埋管治呢同香港差唔多
73,daan6hai6le1jan4dei6go2go3go2go3go2go3saang1wut6seoi2ping4le1tung4maai4hoeng1gong2le1ji4gaa1hoi1ci2hoeng1gong2maan6maan2heoi3zim6zim6bat1kap6jan4dei6jan4dei6go3dei6fong1,但係呢人地嗰個嗰個嗰個生活水平呢同埋香港呢而家開始香港慢慢去漸漸不及人地人地個地方
