NUM, PINYIN, EXPECTED
3,Sei3aa6saam1laa1,四廿三啦
4,Mei6saang1jat6a1ma3,未生日啊嘛
5,Maa4maa1a1go1gaa1ze1lou5gung1zai2zung6jau5di1ji5sang1hou2do1lo1,媽媽阿哥家姐老公仔仲有啲姨甥好多啦
6,Hai6ngo5uk1kei2hai6zeoi3sai3lo1,喺我屋企係最細咯
7,Hoeng1gong2,香港
8,Jau4maa4dei2,油麻地
9,sap6ji6nin4dou2laa1,十二年到啦
10,zi6sai1gung3keoi1,西貢區
11,Hai6,係
12,Hai6laa1,係啦
13,Sap6baat6nin4laa1,十八年啦
14,Zung1gok3,中國
16,Baa4baa1hai6maa4maa1hai6,爸爸係媽媽係
17,ceot1sai3,出世
18,Zou2fu6mou5m4zi1,祖父母唔知
19,Zau6jip6hou2di1la1,就業好啲啦
20,Hai6lo1sang1wut6seoi2ping4gou1di1laa1,係咯生活水平高啲啦
21,So2ji3syun2zaak6lei4hoeng1gong1,所以選擇嚟香港咯
22,siu2siu2laa1,少少啦
23,Dou1hai6jiu3hou2san1fu2gam2joeng2zou6je5sin1jau5cin2aa1gam2lo1,都係要好辛苦咁做嘢先有錢啊咁囉
24,waan4ging2zau6bei2gaau3kwan3naan4di1la1,環境就比較困難啲啦
25,ho2nang4jat1gaan1uk1ze1hai6zi2ho2ji3zyu6dou2jat1gaan1fong2aa1zyu6m4dou2jat1gaan1uk1lo1,可能一間屋既係只可以住到一間房住唔到一間屋囉
26,Dak6bit6sam1hak1aa1,特別深刻啊
27,jau6mou5dim2joeng1beng6lo1,咁又冇點樣病囉
28,Baa4baa1beng6go2zan6si2di1sai6lou6zai2jau6sai1gam2aa1daam1sam1zi6gei2mou5meng6gam2joeng1joeng2go2dyun6si4gaan1lo1daan6hai6me1beng6gam2ngo5zau6m4hai6hou2cing1co2la1,爸爸病嗰陣時啲細路仔又細咁啊擔心自己冇命咁樣樣嗰段時間囉但係咩病咁我就唔係好清楚了
29,Ze1dou1hai6teng1faan1di1gaa1ze1gong2ze1hai6ze1hai6gong2faan1gam2lo1,既係都係聽返啲家姐講即係即係講返咁囉
30,gam2aa1m4cing1co2wo3zan1hai6,咁又唔清楚喎真係
31,Me1hai6se5keoi1zing1san4,咩係社區精神
32,ngo3,哦
33,ngo3gam2dou1jau5,哦咁都有
34,Dou1gei2hou2,都幾好
35,Caa1m4gam2jau6m4hai6hou2zi1wo3jan1wai6dou1hai6zyu6gwo3gei2go3keoi1gam2kei4sat6zan1hai6m4hai6hou2zi1wo3bat1gwo6nei5man6jau5mou5aa1jau5ge2,差唔咁又唔係好知喎因為都係住過幾個區咁其實真係唔係好知喎不過你問有冇啊有嘅
36,Siu2di1wui3wan2uk1kei2jan4sin1,少啲會搵屋企人先
37,Daan6hai6jyu4gwo2jau5gwaan1hai6tung4di1leon4ze1hai6zi1dou6di1leon4geoi1zi1ge3ho2ji3bong1dou6bei2dou2di1zi1seon3ge3gam2dou1wui3wan2ge3,但係如果有關係同啲即係知道啲鄰居知嘅可以幫到俾到啲資訊嘅咁都會搵嘅
38,Bin1dou6heoi6dou6bin1dou6aa1,邊度去到邊度啊
39,Uk1kei2hai6mai6gam2gong2le1jing1goi1uk1kei2heoi3dou3zou6je5ge3dei6fong1waak6ze2hai6hai6ngo5maa4ze1hai6ngoi6gaa1lo1kei4sat6waak6ze2ngo5uk1kei2jan4ge3dei6fong1zyu6ge3dei6fong1dou1hai6go2gei2daat6dei6fong1lo1hai6mai6jing1goi1gam2gong2aa1,屋企係咪咁講咧應該屋企去到做嘢嘅地方或者係係我嬤即係外家囉其實或者我屋企人嘅地方住嘅地方都係嗰幾沓地方囉係咪應該咁講
40,Gam3sam1ge2,咁深嘅
41,Aa1maa1fong2man6gan2wo3Zan6gaan1sin1dak1ngo5zaa1zyu6aa1,阿媽訪問緊喎陣間先得我揸住啊
42,Fong2man6,訪問
43,Mou5wo3Leon4geoi1zau6mou5la1gaa1jan4zau6jau5,冇喎鄰居就冇啦家人就有
44,Dou1jau5ge2pei3jyu4uk1jyun2gaau2di1leoi5hang4aa1waak5ze2gaau2di1tyun4baai3aa1go2di1dou1wui3ge3,都有嘅譬如屋苑搞啲旅行啊或者搞啲團拜啊都會嘅
45,Daan6hai6m4do1lo1,但係唔多囉
46,Saang1jat6paai3deoi6tung4uk1kei2jan4lo1wui3ge2hai6la1,生日派對同屋企人囉會嘅係啦
47,Jau5,有
48,Heoi6leoi5hang4lo1,去旅行囉
49,Gam2jau6m4gok3wo3,咁又唔覺喎
50,hei2maa5ni1dou6sik1gong2jau6sik1jing3zo2di1sang1wut6,起碼呢度識講又適應咗啲生活
51,Gam2jau6dou2gam2jau6m4hai6hou2gok3ngoi6bin6bei2hoeng1gong2hou2lo1,咁又到咁又唔係好覺外邊比香港好囉
52,dim2le1mou5mat1zau6jip6wui3bei2gaau3kwan3naan4,冇乜就業會比較困難
53,Ngo5gok3dak1jan1wai6mou5mat1mou5gung1jip6laa1hoi1ci2gan1zyu6jau6go3go3di1siu2pang4jau5hok6lik6jau6gou1zo2laa1gam2aa1bin3zo2ho2nang4dai1cang4ci3ge3je5mou5jan4zo6laa1,我覺得因為冇乜冇工業啦開始跟住又個個啲小朋友學歷又高咗啦咁啊變咗可能低層次嘅嘢冇人做啦
