0		
1	zou6mat1je5aa3	做___乜___嘢__啊__
2	lei1go3me1lai4gaa3	哩___個__咩__嚟___㗎___
3		
4	jin1tian1ling2yi1liu4nian2ba1yue4	今___天____零____一__六___年____八__月___
5	lei1go3me1lai4gaa3	哩___個__咩__嚟___㗎___
6		
7	o4luk6jing2gei1	哦_錄___影____機___
8	hai6mai6aa3	係___咪___啊__
9	gei1	機___
10		
11	gei1	機___
12		
13	luk6jing2gei1	錄___影____機___
14	hai6mai6aa3	係___咪___啊__
15		
16	hai6mai6	係___咪___
17		
18	ngon1go1nei5gaau3maa1mi4hou2mou2aa3	安____哥__你___教____媽___咪__好___冇___啊__
19	waa3lei1tiu4me1lai4gaa3	嘩___哩___條___咩__嚟___㗎___
20		
21		
22	hai6mai6aa3	係___咪___啊__
23	ji1di1ne1	依__啲__呢__
24	ji1di1me1lai4gaa3	依__啲__咩__嚟___㗎___
25		
26		
27		
28		
29		
30		
31	ji1di1ne1	依__啲__呢__
32	lei1di1me1aa3	哩___啲__咩__啊__
33		
34		
35	hai6mai6aa3	係___咪___啊__
36		
37	hai6mai6	係___咪___
38		
39	hai6mai6aa3	係___咪___啊__
40	gong2mat1je5aa3	講____乜___嘢__啊__
41	gong2mat1je5aa3	講____乜___嘢__啊__
42		
43	o4hai6laa3	哦_係___喇___
44	aa1hai6mai6aa3	啊__係___咪___啊__
45	waa6	話___
46		
47	hai6mai6aa3	係___咪___啊__
48	ji2lei1di1me1lai4gaa3	咦__哩___啲__咩__嚟___㗎___
49		
50	lei1di1nau2	哩___啲__鈕___
51	hai6mai6aa3	係___咪___啊__
52		
53		
54	jau5mou5	有___冇___
55		
56		
57		
58		
59	ji1dou6jau5mou5	依__度___有___冇___
60	nau2	鈕___
61	jau5gei2do1lap1aa3	有___幾___多__粒___啊__
62		
63		
64		
65	hai6lo1	係___囉__
66		
67		
68		
69		
70		
71		
72		
73		
74		
75		
76		
77		
78		
79	lei1di1me1lai4gaa3	哩___啲__咩__嚟___㗎___
80		
81		
82	hai6mai6aa3	係___咪___啊__
83		
84		
85		
86		
87		
88		
89		
90	jip6	葉___
91	hai6mai6aa3	係___咪___啊__
92	ji1di1hai6jip6	依__啲__係___葉___
93	jip6	葉___
94	jip6	葉___
95		
96	lei1di1ne1	哩___啲__呢__
97	jip6	葉___
98		
99	ji1di1me1lai4gaa3	依__啲__咩__嚟___㗎___
100		
101	hai6mai6aa3	係___咪___啊__
102		
103		
104		
105		
106	hai6laa3	係___喇___
107	ji1di1ne1	依__啲__呢__
108		
109		
110	ji1di1me1lai4gaa3ji1di1	依__啲__咩__嚟___㗎___依__啲__
111		
112		
113	zyu1cung4	珠___蟲____
114		
115	hai6mai6aa3	係___咪___啊__
