NUM, PINYIN, EXPECTED
1,zung1man4meng2,中文名
2,jat1gau5baat3luk6lin4ceot1sai3ge3,一九八六年出世嘅
3,o5jaa6ji6seoi3,我廿二歲
4,jan1wai6ngo5sap6ji6jyut6ceot1sai3le1so2ji5ngo5mei6zyun3jaa6saam1seoi3,因為我十二月出世呢所以我未轉廿三歲
5,ngo5jau5,我有
6,go3maa4maa4aa1,個嫲嫲吖
7,de1di4tung4maa1mi4,爹哋同媽咪
8,tung4ngo5jau5go3jat1go3daai6gaa1ze1,同我有個一個大家姐
9,tung4jat1go3daai6go1,同一個大哥
10,luk6go3lo1,六個囉
11,haa6ngo5hai6zeoi3sai3gaa3,吓我係最細㗎
12,ngo5hai2li1dou6do1leon4do1ceot1sai3ge3,我喺呢度多倫多出世嘅
13,ceot1sai3ge3,出世嘅
14,hai2si6gaa1bou2ge3,喺士嘉堡嘅
15,giu3zou6,叫做
16,hai6go2di1a6paak1man2,係嗰啲
17,haa6,吓
18,go2zan6si4hau6ngo5m4hai6hou2gei3dat1,嗰陣時候我唔係好記得
19,go3a6paak1man2dim2joeng2ge3,個點樣嘅
20,daan6hai6,但係
21,maa1mi4waa6hai2hai2go3deoi3,媽咪話喺喺個對
22,deoi3min6ge3ngo5go3gaa1ze1heoi3zo2go2go3ge3,對面嘅我個家姐去咗嗰個嘅
24,ngo5hai6aa3ngo5lam2hai6go2go3ngo5m4zi1zyu6zo2gei2do1lin4,我係啊我諗係嗰個我唔知住咗幾多年
25,dai6ji6go3uk1le1hai6,第二個屋呢係
26,jau5tiu4gaai1hai6hou2kan5li1dou6ge3giu3zou6,有條街係好近呢度嘅叫做
29,jau6zyu6zo2hou2zi3hai6,又住咗好似係
30,gei5lin4la3,幾年喇
31,sin1bun1zo2lei4li1dou6,先搬咗嚟呢度
32,saam1go3m4tung4go3uk1,三個唔同個屋
34,o5seng4jat6m4gei3dak1,我成日唔記得
35,ga3ngaam1ngaam1nam1baa2,個啱啱冧巴
36,ngo5lam5hai6dou1daai6joek3lai4sap6lin4sap6lin4do1di1la1,我諗係都大約嚟十年十年多啲啦
38,do1go3sap6lin4,多過十年
39,keoi5dei6hai2hoeng1gong2,佢哋喺香港
40,ceot1sai3ge3,出世嘅
41,ngo5,我
42,dou1sik1di1je5hai6keoi5dei6zoeng2daai6,都識啲嘢係佢哋長大
43,m4ha6hou2sik1,唔係好識
44,hou2do1,好多
45,jam1wai6ngo5mei6heoi3go3so2ji5ngo5mei6gin3go3,因為我未去過所以我未見過
46,li1dou6ceot1sai3,呢度出世
47,mei6aa3,未啊
48,ngo5mei6heoi3go3aa3,我未去過啊
49,dou1soeng2ge3daan6hai6,都想嘅但係
