NUM, PINYIN, EXPECTED
1,ngo5giu3zou6fok3jing3coeng1,我叫做霍
2,jat1gau2sei3gau2lin4,一九四九年
3,caang1siu2siu2zau6luk6sap6seoi3,爭少少就六十歲
4,mat1je5giu3zou6gaa1ting4aa3,乜嘢叫做家庭啊
5,ngo5jau5jat1go3lou2po4jau5saam1go3leoi5la1,我有一個老婆有三個女囉
6,hoeng1gong2go3gaa1ting4aa4,香港個家庭啊
7,ngo5jau5jat1go3go4go1jat1go3baa4baa1jat1go3maa4maa1lo1,我有一個哥哥一個爸爸一個媽媽囉
8,ngo5hai2hoeng1gong2ceot1sai3,我喺香港出世
9,dai6jat1go3dei6fong1zyu6hai2gau2lung4cat1haam4dou4,第一個地方住喺九龍漆咸道
10,hung4ham3keoi1,紅磡區
11,m4hai6jat1gaan1nguk1hai6jat1go3ji6lau2lei4ge3,唔係一間屋係一個二樓來嘅
12,hai6jat1tai1jat1dung6daai6haa6,係一梯一棟大廈
13,wui5jau5saam1cang4gou1gam5joeng5lo1ngo5dei6zyu1hai2dai6ji6cang4lo1,會有三層高咁樣囉我哋住喺第二層囉
14,zi1hau6le1zau6bun1zo2heoi3gan6hoi2pei2wong4bou3gaai1go5dou6lo1,之後咧就搬咗去近海皮黃埔街嗰度囉
15,hou2ci5li1dou6go5di1ge3gung1jyu6gam5joeng5lo1,好似呢度嗰啲嘅公寓咁樣囉
16,ngo5ji4gaa1le1zyu6hai2jat1do1leon4do1,我而家咧住喺多倫多
17,si6gaa1bou5keoi1,士嘉堡區
18,hai6zou1ge3gung1jyu6daai6haa6,係租嘅公寓大廈
19,ngo5tung4ngo5taai3taai2tung4maai4ngo5go3leoi5lo1,我同我太太同埋我嗰女囉
20,hai6la3li1go3leoi5zau6hai6fok3zung6si1la3,係啦呢個女就係霍
21,hai2dou6zyu6zo2gei2loi6hai6mai2hai6jat1lin4do1dit1gam3doe1la1,喺度住咗幾耐係咪係一年多啲咁多啦
22,m4co3aa1,唔錯啊
23,jan1wai2m3aa3gaau1tung1hou2fong1bin6aa3maai5je3hou2fong1bin6aa3deoi3min6jau5go3kau3mat3si5coeng4aa3,因為啊交通好方便啊買嘢好方便啊對面有個購物市場啊
24,fu6gan3aa3hou2do1caan1gun2hou2do1hou3hou3mei6ge3je5sik6jau5hou2peng4wo3,附近啊好多餐館好多好好味嘅嘢食又好好味喎
25,hou2do1zung2jan4dou1jau5ge3jau5zung1gwok3jan6laa1hoeng1gong2jan6laa1jau3di1jau3zung1gwok3lei4ge3jan6laa1jau3di1haak1jan6jau3di1baak3jan6,好多種人都有嘅有中國人啦香港人啦有啲又中國嚟嘅人啦有啲黑人有啲白人
26,dou1hai6hou2wan6zaap6ge3jau5di1jan3dou6jan4aa3gam3joeng6,都係好混雜嘅有啲印度人啊咁樣
27,leon4geoi1dou1mou5mat1gaau1taam6ba5,鄰居都冇乜交談喎
28,ngaam1ngaam1gaak3lei4go5gaa1bun1zo3lei4dou1m4gau3jat1go3jyut6,剛剛隔籬嗰家搬咗嚟都唔夠一個月
29,hai6la1deoi3min6go2di1aa3jau3si6hai2din6tai1hau2zong6dou2waa3gam3a3daai3gaa1dim2ha6tau4siu3king1loeng5geoi3gam3joeng2lo1,係啦對面嗰啲啊有時喺電梯口撞到啊咁大家點下頭笑傾兩句咁樣囉
30,hou2wa1aa1,好啊
31,ngo5baa4baa1hai2zung1gwok3ngo5maa4ma1hai2hoeng1gong2,我爸爸喺中國我媽媽喺香港
32,zung1gwok3hai2gwong2zau1seon6dak1,中國喺廣州順德
33,baa4baa1le1zau6dou3sap3gei2seoi3jan1wai6daa2zoeng3so2ji5jiu3zau2laan6zau2laan6,爸爸咧就到十幾歲因為打仗所以要走難走難
34,lok6zo2hoeng1gong2lo3,落咗香港囉
35,maa4maa1hai2hoeng1gong2ceot1sang1hai2hoeng1gong2zoeng2daai6hai2hoeng1gong2sei2,媽媽喺香港出生喺香港長大喺香港死囉
36,taai3gung1ngoi6gung1hai6mai6aa3,太公外公係咪啊
37,ngoi6gung1dou1hai6hoeng1gong2jan4,外公都係香港人
38,jan1wai6do1leon4do1hou2hou2ge3dei6fong1lo1hou2syu1fuk6lo1,因為多倫多好好嘅地方囉好舒服囉
39,jan4mou5hoeng1gong2gam3bik1lo3,人冇香港咁迫囉
40,bun1lei4aa3ji4man4lei4hai6mai6aa3Jat1gau2baat3saam1nin4lo3,搬嚟移民嚟係咪啊一九八三年囉
41,hai6laa3ji3sap6luk6nin4aa3caa1m4do1,係啦二十六年啦差唔多
42,ji4man4lei3ni1dou6di1gu3si6aa3lei3soeng2teng1bin1di1gu3si6aa3,移民嚟呢度啲故事啊你想聽邊啲故事啊
43,lei5gong2bat1ge3jat1di1,你講嘅一啲
44,hai6aa3ha6,係啊哈
45,go2dou6aa3m4hai6ji4man4wo3go2dou6hok6saang1ge3wo3,嗰度啊唔係移民喎係學生嘅喎
46,hai6aa3hai2hoeng1gong2duk6jyun4daai6hok6gam2zau6jiu3sing1hok6,係啊喺香港讀完大學咁就要升學
47,gaa1laa4daai6go3gaan1daai6hok6sau1zo2ngo5hai2go3dou6duk6syu1,加拿大嗰間大學收咗我喺嗰度讀書
48,gam5aa3jau5gei1wui6lei4gaa1naa4daai6go3dou6duk6zo2loeng5nin4syu1lo1,咁啊有機會嚟加拿大嗰度讀咗兩年書囉
49,duk6jyun6syu1faan1faan1hoeng1gong2zou6je5,讀完書返返香港做嘢
50,duk6syu1go3zan6si6zau6hou2zung1ji3gaa1naa4daai6ji1dou6go2di3ge3sang1wut3fong1sik1,讀書嗰陣時就好鍾意加拿大呢度嗰啲嘅生活方式
51,gam2joeng3faan1zo2hoeng1gong2zou6haa6je5git3zo2fan1jin6hau6le3zau6saang1zo2jat1dai6jat1go3neoi5,咁樣返咗香港做下嘢結咗婚然後咧就生咗第一個女
52,gam2joeng3zau6jat1cai4ji4man4lei4gaa1laa4daai6go2zan6si4hau6hoi1fong3hou2fun1jing4di1ngoi5gok3ge3jan4,咁樣就一起移民嚟加拿大嗰陣時又開放好歡迎啲外國嘅人
53,lei3dou3hai6san1cing2zou6gaa1naa4daai6ge3geoi1man4lo1,嚟到係申請做加拿大嘅居民囉
54,laan6m4laan6sik1jing3hai6mai5,難唔難適應係咪
55,hai6laa3co1co1lei4dou3dou1,初初嚟到都
56,mou5mat1daai6man6tai4ge5jan1wai6ngo5hai6hoeng1gong2zou6hoi1gung1go3gaan1gung1si1hai6gwok3zai6gung1si1,冇乜大問題嘅因為我喺香港做開工嗰間公司係國際公司
