NUM, PINYIN, EXPECTED
2,hai6aa3,係啊
3,Ai1jaa1gam3du1man6ge3,哎呀咁都問嘅
4,ng5sap6laa1,五十啦
5,Sei3go3,四個
6,sin1saang1laa1loeng5go3zai2leoi5lo1,先生啦兩個仔女囉
7,hai2hoeng1gong2lei4,喺香港嚟
8,hoeng1gong2jau5baa4baa1maa4maa1tung4go4go1,香港有爸爸媽媽同哥哥
9,Ngo5dai6saam1,我第三
11,lei4dou3Do1lei4dou3,哦嚟到多嚟到
12,lei4dou3do1leon4do1,嚟到多倫多
13,hoeng2lo1,响囉
14,Hai6a3,係啊
15,Bin1dou6,邊度
16,Kan5go2dou6,近嗰度
17,jan1wai6,因為
18,do1zo2sai3lou6zai2la1maa3gam2jiu3zyu6di1daai6di1ge3uk1lo1,多咗細路仔啦嘛咁要住啲大啲嘅屋囉
19,mai6m4gau3zyu6lo1,唔係唔夠住囉
20,go2dou6zou1jat1gaan1fong2ge3ze3co1co1,嗰度租一間房嘅咋初初
21,gam2lau1mei1ngo5dei6le1zau6bun1zo2heoi3,咁收尾我哋咧就搬咗去
22,tung4maai4,同埋
23,go2dou6jat1go3laa1,嗰度一個啦
24,gam2go2dou6gan1zyu6jau5go2dou1zau6bun1heoi3,咁嗰度跟住由嗰度就搬去
25,go2dou6laa1jat1go3laa1gam2go2gaan1baat3baat3gei2cek3lo1,嗰度啦一個啦咁嗰間八百幾呎啦囉
26,gam2bun1dou6jin4hau6gan1zyu6ceot1sai3zau6jiu3bun1lei4ni1dou6lo1,咁搬到然後跟住出世就要搬嚟呢度囉
27,jan1wai6m4gau3zyu6laa1,因為唔夠住啦
28,do1leon4do1jau5baat3saam1nin4lei4ji6sap6ng5nin4laa1,多倫多有八三年嚟二十五年啦
29,ji6sap6ng5luk6nin4hai6a3,二十五六年啦係啊
30,Dim2gaai2a3Ngo5duk6syu1lo1lei4,點解啊我讀書囉嚟
31,Hai6a3co1co1lei4hai6duk6syu1ga3,係啊初初嚟係讀書㗎
32,Hai2lo1,喺囉
33,Duk6lo1,讀囉
34,Hai6a3ji4gaa1zou6gan2aa3,係啊而家做緊啊
35,baa4baa1maa4maa1hai2hoeng1,爸爸媽媽响香
36,maa4maa1hoeng2daai6luk6ceot1sai3baa4baa1hoeng2hoeng1gong2ceot1sai3,媽媽响大陸出世爸爸响香港出世
37,m4zi1a3o5lam2seon6dak1gwaa3,唔知啊我霖順德啩
38,Tung4lei5baa4baa1jat1joeng6lei5baa4baa1dou1hai6seon6dak1jan4,同你爸爸一樣你爸爸都係順德人啊
39,seon6dak1m4zi1le3,順德唔知啊
40,Ngo5dou1m4suk4seon6dak1ge3,我都唔熟順德噶
41,m4zi1dak1la3m4zi1la3,唔記得啦唔知啦
42,zi1keoi5sing3,知佢姓
43,daa2zoeng3a3go2zan6si4,打仗啊嗰陣時
44,Hou2loi6ji2cin4le1jat6bun2zai2,好耐以前咧日本仔
45,daa2hoeng1gong2go2si4hau6le1gam2keoi5dei6le1zau6,打香港嘅時候咧咁佢哋就
46,zau6,就
