NUM, PINYIN, EXPECTED
1,jing1man4ming4giu3zung1man4zau6,英文名叫中文就
2,ngo5hai6do1leon4do1ceot1sai3,我係多倫多出世
3,gam1nin4ngo5jaa6saam1seoi3,今年我廿三歲
4,ngo5jat1gau2gau2saam1nin4,我一九九三年
5,keoi5dei2hoeng1gong2ceot1sai3,佢哋香港出世
6,ngo5zyu6si6gaa1bou2,我住士嘉堡
7,ngo5zyu6zik1hai6sai3sai3gaan1go2di1nguk1,我住即係細細間嗰啲屋
8,ji4gaa1zung6zyu6gan2jaa6gei2nin4,而家仲住緊廿幾年
9,ngo5jau5go3gaa1ze2daai6gaa1ze2,我有個家姐大家姐
10,keoi5dei2dou1hou2ci5hai6hoeng1gong2jat1di1zau6gau2lung4aa1dou1hai6hoeng1gong2fu6gan6ge3,佢哋都好似係香港一啲就九龍呀都係香港附近嘅
11,m4hai6gei2sik1,唔係幾識
12,keoi5dei2ho2nang4saa1aa1leng4seoi3laa1waak6ze2,佢哋可能卅呀零歲啦或者
13,ngo5sap6ji6nin4cin4faan2gwo3heoi3jat1ci3,我十二年前返過去一次
14,dou1zung1ji3hou2ci5ji4gaa1gam3jau6jit6jau6guk6,都鍾意好似而家咁又熱又焗
15,ngo5heoi3zo2loeng5saam1go3sing1kei4,我去咗兩三個星期
17,zeoi3zung1ji3hoi2joeng4gung1jyun4aa1giu3zou6hou2ci5hai6jau5go3gung1jyun4aa1go2di1jau6m4maai5saam1aa1jau6hang4gaai1lo1,最鐘意海洋公園呀叫做好似係有個公園呀嗰啲又唔買衫呀又行街囉
18,sik6je5dou1hou2,食嘢都好
19,mei6hoi1aa1go3zan6si4hou2ci5mei6hoi1aa1ngaam1ngaam1hoi1ze1gam3mou5,未開呀個陣時好似未開呀啱啱開啫咁冇
21,dou1syun3ngo5dai6jat1fan6gung1hai6aa1ngo5zou6hai6ge3,都算我第一份工係啊我做係嘅
22,gam3ngo5ngaam1ngaam1hai2bat1jip6gam3ngo5ji4gaa1gau2jyut6zau6wui2hai2dou6duk6gai3zuk6duk6,咁我啱啱喺畢業咁我而家九月就會喺度讀繼續讀
23,ngo5duk6faa3hok6dak1bok3si6,我讀化學得博士
24,dou1hai6faa3hok6hai6,都係化學係
25,dim2gaai2gwo3,點解過
26,mou4mat1dak6bit6lo1ho2nang4jau5hou2do1keoi5di1pang4jau5dou1ji4man4,無乜特別囉可能有好多佢啲朋友都移民
27,dou1hou2do1zung1gwok3jan4aa1sai1jan4aa1hou2do1,都好多中國人呀西人呀好多
28,ji4gaa1dou6dou6dou1jau5lo1hok6haau6jyun5di1gam3jau5hou2do1,而家度度都有囉學校遠啲咁有好多
29,hai6,係
30,ngo4m4hai6ngo5tiu3zo2hai6,哦唔係我跳咗係
31,m4tung4di1lo1dou1hou2do1jan4di1gaai1aa1do1di1jan4,唔同啲囉都好多人啲街呀多啲人
32,fu6gan6jau5do1di1je5sik6aa1zik1hai6di1pou1tau4hoi1dak1je6di1aa1,附近有多啲嘢食呀即係啲鋪頭開得夜啲呀
33,ngo4jan1wai4hai6nguk1kei5fu6gan6lo1tung4zyun2haak3waan4ging2jau6hou2di1lo1,哦因為係屋企附近囉同轉吓環境又好啲囉
