NUM, PINYIN, EXPECTED
1,ha3,吓
2,zik1hai6ji4gaa1cyun4bou6jung6gwong2dung1waa6gaa3laa1haak3,即係而家全部用廣東話架啦吓
3,jat1gau2cat1sei3nin4,一九七四年
4,zeoi3daai6daai6zai2,最大大仔
5,zung6jau5loeng5go3mui6,仲有兩個妹
6,hoeng1gong2,香港
7,naa5daa2sou3ji1jyun2so2ji5ngo5jing3goi1zung1waan4gwo2bin1gwaa3,那打素醫院所以我應該中環果邊掛
8,dai6jat1ci3bun1heoi3ngo5,第一次搬去我
9,ngo5ceot1sai3gwo2dou3hai6hai2giu3zou6zyu1gei1daai6haa6hai2bak1gok3,我出世果到係喺叫做珠璣大廈喺北角
10,zyu6dou3sap6cat1sap6baat3seoi3,住到十七十八歲
11,sap6cat1seoi3ngo5hai6hai2ngo5hai6gwo3lai4duk6syu1sap6baat3seoi3zau6ji4man4,十七歲我係喺我係過嚟讀書十八歲就移民
12,hai6hai6,係係
13,gei3dak1zik1hai6jau6gam3jau5gei2go3gaai1dyun6laa1sai3sai3go3laa1gam3zau6sai3sai3go3,記得即係又咁有幾個階段啦細細個啦咁就細細個
14,gam3zeoi3daai6ge3jan3zoeng6zau6hai6aa3baa1aa3maa1jing3goi1hai6aa3maa1hou2sai3go3zau6to1zyu6ngo5faan2jau3zi6jyun4,咁最大嘅印象就係阿爸阿媽應該係阿媽好細個就拖住我返幼稚園
15,gan1zyu6zau6siu2hok6ne1ngo5zau6siu2hok6tung4zung1hok6ngo5dou1hai6jiu3daap3ce1daap3jaa6saam1hou6jau4bak1gok3heoi3dou3mak6dong1lou4dou6gwo2dou6faan2hok6ge3,跟住就小學呢我就小學同中學我都係要搭車搭廿三號由北角去到麥當勞度果度返學嘅
16,gam3zau6siu2hok6zung1hok6dou1hai6gam3joeng6gam3,咁就小學中學都係咁樣咁
17,hai6lo1duk6jyun4zung1ng5zau6gwo3zo2lai4lo1hai6laa1,係囉讀完中五就過咗嚟囉係啦
19,ngo5hai6ne1dou6gwo2zan6si4zung6jau5dai6sap6saam1baan1ge3gam3so2ji5zau6,我係呢度果陣時仲有第十三班嘅咁所以就
20,haau2jyun4hoeng1gong2wui2haau2zau2gwo3lai4duk6dai6sap6saam1baan1gan1zyu6zau6jap6,考完香港會考走過嚟讀第十三班跟住就入
21,ngo5hai2hai6duk6zik1hai6go3leoi6ge3je5,我喺係讀即係個類嘅嘢
22,ngo5zi1dou6ngo5aa3maa1jing3goi1hai6hai2hoeng1gong2ceot1sai3ngo5aa3baa1zau6jing3goi1hai2zung1gwok3ceot1sai3ge3daan6jing3goi1keoi5hai6sei3seoi3waak6ze2saam1seoi3zau6lai4zo2hoeng1gong2,我知道我阿媽應該係喺香港出世我阿爸就應該喺中國出世嘅但應該佢係四歲或者三歲就黎左香港
23,hai6bin1dou6ceot1sai3aa1ngo5m4zi1aa1haa1haa1,係邊度出世呀我唔知呀哈哈
24,tau4sin1gong2laa1ngo5co1co1hou2ci5jat1go3sin1fung1bou6deoi6gam3joeng6laa1zau6gwo3zo2lai4duk6zik1hai6gam3joeng6zau6gwo3lai4laa1gam3gan1zyu6keoi5dei2jat1nin4zi1hau6zau6gwo3maai4lai4gam3joeng6lo1,頭先講喇我初初好似一個先鋒部隊咁樣啦就過咗嚟讀即係咁樣就過嚟啦咁跟住佢哋一年之後就過埋嚟咁樣囉
25,gam3so2ji5ngo5dou1m4hai6jat1cai4gwo3lai4ngo5hai6lai4zo2sin1,咁所以我都唔係一齊過嚟我係嚟咗先
26,jat1nin4ngo5loeng5go3mui6tung4maai4ngo5aa3maa1hai6laa1,一年我兩個妹同埋我阿媽係啦
27,jyu4gwo2ngo5mou4gei3co3ne1jing3goi1hai6ngo5de1dei2maa1mi1gok3dak1zik1hai6gau2cat1man6tai4laa1zik1hai6,如果我無記錯呢應該係我爹哋媽咪覺得即係九七問題啦即係
28,zik1hai6zi6jau4laa1zoeng3loi4zai2neoi5zi6jau4dak1m4dak1aa1gam3so2ji5keoi5dei2zau6gwo3zo2lai4lo1,即係自由啦將來仔女自由得唔得呀咁所以佢哋就過咗嚟囉
29,hai6,係
30,ngo4ging6m4se2dak1laa1m4se2dak1di1tung4hok6laa1m4se2dak1di1pang4jau5laa1m4se2dak1hok6haau6laa1m4se2dak1jau5dak1gat1jyu4daan2laa1m4se2dak1jau5dak1hai6gam3ji3lok6heoi3zau6tung1gaai1hang4laa1ho2ji5maai5faan6hap6laa1,哦勁唔捨得啦唔捨得啲同學啦唔捨得啲朋友啦唔捨得學校啦唔捨得有得吉魚蛋啦唔捨得有得係咁意落去就通街行喇可以買飯盒啦
