5	ngo5jau5loeng5go3go1go1	我___有___兩_____個__哥__哥__
18	gam3le2	咁___咧__
30	hou2aa3	好___啊__
36	jan1wai6le2go2zan6si2zung1gwok3daa2zoeng3	因___為___咧__嗰__陣___時__中____國____打___仗_____
50	aa3do1di1	啊__多__啲__
58	mou5cin2ge3	冇___錢___嘅__
60	ci4zo2zik1	辭__咗__職___
62	zi6gei2wan2je5zou6la1	自__己___搵___嘢__做___啦__
64	ngo5go2di1gung1le2zau6wan2m4dou2ge3	我___嗰__啲__工____咧__就___搵___唔_到___嘅__
65	jan1wai6le2ngo5hai6zou6go2dei2	因___為___咧__我___係___做___嗰__哋___
66	gung1gwaan1	公____關_____
67	gam3ngo5wan2m4dou2gung1zou6	咁___我___搵___唔_到___工____做___
68	gam3le2	咁___咧__
70	m4wui5sik1hap6wan2dou2jan1wai6ngo5go2go2	唔_會___適___合___搵___到___因___為___我___嗰__嗰__
71	jing1jyu5le2	英____語___咧__
75	gam3jin4hau6le2zau6	咁___然___後___咧__就___
76	jin4hau6ngo5zau6heoi3duk6jing1jyu5	然___後___我___就___去____讀___英____語___
88	zik1hai6siu2hok6	即___係___小___學___
91	keoi5hai2saai2zi3keoi1lo1	佢____喺___徙____置__區____囉__
92	gam3jau6hou2daai6ge3	咁___又___好___大____嘅__
93	jan1wai6le2seng4go3dei6haa2dou1hai6ge3	因___為___咧__成____個__地___下___都___係___嘅__
94	gam3ngo5dei6mui5jat1baan1le2zau6jau5	咁___我___哋___每___一___班____咧__就___有___
96	gam3jin4hau6zau6	咁___然___後___就___
98	bat1gwo3le2ngo5dei6go2di1le2zau6giu3zou6gam1zi6taap3sik1	不___過___咧__我___哋___嗰__啲__咧__就___叫___做___金___字__塔____式___
99	zik1hai6	即___係___
101	nei5jat1lou6	你___一___路___
103	zau6dai6jat1baan1ho2ji5heoi3haau2	就___第___一___班____可__以__去____考____
104	wui6haau2	會___考____
105	wui6haau2	會___考____
106	gam3le2siu2hok6jiu3haau2la1	咁___咧__小___學___要___考____啦__
107	zung1hok6jau6jiu3ge3	中____學___又___要___嘅__
108	gam3so2ji5kei4sat6dak1jat1baan1ho2ji5heoi3haau2	咁___所__以__其___實___得___一___班____可__以__去____考____
111	ngo5le2zau6hai6hai2go2baan1	我___咧__就___係___喺___嗰__班____
112	zeoi3lek1go2baan1lei5bin1go3tau4luk6go3	最____叻___嗰__班____裡___邊___個__頭___六___個__
114	go2di1zung1hok6gam3zau6heoi3zo2duk6lo1	嗰__啲__中____學___咁___就___去____咗__讀___囉__
117	jau5	有___
119	o1	喔_
120	sap6luk6	十___六___
121	jin4hau6le2zau6ji6sap6	然___後___咧__就___二__十___
