NUM,EXPECTED,CXM27A_qwerty,# characters,edit distance
3,廿廿七囉廿七,打把七囉亞七,6,3
4,今年廿七但係我未生日,斟年啊七但係我未生日,10,2
5,我有爸爸媽媽家姐,到有爸巴嫲媽家姐,8,3
6,係,第,1,1
8,但係住得好短時間,但係住一好短時間,8,1
9,好似私人樓嚟㗎,倒似私人樓離𡃉,7,3
10,因為我唔係我唔係後對嗰個好模糊因為我大概讀幼班之前已經搬咗去第個地方,丹為我唔係我唔係好對嗰個好無胡因為我大概讀幼啤啤班之前已經搬咗去第二個地方,34,7
11,咁啊住到而家嘅,抌啊住度而家嘅,7,2
12,嗰個好似係私人樓,朵個好似係私人樓,8,1
13,咁咧就係我唔知英文係咩啦,抌屋就係我唔知我唔知英文係咩啦,12,5
14,咁總之就係一個好普通我諗五百零呎嘅地方囉咪,抌腫之就係一個好普通我飲五八零尺嘅地方囖咪,21,6
15,有兩間三好似兩間房左右,有兩間三好似兩間房仲有,11,2
17,唔係啊公屋啊,唔係吖公屋吖,6,2
18,係,第,1,1
19,等我諗下先,等我飲下先,5,1
20,我,倒,1,1
21,等陣先我讀小學係六年級,等陣先我讀小學錄年級,11,2
22,讀咗三年幼稚園,讀咗三年幼U園,7,1
23,班我諗廿至少有廿三年啦,地啤班我飲呀自小有呀三年啦,11,7
24,應該係,應該係,3,0
25,係啊,第吖,2,2
26,我阿爸就係喺,我阿爸就係喺,6,0
27,嘅,陽東嘅,1,2
28,我阿媽就係嘅,躲阿媽就係红州嘅,6,3
29,唔知喎,唔知喎,3,0
30,我我阿媽啦我阿媽咧就係應該嚟咗三十幾年,到我阿媽嗱我阿媽囖就係應該離咗三十幾年,19,4
31,我阿爸咧,到阿爸囖,4,2
32,我阿爸嚟咗幾耐咧,到阿爸離咗幾耐囉,8,3
33,我諗有四十年了,舞淋有四十年啊,7,3
34,嗯係啦,嗯係啦,3,0
35,係囉新移即係佢哋係新移民,第囉新移啫係佢哋係新移民,12,2
36,有冇啊,有冇吖,3,1
37,我諗有嘅,我淋有嘅,4,1
38,我諗都辛,冇林都身,4,3
39,我阿媽就講得比較多囉因為咁呢啲同佢哋兩個之間嘅感情關係都有關係,到阿媽就講得比較多囖因為噉依啲同佢哋兩個支間嘅噉情關係都有關係,31,6
40,即係問題有關係,爹問題有關係,7,2
41,咁就我阿媽佢就,噉就我阿媽佢就,7,1
42,因為一開始佢嗰邊係講普通話嘅,因為一開始佢行U嗰邊係講普通話嘅,14,2
43,咁所以佢落嚟香港嗰陣時後咧就,抌所以佢落離香港嗰時候屋就,14,5
44,即係人哋又唔係好聽明佢講嘢佢又唔係好聽得明人哋講嘢啊,爹係人哋又唔係好聽明佢講嘢佢又唔係好聽得明人哋講嘢吖,26,2
45,咁同埋佢一開,抌同埋佢一開,6,1
46,即係佢就算佗我哋我同我家姐嗰時候都係已經係做嘢,爹係佢就算駝我哋我同我家姐嗰時候都係已經係做嘢,23,2
47,即係即係一路返工一路佗咁樣,爹係遮係一路返工一路駝噉樣,13,4
48,即係佢就唔係話即係完全喺屋企咁樣囉,爹係佢就唔係話姐係完全哩喺屋企噉樣囖,17,5
49,咁即係一直到而家都係不停咁樣返工咁樣囉係,抌遮係一即到而家都係不停咁U返工噉U囖係,20,7
50,我阿爸好少聽佢講因為我,到阿爸好少聽佢講因為我,11,1
