NUM,EXPECTED,CXM16A_qwerty,# characters,edit distance
1,我叫姚,我叫搖文件,3,3
2,一九九九年,一九九九年,5,0
3,係十六,係十六,3,0
5,我屋企有嗲哋媽咪我係一個獨生子,我屋企有爹哋媽咪我係一個讀生紙,15,3
6,第一撻住呀,第一U住呀,5,1
7,已經係喺香港紅磡區嘅黃埔花園囉,已經係喺香港紅U區嘅黃報花完囖,15,4
8,住咗幾耐呀應該由我出世開始已經係住喺嗰度冇搬過家所以應該都係十六年,住咗幾耐呀應該油我出細開始已經係住喺嗰度冇搬過加所以應該都係十六年,33,3
9,係,係,1,0
10,樓嚟㗎囉,樓嚟架囉,4,1
11,都係父母囉嗲哋媽咪就係咁,都係父冇囉得哋媽咪就係噉,12,3
12,都係一樣係喺香港但係呢個實質嘅區我就唔係好清楚啦,都係一樣係喺香港但係呢個實質嘅區我就唔係好清楚喇,24,1
13,祖藉,早U,2,2
14,鄉下呀唔記得好似係咪有一個係重慶嘅,香下呀唔記得好似係咪有一個係從興嘅,17,3
15,我自己唔係好記得啦,我自己唔係好記得嚹,9,1
17,應該就唔係嘅佢地應該係大陸落嚟嘅,應該就唔係嘅佢哋應該係大陸落來嘅,16,2
18,應該都係想生活好啲掛或者可能係中國嗰陣時呢個政局混亂嗰啲所以佢地覺得香港個生活情況比較好咁咪搬咗落嚟囉,應該都係想生活好啲啩或者可能係中國嗰陣時呢個正局運亂嗰啲所以佢哋覺得香港個生活情放比較好噉咪搬咗落來囖,51,8
19,公公就聽過就好似話佢地係游水過嚟㗎囉,共公就聽過就好似話佢哋係游水過嚟𡃉囉,18,3
20,阿爺爺嗰邊就好少同佢相處即係基本上我同佢相處嘅時間係算短所以情況就唔係好知,呀爺嘢嗰邊就好少同佢傷儲即係基本上我同佢U儲嘅時間係算短所以情放就唔係好知,37,7
21,嫲嫲就更加未見過添可以話係,嫲嫲就更加未見過添可以話係,13,0
22,係呀,係呀,2,0
23,游水過嚟點樣嘅一個情形呀,游水過嚟點樣嘅一個情形呀,12,0
24,其實當年佢地游水落嚟就一定唔係以正規嘅手續過嚟㗎啦一定係偷渡過嚟㗎啦係咪,其實當年佢哋游水落來就一定唔係已正規嘅手逐過來𡃉嚹一定係偷度過來𡃉嚹係咪,36,11
25,咁佢地游水就點游我就唔知啦,噉佢哋游水就點油我就唔知嚹,13,4
26,啫係如果講到咁深入講到話佢地用咩式游嘅我就唔清楚啦,遮係如果講到噉心入講到話佢哋用咩色游嘅我就唔清楚喇,25,6
27,係啦,係喇,2,1
28,但係淨係知道佢地係非法咁樣偷盗落嚟㗎囉,但係淨係知度佢哋係飛法噉樣偷度落來𡃉囖,19,8
29,社區精神我諗就應該係日漸衰落㗎啦已經,社區蒸神我林就應該係日U衰落𡃉嚹已經,18,5
30,啫係比起以前啲人嚟講啲人以前就更加團結呀或者係咩,遮係被起以前啲人來講啲人以前就更加團結啊或者係咩,24,4
31,就算唔係淨係我自己嗰區喺學校入邊啦好似啲同學咁樣佢地對於自己一個身份嘅認同己經開始越嚟越薄弱啦,就算唔係淨係我自己嗰區喺學校入變喇好似啲同學噉樣佢哋對於自己一個新分嘅認同已經開始越來越薄弱嚹,47,9
