NUM,EXPECTED,CXF43A_qwerty,# characters,edit distance
3,四廿三啦,得𠻺三喇,4,3
4,未生日啊嘛,地生日啊马,5,2
5,媽媽阿哥家姐老公仔仲有啲姨甥好多啦,嗱媽啊哥家姐老公仔仲有啲耳生好多囉,17,5
6,喺我屋企係最細咯,第我屋企係最細囉,8,2
7,香港,張港,2,1
8,油麻地,豆麻哋,3,2
9,十二年到啦,十二年度喇,5,2
10,西貢區,字西U區,3,2
11,係,第,1,1
12,係啦,第啦,2,1
13,十八年啦,揼八年喇,4,2
14,中國,東角,2,2
16,爸爸係媽媽係,嗱巴係嫲媽係,6,3
17,出世,出細,2,1
18,祖父母唔知,倒父冇唔知,5,2
19,就業好啲啦,豆葉好啲啦,5,2
20,係咯生活水平高啲啦,第囉生活水U高啲啦,9,3
21,所以選擇嚟香港咯,朵里選U離香公,8,6
22,少少啦,少少啦,3,0
23,都係要好辛苦咁做嘢先有錢啊咁囉,都係要好辛苦咁樣做嘢先有錢吖噉囖,15,4
24,環境就比較困難啲啦,還境就比較困難啲啦,9,1
25,可能一間屋既係只可以住到一間房住唔到一間屋囉,可能一間屋姐係只可以住到一間房吖住唔到一間屋囉,22,2
26,特別深刻啊,特別心黑吖,5,3
27,咁又冇點樣病囉,又冇點樣病囉,7,1
28,爸爸病嗰陣時啲細路仔又細咁啊擔心自己冇命咁樣樣嗰段時間囉但係咩病咁我就唔係好清楚了,嗱巴病嗰陣時啲吠路仔又西噉吖擔心自己冇命噉U樣嗰段時間囖但係咩病噉我就唔係好清楚啦,41,11
29,既係都係聽返啲家姐講即係即係講返咁囉,爹都係聽返啲家姐講啫係遮係講返噉囖,18,6
30,咁又唔清楚喎真係,噉吖唔清楚喎真係,8,2
31,咩係社區精神,爹係社區精神,6,1
32,哦,我,1,1
33,哦咁都有,我噉都有,4,2
34,都幾好,都幾好,3,0
35,差唔咁又唔係好知喎因為都係住過幾個區咁其實真係唔係好知喎不過你問有冇啊有嘅,打唔敢又唔係好知喎因為都係住過幾個區噉其實真係唔係好知喎不夾你問有冇吖有嘅,37,5
36,少啲會搵屋企人先,碟啲U揾屋企人先,8,3
37,但係如果有關係同啲即係知道啲鄰居知嘅可以幫到俾到啲資訊嘅咁都會搵嘅,但係如果有關係同啲倫啫係知度啲輪居知嘅可以幫度俾倒啲支信嘅噉都U揾嘅,33,11
38,邊度去到邊度啊,癲度度邊度吖,7,4
39,屋企係咪咁講咧應該屋企去到做嘢嘅地方或者係係我嬤即係外家囉其實或者我屋企人嘅地方住嘅地方都係嗰幾沓地方囉係咪應該咁講,爹企係咪噉講哩應該屋企去到做嘢嘅地方或者係係我麻啫係外家囖其實或者我屋企人嘅地方住嘅地方都係嗰幾達地方囖係咪應該噉講吖,58,10
40,咁深嘅,浸心嘅,3,2
41,阿媽訪問緊喎陣間先得我揸住啊,答媽房問緊喎蛋間先得我揸住吖,14,4
42,訪問,U問,2,1
43,冇喎鄰居就冇啦家人就有,倒喎U居就冇啦家人就有,11,2
44,都有嘅譬如屋苑搞啲旅行啊或者搞啲團拜啊都會嘅,都有嘅譬如屋院搞啲旅行吖或者搞啲團拜吖嗰啲都U嘅,22,6
45,但係唔多囉,但係唔多囖,5,1
46,生日派對同屋企人囉會嘅係啦,U日派隊同屋企人囉U𠸏係啦,13,4
47,有,豆,1,1
48,去旅行囉,隊旅行囖,4,2
49,咁又唔覺喎,抌又唔覺喎,5,1
50,起碼呢度識講又適應咗啲生活,起碼哩度識講又識應咗啲生活,13,2
51,咁又到咁又唔係好覺外邊比香港好囉,抌又倒噉又唔係好覺外邊俾香港好囖,16,5
52,冇乜就業會比較困難,點屋冇乜就業U比較困難,9,3
53,我覺得因為冇乜冇工業啦開始跟住又個個啲小朋友學歷又高咗啦咁啊變咗可能低層次嘅嘢冇人做啦,有覺得因為冇乜冇工業喇開始跟住又個個啲小朋友學力又高咗喇噉啊變咗可能低層次嘅嘢冇人座喇,43,7
54,咁所以有啲唔係太健康將來可能十年廿年後,抌所以有啲唔係太健康張來可能十零法年後,19,4
55,係,第,1,1
56,有因為我喺醫院度做㗎嘛,到因為我係醫院度做家媽,11,4
