NUM,EXPECTED,CXF77A_qwerty,# characters,edit distance
1,我叫,我叫,2,0
2,我呀,我呀,2,0
3,七十七十六咪七十七架啦今年,七十七十六咪七十七𡃉嚹今年,13,2
4,我屋企呀有仔啦有女啦,我U企呀有有仔喇有女啦,10,3
5,有新抱啦有女婿啦又有孫啦,幽新譜喇有女細啦又有酸啦,12,5
6,男孫女孫都有啦,南酸女酸都有喇,7,4
7,好開心架我地屋企,好開心𡃉我哋U企,8,3
8,係呀好開心係喇,係呀好開心係喇,7,0
9,啲啲仔女啊同埋啲孫呀都好好好孝義我,啲啲仔女呀同埋啲酸啊都好好好嚇二我,17,5
10,所以我好開心,所以我好開心,6,0
11,咁我有時跟去即係嗰啲長者中心嗰度玩嘅,噉我有時巾去即係嗰啲獎姐中心嗰度玩嘅,18,4
12,咁我又有去學下唱歌仔啊,噉我又有去學下唱歌仔啊,11,1
13,聽啲人講故事呀咁囉,聽啲人就講故事啊噉囖,9,4
14,咁我地嘅日常生活都幾開心,噉我哋嘅日相生活都幾開心,12,3
15,咁樣囉,咁樣囉,3,0
16,阿哥就已經唔在喇,阿哥就意經唔在嚹,8,2
17,有一個大嫂就仲喺度,有個大數就仲喺度,9,2
18,咁就即係我我地四四兄弟姊妹嘅我係最細喇,噉就即係我我哋四四興弟姊妹嘅我係最細喇,19,3
19,咁就有兩個阿哥有個家姐咁我就最細,噉就有兩個啊哥有個家姐噉我就最細,16,3
20,咁但係呢佢地嗰啲剩翻阿阿大哥唔係度喇二哥二嫂都唔係度喇,噉但係呢佢哋嗰啲剩返啊大哥唔喺度嚹二嗰二數都唔喺度嚹,27,11
21,咁淨係而家剩翻我大嫂同我倆姑嫂,噉淨係而家剩返我大數同我兩姑數,15,5
22,成日我地都有見面有時去飲茶,成日我哋都有見面有時去飲茶,13,1
23,咁咪有啲姪仔就帶埋我去飲茶囉,噉就有啲U仔就帶埋我去飲茶囖,14,4
24,咁但係啲我地啲仔女呢咁佢地就個個禮拜都會約我去食飯啊飲茶啊咁囉,噉但係啲我哋啲仔女呢噉佢哋就個個來拜都U藥我去食飯呀飲茶啊噉囖,31,10
25,有時中心去玩呢我就會跟埋中心去玩架喇,有時中心去玩呢我就會跟埋中心去玩架喇,18,0
26,所以我嘅生活都幾好嘅我我都好滿意我自己而家幾十歲咁咁嘅生活環境我都好滿意啊,所以我嘅生U都幾好嘅我我都好滿意我自己而家幾十歲噉噉嘅生活環境我都好悶意嚹,37,5
27,咁所以我係好開心囉因為因為啲啲小朋友都已經大嗮啦嘛,噉所以我係好開心囖因為因為啲啲小朋友都已經大晒喇嗎,25,5
28,咁嗰啲我話五個孫喇內內外外吓,噉嗰啲我我話唔個酸嚹耐耐外外吓,14,7
29,四個四個男孫一個女孫,四個四個南酸一個呆酸,10,4
30,咁佢地都好乖,噉佢哋都好乖,6,2
31,咁我我見到嗰啲孫仔呢我就好開心架喇,噉我我見到嗰啲穿仔呢我就好開心𡃉嚹,17,4
32,咁所以我我係都無乜野話唔唔唔開心架,噉所以我我係都冇乜嘢話唔唔開心𡃉,17,5
33,其實做人係要開開心心,其實做人係要開開心心,10,0
34,有野有乜野野呢就唔好躉喺個心嗰度,有嘢有乜嘢嘢呢就唔好等喺個心嗰度,16,4
35,可以同人啲老友記傾訴嘅都傾下計都好開心,可以同人啲路有記傾U嘅都傾吓偈都好開心,19,5
36,咁自己就唔洗咁辛苦囉咁所以我好多好朋友,噉自己就唔使咁辛苦囖噉所以我好多好朋友,19,4
37,真架,真架,2,0
38,係咪呀係呀真架呢樣野所以我講下俾你聽真係啲老友記好好架,係咪啊係呀真𡃉哩樣嘢所以我講下俾你聽真係啲路有記好好𡃉,27,7
