NUM,EXPECTED,CXM52A_qwerty,# characters,edit distance
1,中文定英文呀,中文定英文啊,6,1
2,中文就,中文就,3,0
3,吓英文就,下英文就,4,1
4,吓梗係啦唔通咩傻嘅,吓梗係喇唔通咩傻嘅,9,1
5,好講野,好講嘢,3,1
7,五十二足齡,嗯𠻺二足拧,5,3
8,屋企屋企好多人架喎,U企U企好多人𡃉喎,9,3
9,慢慢數呀嗱我有阿媽啦,慢慢數呀拿我有阿媽喇,10,2
10,吓我有有我老婆啦,下我有有個老婆喇,8,3
11,兩個仔啦,兩個仔喇,4,1
12,一個女啦,一個女啦,4,0
13,咁夠唔夠呢,噉夠唔夠呢,5,1
14,吓仲有啲咩點樣屋企呢,吓重有啲咩點U企呢,10,3
15,你嘅一定義係係同一屋簷下吖抑或係咩呢,你嘅一定二係係同一同一岸閃下啊抑畫係咩呢,18,7
16,哦咁一陣間再答嗰個問題囉好講完,哦噉一陣間再搭嗰個問題囖好喇講完,15,4
17,吓香港,吓香港,3,0
18,油麻地,油麻哋,3,1
19,油麻地當年嘅油麻地係近住嗰欄,油麻哋當年嘅油麻哋係近住果躝,14,4
20,咁就都側邊係有個海皮,噉就都側邊係有個海皮,10,1
21,未填海嘅,未填海嘅,4,0
22,咁嗰度附近就住左好多嗰啲水上人,噉嗰度附近就住咗好多嗰啲水上人,15,2
23,做躉船嘅,做等船嘅,4,1
24,吓咁嗰邊呢當年呢就屋企附近呢就有食早餐朝頭早食早餐呢有個婆仔,下噉嗰邊呢當年呢就U企附近呢就有食早餐朝頭早食早餐呢有個破仔,30,4
25,阿婆仔就買啲口垃圾嘅,阿婆仔就買啲口垃圾嘅,10,0
26,吓咁跟住呢就仲有個就有一檔呢就賣啲車仔麵嘅好早期嘅車仔麵嘅,下噉跟住呢就重有個就有一當呢就賣啲車仔麵嘅好早期嘅車仔麵嘅,29,4
27,咁車仔麵其實就住我地隔離嗰棟,噉車仔麵其實就住我哋隔離嗰動,14,3
28,就同埋我嗰層嘅,就同埋我嗰層嘅,7,0
29,吓所以佢朝頭早整車仔麵呢我地知道,下所意佢朝頭早整車仔麵呢我哋知道,16,3
30,吓咁跟住仲有一檔呢就賣豬腸粉嘅,下噉跟住重有一當呢就賣豬長粉嘅,15,5
31,吓朝頭早呢朝朝早呢咁早餐呢一係就車仔麵一係就豬腸粉,下朝頭早呢朝朝早呢噉就啲早餐呢就一係就車仔麵一係就豬長粉,25,6
32,吓咁跟住附近呢仲有士多,下噉跟住附近呢仲有事多,11,3
33,吓咁咪士多呢就有啲咩呢有啲花奶嘅嗰個叫做咩呢啫喱,下噉呢士多呢就有啲咩呢有啲花奶嘅嗰個叫做咩呢啫喱,24,3
34,就好正嘅,就好正嘅,4,0
35,放學呢你行過街口呢就有好多啲魚蛋啊咖喱魚蛋魷魚啊豬皮嗰啲食嘅,放學呢你行過街口呢就有好多啲魚蛋呀咖哩如蛋啊油魚呀豬皮嗰啲食嘅,30,6
36,即係一蚊一寸架姐就好底食好正嘅,即係一蚊一U𡃉啫就好底食好正嘅,15,3
37,吓咁跟住就有啲單車舖可以租單車啦,下噉跟住就有啲單車譜可以租單車喇,16,4
38,咁係啦街口士多呢嗱爺爺嗰陣時呢就最鍾意响嗰度買餅乾啊要黎宵夜嘅,噉係喇街口士多呢拿爺爺嗰陣時呢就最鍾意響嗰度賣餅乾啊下要離U嘢嘅,31,9
