NUM,EXPECTED,CXM20A_qwerty,# characters,edit distance
1,中文定英文,中文定英文,5,0
4,係,係,1,0
5,家族有啲咩人呀,家續有啲咩人呀,7,1
6,阿爸阿媽細佬咁多啦,阿爸阿媽細佬咁多喇,9,1
7,我係最大到啦,我係最大度喇,6,2
8,係啦,係喇,2,1
9,香港,香港,2,0
10,都係香港,都係香港,4,0
11,都係住翻啦係呀,都係住返啦係呀,7,1
12,即係都係住翻而家啲居屋呀係咪局樓呀私樓差唔多啦,即係都係住返而家啲居U呀係咪居樓呀撕樓差唔多喇,23,5
13,而家住,而家住,3,0
14,係,係,1,0
15,呢度住咗幾耐呀住咗八年到十年啦十年啦,哩度住咗幾耐呀住咗八年到十年喇十年喇,18,3
16,係,係,1,0
17,都係喺香港,都係喺香港,5,0
18,呢個唔清楚喇,哩個唔清楚喇,6,1
19,唔都係交通方便嘅問題囉,都係交通方邊嘅問題囖,11,3
20,我屋企組織喺邊度,我U企早即係邊度,8,4
21,哦鄉下,哦鄉下,3,0
22,無無聽過,冇冇聽過,4,2
23,唔係好熟,唔係好熟,4,0
24,都無喎呢度係呀無乜,都冇喎哩度係呀冇乜啊,9,4
25,由邊度去到邊度係咩意思,油邊度去到邊度係咩意思,11,1
26,哦,哦,1,0
27,去到囉,去到囉,3,0
28,冇喎好少喎,冇喎好少喎,5,0
29,氣氛呀各有各忙啦,汽U呀覺有角忙喇,8,5
30,係呀,係呀,2,0
31,都少喎,都小喎,3,1
32,都可能會嘅,都可能會𠸏,5,1
33,離開香港去旅行定係移民,離開香港去歲恆定係移慢,11,3
34,旅行有啊,對行有啊,4,1
35,去下美國啊泰泰國同埋韓國囉,去吓美國啊太泰國同埋韓國囖,13,3
36,香港嗰然好啦啊因為國際大都會吖嘛乜都有係呀,香公果然好啦因為國際大都會吖嗎乜都有係啊,21,5
37,有諗過啊,有諗過啊,4,0
38,因為我地要返工係香港搞如果搞移民就可能要由頭整過嗮好麻煩囉,因為我哋要返工係香港搞如果搞移民就可能要游頭整過嗮好麻煩囖,29,3
39,又要諗居屋啊住問題囉係呀,又要諗居屋啊住問題囖係啊,12,2
40,社區氣氛好過而家呀,社區氣分好過而家呀,9,1
41,都係呀都係架因為以前個個都起碼同隔離輪社有傾計先啦,都係啊都係架因為以前個個都起嘛同隔離輪瀉有傾偈先喇,25,5
42,但係而家都冇啦,但係而家都冇嚹,7,1
43,搬咗黎之後呢就冇乜大變化嘅因為都係話嗮香港都係一個好急速城市啦,搬咗離之後呢就冇乜大變U嘅因為都係話晒香港都係一個急U成試喇,31,8
44,地價一定貴啦,地架一定貴喇,6,2
45,跟住樓市都升所以就都吃力啦冇乜特別話咩嘅,跟住留試都星所以就都吃力啦冇乜特別話咩嘅,20,3
46,係囉應該唔會啦,係囉應該唔會嚹,7,1
47,平時出去多係食飯啦玩啦係囉聚下會傾下計咁啦,平時出去多係食份啦挽喇係囉罪下會傾吓偈噉喇,21,8
48,九成九都係嘅,九成狗都係嘅,6,1
49,外籍人,外直人,3,1
50,真係少喎,真係小喎,4,1
51,真係好少,真係好少,4,0
52,有冇呀,有冇呀,3,0
53,要諗下我真係唔係好記得啦,要諗吓我真係唔係好記得嚹,12,2
54,好似真係冇乜,好似真係冇乜,6,0
55,通常都係禮拜六日啦唔洗返工嘅時候咪出去食囉,通常都係禮拜陸日喇唔使返工嘅時浩咪出去食囖,21,5
56,都冇喎因為香港好唔唔係好興呢啲野嘅,都冇喎因為香港好唔唔係好興哩啲嘢,17,3
57,約啲呀平時都係傾開計嗰班啦或者打開機嗰啲啦係呀,約啲呀平時都係傾開計嗰班喇或者打開機嗰啲啦係啊,23,2
58,冇喎我一上咗去大專就同大專熟囉喺中學嘅時候咪同中學啲朋友熟囉,帽喎我一想咗去大磚就同大專熟囖喺中學嘅時候啲朋友熟囖,30,9
59,冇話另外出邊識人呀咁樣囉,U華另外出便識人啊噉樣囖,12,6
60,喺呀,喺呀,2,0
61,唔係好清楚,唔係好清楚,5,0
62,讀緊小學,讀緊小學,4,0
63,感覺冇乜特別囉日日戴口罩量體溫咁樣都,噉覺舞乜特別囖日日戴口罩涼睇溫噉樣都,18,6
64,係囉唔乜話點樣避忌啲咩係囉,係囉冇乜話點樣秘技啲咩係囖,13,4
65,太細個唔識驚嗰陣,太細個唔識驚嗰真,8,1
66,照計應該冇啦,照計應該冇嚹,6,1
67,社區氣氛呀都係冇乜野傾啦因為驚對面係帶菌者嗰啲囉係呀,社區氣U呀都係冇乜嘢傾啦因為驚對面係戴菌啫嗰啲囉係呀,26,4
68,都喺香港,都喺香港,4,0
69,有啊有睇直播啊,有呀有睇直布呀,7,3
70,都有嘅好似睇緊即係話嗮睇緊直播啦同埋講緊人命吖嘛咁緊係有啲沈重啊咁樣囉睇得,都有嘅好次睇緊即係話晒睇緊直布啦同埋講𡁵人命吖嗎噉梗係有啲有啲尋重啊噉樣囖睇得,37,12
71,冇喎全部喺嗮香港睇直播,冇喎全部喺晒香港體直布啊,11,4
72,都冇喎,都冇喎,3,0
73,有人跳樓囉,有人跳樓囉,5,0
74,係,係,1,0
75,冇見到有新聞,冇見倒有新聞,6,1
76,就講話有個女人就好似受唔住可能係金錢問題啦或者感情咁樣就喺度跳樓囉,就講話有個水忍就好似受唔住可能係金前問題喇或者噉情噉樣就喺到跳樓囖,33,8
77,但係佢嗰跳就冇影響到樓市嘅只係啲花邊新聞感囉,但係佢嗰跳就冇影響到留市𡃉只係啲花邊新聞噉囖,22,4
78,都冇乜喎係呀冇乜啊,都冇乜喎係呀冇乜呀,9,1
