NUM,EXPECTED,CXM17A_qwerty,# characters,edit distance
1,唔使,唔駛,2,1
3,香港,香港,2,0
4,十七歲,十七歲,3,0
5,中六,中綠,2,1
6,係啊啱啱考完試,係呀係啱啱考完事,7,3
7,我爹哋媽眯啦,哦爹爹媽咪啦,6,3
8,仲有一個細佬,仲有一個細佬,6,0
9,噉佢而家就係中四,噉女而家就係中四嘅,8,2
10,係啊係啊,係啊係啊,4,0
11,係喇,係喇,2,0
12,就係喺香港呢一度,就係喺香港呢一度,8,0
13,係喇係喇,係喇係,4,1
14,一齊住,一齊住,3,0
16,唔清楚但係我爺爺嫲嫲應該係都係係,唔清楚但係哦爺爺嫲嫲應該係都係係,16,1
17,唔知係咪香港出世但係都係香港大嘅,唔知係咪香港出細但係都係香港大嘅,16,1
18,冇喎,冇喎,2,0
19,少啲,小啲,2,1
21,少啲,小啲,2,1
22,通常都係阿爸阿媽講噉爺爺嫲嫲公公婆婆嗰啲都少啲講係啊,通常都係呀爸阿媽講噉爺爺嫲嫲共公婆婆嗰啲都小啲講係啊,26,3
23,係啊係啊係啊係啊,係啊係啊係啊係啊,8,0
24,以前細個見多啲囉而家就少咗,以前細個見多啲囉而家就小咗,13,1
25,因為大咗少咗去隔離噉就少咗見,因為大咗小咗個去隔離噉就少咗見,14,2
26,因為我讀書都係喺呢度附近噉,因為哦讀書都係喺利度附近噉,13,2
27,大部分住喺度啦噉有啲住遠啲,大部份住喺度喇噉有啲住遠啲,13,2
28,但係都係九龍附近啦係啦,但係都係九龍附近喇係吖,11,2
29,唔會嘅,唔會嘅,3,0
31,我覺得,哦覺得,3,1
32,都幾,都幾,2,0
33,即係都幾,機都幾,4,2
34,平和嘅未至於話,平和嘅未至於話,7,0
35,有啲咩好大嘅,有啲咩好大嘅,6,0
36,爭議啊或者,憎意啊或者,5,2
37,即係會覺得呢度又有唔同設施啊嗰啲噉嘅嘢噉,機會覺得醫度又有唔同切師啊嗰啲噉嘅嘢噉,20,5
38,對於住喺呢度嘅人嚟講即係,對於住喺利度嘅人來講啫,12,4
39,或者呢度嚟講其實,或者利度離講其實,8,2
40,係幾好嘅因為又近海邊啊噉樣其實,係幾好嘅因為又近海邊啊噉樣其實,15,0
41,未至於太差囉,未至於太叉囉,6,1
42,都有嘅噉即係,都有嘅噉飛,6,2
43,即係至少都會打吓招呼啊或者見到面都會認得啊噉樣囉係啊,機至小都會打下招呼啊或者見到面都會認得啊噉樣囖係啊,26,5
44,噉要好睇情況嘅即係例如睇,噉要好睇情況𠸏機例如睇,12,3
45,件事有幾,件事有幾,4,0
46,嚴重啊或者噉樣,嚴重啊或者噉樣,7,0
47,如果例如有啲好緊急嘅事噉有時都會,如嗰例如有啲好緊急嘅事噉有時都會,16,1
48,搵婆婆先啦因為佢住得近啦噉樣,玩破婆先啦因為佢又住得近喇咁樣,14,5
49,噉,噉,1,0
50,係囉但係如果有啲其他嘢或者,係囉但係如嗰有啲其他嘢或者,13,1
51,係,係,1,0
52,都會搵朋友嘅噉樣,都會揾朋友嘅噉樣,8,1
53,即係兩樣都會有嘅,飛兩樣都會有呀,8,3
54,都有嘅噉,都有嘅噉,4,0
55,即係因為我大都係喺呢一度大啦噉讀書都係呢一度噉我覺得,飛因為哦大都係喺利一度大喇感讀書都係呢一度噉我覺得,26,6
56,同埋即係有好多人都係住喺呢度附近噉所以,同埋啫有好多人都係住喺利度附近噉所以,19,3
57,一路大其實,一路大其實,5,0
58,例如以前細個會中秋節噉樣噉鄰居都會喺,例如以前細個會中秋節噉樣噉U居都會喺,18,1
59,地下嗰度玩啊或者,地下嗰度玩呀或者,8,1
60,即係有時都會約出嚟聚吓啊嗰啲噉樣,機有時都會約出離罪下啊嗰啲噉樣,16,5
61,噉係喇,噉係嚹,3,1
62,係啊係啊係啊,係啊係啊係啊,6,0
63,係啊,係呀,2,1
64,有時都有係囉去行吓或者嗰邊靜啲,有時都有係囖去行下或者嗰邊靜啲啊,15,3
65,即係海邊嗰度又靜啊噉,飛海邊嗰度又靜啊噉,10,2
66,都有嘅都有嘅,都有嘅都有嘅,6,0
67,係啊,係呀,2,1
68,有啊有,有呀有,3,1
69,近幾年,近幾連,3,1
70,去過臺灣啊星加坡啊韓國啊噉樣囉係啊,去個台灣呀升加波呀寒覺呀咁樣囉係呀,17,11
71,我覺得,哦覺得,3,1
72,如果玩嘅話,如嗰玩嘅話,5,1
73,星加坡同埋,新加波同埋,5,2
74,其實度度都差唔多,其實度度都差唔多,8,0
75,星加坡啦星加坡幾好嘅噉,升加玻喇升加玻幾好嘅噉,11,5
76,即係嗰度啲人其實都幾嘅如果你真係想問啊或者,飛嗰度啲人其實都幾嘅U嗰理真係想問啊或者,21,5
77,同埋佢嗰度,同埋去嗰度,5,1
78,又乾淨啊交通又方便啊嗰啲噉,又乾淨呀交通又方便呀嗰啲噉,13,2
79,噉我反而又覺得香港嘅嘢食唔係話,噉誒返而返來反而又覺得香港嘅嘢食又唔係話,15,6
80,即係香港係有特色嘅小食,飛香港係有特色嘅小食,11,2
81,但係,但係,2,0
82,又未至於係會掛住嘅小食,又未至於係會掛住嘅小食,11,0
83,因為係喇係喇係喇係啊,因為係喇係喇係喇係呀,10,1
