NUM,EXPECTED,CXF19A_qwerty,# characters,edit distance
1,中文定英文呀,裝文定英文啊,6,2
4,而家幾多歲,而家幾多歲,5,0
5,唔,十九歲,1,3
6,外星人哈,外星人,4,1
7,無兄弟姊妹呀,冇興弟姊妹,6,3
8,呀媽老竇,牙媽老豆,4,2
9,不過得我一個咁,不果得鵝U座噉,7,5
10,即係話我唔係算係最大,即海嘩鵝唔係算係最大,10,3
11,點講,點講,2,0
12,係咪獨身女,係咪讀生水,5,3
13,吓係獨生女,汉係讀生水,5,3
14,香港,香港,2,0
16,唔啊,帽,2,2
17,喺搬過一次啦由有一棟嗰陣時由一棟搬去另外一棟啦吓,喺搬果一次喇油U動嗰陣士油一U搬去另外一動喇下,24,12
18,我而家住喺囉都係住係,我而家住喺囉都係住喺,10,1
19,公寓呀,公遇呀,3,1
20,囉吓,囉下,2,1
21,阿媽老竇同埋隻狗,阿媽老豆同埋隻狗,8,1
22,其實隻狗算唔算係我阿妹呢,其實隻狗算唔算係我阿妹呢,12,0
23,哈係囉,係囉,3,1
24,十九年囉,十九年囖,4,1
25,你唔計呢年嘅話十八年,你唔計鸡年嘅話係十八年,10,2
26,差唔多十九年啦都係係呀,差唔多十九年囖都係係啊,11,2
27,我老竇老母都係喺香港出世嘅,我老豆老冇都係喺香港出細嘅,13,3
28,香港土生土長吓,香港头生土槳,7,3
29,祖父哈哈,祖父,4,2
30,阿爺阿媽好似我媽嗰邊即係我婆婆同埋阿阿公呢就好似喺香港出世嘅,呀爺阿媽好似我媽嗰便即係我破婆同埋阿阿工呢就好似係喺香港出細嘅,30,6
31,不過我老竇嗰邊呢即係話我阿爺同埋阿嬤好似係喺桂林嗰邊黎嘅吓,不果我老豆嗰邊呢即係話阿耶同阿好似係喺貴U嗰變離嘅下,29,11
32,嗰陣時內地嗰邊就有啲亂啦,嗰陣時耐地嗰便就有啲亂喇,12,3
33,所以佢地就黎香港避一下咁樣囉結嗰就喺依度落地生根囉,所以佢哋治離香港鼻一下噉囖結果就喺依度落地生跟囖,25,10
34,所謂嘅祖籍係乜野意思,所謂嘅早直係咩意思,10,4
35,我地大部分都係即係話我最哇好嘈啊我最最即係話我啲最近即係點講呀大部分都係住喺香港嘅不過有啲都係仲係住緊喺嗰邊嘅,我哋大部份都係即係話我最話好嘈啊我最最即係話我啲最近即係點講啊大部份都係住喺香港嘅不罐有啲都係重係住𡁵喺嗰邊嘅,55,8
36,都好似有啲親戚嘅,都好似有啲親U嘅,8,1
37,好似無吖吓吖,好似冇吖下,6,3
38,即係我地嗰邊已經無嗮親戚架啦基本上,即係我哋嗰邊意經冇嗮親U𡃉嚹基本上,17,6
39,阿媽哦頭先話吖嘛我阿媽嗰邊呢就係人黎嘅,阿媽哦頭先話吖嘛我媽嗰邊呢就係人來嘅,19,2
40,不過佢係自己即係話我阿媽嗰代之後呢都無返過去啦,不過佢係自己即係話我阿媽嗰袋之後呢都冇返過去喇,23,3
41,咁在跟住我老竇係,噉再跟住我老豆係,8,3
42,我老竇嗰邊呢全部都人黎嘅吓,我老豆嗰邊呢全部都係人離嘅下,13,4
43,我唔係好清楚即係即係話呢我記得總之嗰我唔記得左係幾時啊不過總之係嗰陣時係有啲雜囉,我唔係好清楚即係即係話呢我記得重之嗰嗰我唔記得咗係幾時嚹不過總之係嗰陣時係有啲雜囖,40,5
44,即係話內地嗰邊有啲亂囉所以佢地走過黎香港呢度囉吓,即係話耐地嗰便係有啲亂囖所以佢哋走過離香港依度囖下,24,9
45,我老竇同我講過佢喺我地,我老豆同我講過佢喺我哋,11,2
46,有一次同我講過我唔知唔記得左佢個名不過又係姓嘅即係話,有一次同我講過我唔知唔記得咗佢個名不過又係性嘅即係話,26,2
47,算係祖先嗰類啦,算係早先嗰慮喇,7,3
48,咁佢就係嗰陣時就幫呢依個邊個軍隊呀我唔記得左邊個軍隊打仗啦好耐以前佢同我講過,噉佢就係嗰陣時就幫呢依個邊個軍隊我唔記得咗邊個軍隊打仗啦好耐之前佢同我講過,38,4
49,不即係話少啲講囉,不即係話小啲講,8,2
50,即係話我阿婆嗰代之後嗰啲咁嘅野呢即係話佢地我地上幾代嗰啲野佢地全部都唔記得嗮架啦吓,即係話我阿婆嗰袋之後嗰啲噉嘅嘢呢即係話佢哋我哋重幾袋嗰啲嘢佢哋全部都唔記得晒嚹下,41,13
51,我地而家講緊幼稚園吖定係小學呀,我哋而家講𡁵幼U園定係小學啊,15,5
52,咁嗰陣時小學呢就,噉嗰陣時少學呢就,8,2
53,嗱我住喺嘅不過我學校喺嗰邊嘅,拿我住喺嘅噉不過我學校喺嗰邊嘅,14,2
54,所以呢不過都係我即係我住即係我住嗰頭呢都有好多人去去都係去同一間小學嘅,所以呢不過都係我即係我即係我住嗰頭呢都有好多人去去都係去同一間小學嘅,35,1
55,咁所以嗰陣時呢係有啲朋友都同即係同我住的幾即係幾近嘅,噉所意嗰陣時呢係有啲朋友都同即係同我住得幾即係幾近嘅,26,3
56,有一兩個都係住喺同一棟樓嘅,有一亮個都係住喺同一棟樓嘅,13,1
57,咁後尾呢,噉後尾呢,4,1
58,後尾即係即係話上到去中學嗰陣時呢就轉左校好多次啦,後尾即係即係話上到去終學嗰陣時呢就轉咗校好多次喇,24,3
59,咁之後呢識嗰啲人全部都係住喺即係住得比較遠啲囉我係算係住得比較遠嘅因為我每日返學都要成兩個鐘頭到,噉之後呢色嗰啲人全部都係住喺即即係住得比較月啲囖我係算係住得好願嘅因為我每日返學都要成量個鐘頭到,48,9
60,啊你同我講啦你成日,呀你同我講啦你成日,9,1
61,哈哈我住嗰邊呀,我住嗰邊呀,7,2
62,無即係名呀,冇即係名呀,5,1
63,哈哈無嘅不過人地成日都話係鬼佬住嗰頭,冇嘅不過人哋成日都話係鬼佬住嗰頭,18,4
64,係囉如果你一諗起呢人地啲人唔係其他人呢就會話哦班鬼佬住過頭嘅,係囖如果你一諗起呢人哋啲人唔係其他人呢就背話哦班鬼佬住嗰頭嘅,30,4
65,即即係話鬼佬住嗰邊即係你知啦吓,即即係話鬼佬住嗰邊即係你知啦吓,15,0
66,即係鬼佬鍾意住嗰頭咁樣囉,即係鬼佬鍾意住嗰頭噉樣囖,12,2
67,吓因為我地嗰邊又真係比較多啲即係即係話,下因為我哋嗰邊又真係比較多啲即係話,19,4
68,洋人呀可唔可以唔好講鬼佬呀,洋人啊可唔可以唔好講鬼佬啊,13,2
69,我覺得鬼佬有啲有啲衰囉吓,我覺得鬼佬有啲有啲衰囖下,12,2
70,邊啲先,邊啲先,3,0
71,以前有嘅,意前有嘅,4,1
72,後尾呢啲酒吧開嗮之後呢就無咩囉,後尾呢啲酒吧開晒之後呢就U咩囉,15,2
73,即係話你想慶祝嘅話都係去嗰啲酒吧去飲咁樣,即係話你想慶祝嘅話都係去嗰啲酒吧去飲飲下囖噉樣,20,4
74,咁再唔係嘅話你如果你細佬哥嘅話咪去麥當勞囉,噉再唔係嘅話如果你細佬哥嘅話咪去麥當奴囖,21,4
75,而家麥當勞無乜搞呢啲咁嘅野,而家麥當奴冇乜點搞依啲噉嘅嘢,13,6
76,再唔係去會所間房在跟住叫嗮啲朋友過黎囉吓,再唔係去會所間房跟住叫晒啲朋友過離囖下,20,5
77,咁樣如果你細佬哥嘅話啲細佬哥好鍾意搞呢啲咁嘅架吓,咁樣如果你細佬哥嘅話啲細佬哥好鍾意搞依啲噉嘅𡃉下,24,4
79,視乎啦,視符喇,3,2
80,如果即係話有好多活動嘅,如果即即係話有好多活動嘅,11,1
81,不過呢如果如果你你就點講呀視乎你有無興趣去參加囉,不過呢如果如果你你就點講呀視乎你有冇興趣去參加囖,24,2
82,係係係有互相幫助依樣野嘅不過係真係視乎個人咁樣囉,係係係有U傷幫座依養爺嘅不過係真係視乎個人噉樣囖下,24,8
83,我會,我會,2,0
84,我有一個輪居呢我地就好熟嘅,我有一個倫居呢我哋就係好熟嘅,13,3
85,咁我地呢佢地就住喺我地隔離嘅好多好多年啦,噉我哋呢佢哋就住喺我哋隔離呢好多好多年嚹,20,6
86,咁嗰陣時呢喺咁我就嗰陣時佢就佢地啱啱生左一個即係話個阿媽我地個阿媽呢啱啱嗰陣時生左生左個仔,噉嗰陣時呢喺噉我就嗰陣時佢就佢哋啱啱生咗一個即係話個阿媽我哋個阿媽呢啱啱嗰陣時生咗生咗個仔,45,7
87,咁我就睇住佢長大咁樣,噉我就睇住佢長大噉樣,10,2
88,咁我地就我地好熟嘅,噉我哋就我哋好熟嘅,9,3
89,咁我細個都唔係我細個嗰時,噉我細個都唔係我細個嗰屎,12,2
90,即係我我仲讀緊高中嗰陣時我就成日問佢佢地幫手幫我做點講呀做功課咁啦,即係我我仲讀𡁵哥中嗰陣時呢我就成日問佢佢哋幫手幫我做點講啊做功課噉樣喇,33,8
92,解問題咁樣囉吓,解問題噉樣囖下,7,3
93,如果佢地病得好緊要嘅話我肯定會嘅,如果佢哋病單好緊要嘅話我肯定會嘅,16,2
94,即係話如果係真係呢好危即係好危險嗰陣時我我即刻我可以即係話呢我真係會走去輪居嗰度咁拍門話可唔可以幫下手咁樣,即係話如果係真係呢好危即係好危險嗰陣時我我即刻我可以即係話呢我真係會走去倫居嗰度噉拍門話可唔可以幫下手噉樣,53,3
95,即係話佢地我地係由一個好好嘅關係嘅吓,即係話佢哋我哋係有一個好好嘅關係嘅下,18,4
96,我我自己就無啦,我我自己就冇喇,7,2
97,不過呢有幾次呢就哈嗰個細佬哥呢,不過呢有幾次呢就嗰個細佬哥呢,15,1
98,有一次我記得有一次呢佢走過黎拍我地門喎,有一次我記得有一次呢佢走過離拍我哋門喎,19,2
99,咁佢呢我我我嗰陣時唔喺度啦我嗰陣時係度訓啊唔係我嗰陣時喺度不過我嗰時喺度訓緊教嘅朝頭早嘅,噉佢呢我我我嗰陣時唔喺喇我嗰陣時喺度瞓啊唔係我嗰陣時喺度不過我嗰陣時喺度瞓緊教朝頭早嘅,44,8
100,咁呢佢呢走過黎拍門話,噉呢佢呢走過離拍門話,10,2
101,我成家走佬,我成家走佬,5,0
102,唔見左呀,唔見咗呀,4,1
103,點算呀咁,點算啊噉,4,2
104,喊得好淒涼咁樣啦,喊嘞好U涼咁樣啦,8,2
105,咁結嗰佢就座左喺我地屋企座左幾個鐘啦,噉結果佢就坐喺我哋U企楚咗幾個鐘喇,18,9
106,後尾佢阿媽阿爸返黎囉,後尾佢阿媽阿爸返來囖,10,2
107,哦原來佢地走左去買餸,哦原來佢哋走咗去賣送,10,4
108,咁跟住呢個佢地個佢地個,噉跟住呢個佢哋個佢哋個,11,3
109,佢地嗰個中文係咩話我唔記得左,佢哋嗰個中文係咩話唔記得咗,14,3
110,吓佢地嗰個僱傭呢就唔知好似有啲急事就跟住出左去一陣吓,下佢哋嗰個固溶呢就唔知好似有啲急事就跟住出咗去一陣,26,6
111,咁呢咁就個細佬哥就自己一個喺屋企,噉呢噉就個細佬哥就自己一個喺U企,16,3
112,咁樣就驚死佢啦嗰陣時得四五歲之嘛吓,咁樣就驚死佢啦嗰陣時得四唔歲支嘛吓,17,2
113,嗱咁我阿媽啊同老竇湊左佢囉,拿噉我阿媽啊同老豆臭咗佢囖,13,6
114,咁等等到佢啊媽返黎嗰陣時就吓,噉等等到佢阿媽返來嗰陣時就下,14,4
115,嗰嗰陣時係真係好似有啲唔知咩急事呢所以個個走左嘅,嗰陣時係真係好似有啲唔知咩急事呢所意個個個走咗嘅,24,4
116,好似佢地隻狗呢好似出左啲咩事咁樣,好似佢哋隻狗唔知出咗啲咩事咁樣,16,5
117,不過都都係我覺得有啲疏忽啦吓,不過都都係我覺得有啲梳忽喇下,14,3
118,美國,美國,2,0
119,我記得佢地好似黎嘅,我記得佢哋好似離嘅,9,2
120,不過後尾唔知搬左去美國邊度,不過後尾唔知搬咗去每國邊度,13,2
121,即係即係話呢佢地原本佢地基本上係同個阿媽細佬哥同埋佢地阿爺啦一起住嘅,即係即係話呢佢哋原本佢哋基本上係同有個阿媽喇細佬哥同埋佢哋啊爺呢一齊住嘅,34,8
122,咁呢個阿爺就黎嘅,噉呢個呀耶就黎嘅,8,3
123,嗰陣時同問過佢嘅,嗰陣時同問過佢嘅,8,0
124,咁呢後尾佢唔知搬左去邊度啦,噉呢後尾佢唔知搬咗去邊度喇,13,3
125,再跟住就吓喺第二度落地生根咁樣囉吓,再跟住就下喺弟度落地生跟噉樣喇下,17,7
126,唉大把啦不過問題就係,哎大把啦不過問題就係,10,1
127,嗱我啲輪居呢就好少講是非嘅,拿我哩啲倫居呢就好少講事飛嘅,13,5
128,所以呢我就好鍾我本身就我自己就無乜問即係即係對我地最最親即即唔係最親近即係即係話呢我地最好嗰啲嗰啲呢即係我地都都好好嘅嗰個關係,所以呢我就我本身就我自己就冇乜問即係話即係話對我哋最最親即即係唔係最親近即即係話呢我哋最好嗰啲嗰啲呢即係我哋都好好嘅嗰個關係,63,11
129,不過呢就我住嗰頭呢就有好多人就鍾意咁樣例如啲細佬哥呢成日都鍾意蝦你即係好鍾意即即係話走去揾啲第啲細佬哥去蝦囉,不過呢就我住嗰頭呢就有好多人就鍾意噉樣例如啲細老哥呢成日都鍾意蝦你即係好鍾意即係話走去揾啲第啲細佬哥去蝦囖,54,4
130,咁我就唔係咁鍾意囉即係依個係都係我細個嗰陣時我細個嗰陣時我都已經即係察覺到囉,噉我就唔係咁鍾意囖即係依個係郵都係我細個嗰陣時我細個嗰陣時U經拆角到囉,38,10
131,咁所以我就儘量避免呢啲咁嘅人啦,噉所以我就盡上避免哩啲噉嘅人喇,15,6
132,咁係囉係其實有好多依啲咁嘅是非啊即係話我唔鍾意你唔鍾意我依啲咁嘅野發生啦不過基本上呢我就儘量去避免囉吓,噉啊係囖其實有好多哩啲噉嘅事飛啊即係即係話我唔鍾意你你唔鍾意我依啲噉嘅嘢發生喇不過基本上呢我就盡量去被面囖下,51,19
133,你講到咁呢我就諗起,你講到噉呢我就林起,9,2
134,我我我一歲嗰陣時呢我阿媽阿爸嗰陣時未想丟我去幼稚園嗰度嘅,我我我一歲嗰陣時呢我阿媽阿爸嗰陣時未想調我去幼U園嗰度嘅,28,2
135,佢地覺得我太細太細啦嗰陣時,佢哋角蛋我太世太細嚹嗰陣時,13,5
136,咁佢地就丟左我去一個啦,噉佢哋就調咗我去一個喇,11,5
137,啲中文叫乜我都唔記得左啦,啲中文叫乜我都唔記得咗嚹,12,2
138,咁呢嗰陣時嗰個呢就喺我嗰棟我住嘅咁嗰個呢好似喺五樓嘅,噉呢嗰陣時嗰個呢就喺我嗰動我住嘅噉嗰個好似喺唔樓嘅,26,5
139,咁呢我阿媽同我講呢有一次呢,噉呢我阿媽同我講呢有一次呢,13,1
140,有個輪居呢即即係喺嗰個嗰度佢咬左係咬左我個頭一啖喎,有個輪居呢即係即係喺嗰個嗰度佢嗌咗喺咬咗我個頭一啖喎,25,5
141,咁好似喺度流血喎,噉好似喺度流月喎,8,2
142,咁呢我咁你細佬哥俾人咬呢肯定唔啤架啦係咪,噉呢我噉你你細老哥俾人咬呢你肯顶唔啤𡃉喇係唔係,20,10
143,咁嗰真時呢佢地好佢地就就同同嗰個女仔個阿媽阿爸嘈囉,噉嗰陣時呢佢哋好佢哋就就同同嗰個嗰個旅仔個阿媽啊U嘈囖,25,10
144,仲有另外一次就仲有另外一次就我嗰陣時細佬哥嗰陣時我就唔小心呢喺度跳黎跳去啦,仲有另外一次就仲有另外一次就我嗰陣時細老哥嗰陣時我就唔小心呢喺度跳離跳去喇,37,3
145,咁呢嗰個咁住喺樓下呢嗰個嗰個唔知嗰個人呢就走上黎同我老竇咁嘈囉吓,噉呢嗰個噉聚喺樓下呢嗰個嗰個唔知嗰個人呢就走上離同我U豆噉嘈囖下,32,9
146,即係即係話有係有好多事嘅即即係話,即係即係話有係有好多事嘅即即係話,16,0
147,不過即係話緊都唔係因為我即係我老竇都好鍾意搞撩事鬥非咁樣嘅,不過即係話韞都唔係因為我即係我老豆都好鍾意搞來事到飛噉樣嘅,29,6
148,不過呢近幾年無乜囉因為我地啲輪居呀同埋即係住我地嗰棟即係即係好多人都搬走左啦,不過呢近幾年冇乜囖因為我哋啲倫居啊同埋即係住我哋嗰動即係即係好多人都搬走阻喇,38,9
149,其實我細個嗰陣時呢即係最鍾意搞依啲咁嘅事出黎嗰啲人呢全部都搬嗮,其實我細個嗰陣時呢即係最鍾意搞依啲噉嘅事出來嗰啲人呢全部都搬晒,31,3
150,所以而家呢我就我地成日都我地對我地嗰棟樓嗰啲人呢無乜問題架吓,所以兒架呢我就我哋我哋對我哋嗰棟樓有啲人呢冇乜問題𡃉下,30,12
151,社區精神呀,社區精神呀,5,0
152,好難講因為我地住住公寓嘅,好難講因為我哋住住公預嘅,12,2
153,所以呢就好難有依個咁嘅所謂嘅社區精神,所以呢就好難有哩個噉嘅所謂嘅社區精神,18,2
154,因為呢呢啲通常係住喺屋嗰啲人呢先會有架嘛咁你又即即係話你譬如係花園嗰度呢淋花嘅話呢你就同依個啊講啊咁樣我地無依啲咁嘅野嘅,因為哩啲通常都係住喺U嗰啲人呢先會有𠺢嗎噉你日日你劈如你日日喺花園嗰度淋花嘅話呢你就同依個啊講啊噉我哋冇依啲噉嘅嘢嘅,60,22
155,即係話係有嘅鍾意帶狗嗰班囉,即係話係幼嘅鍾意帶狗嗰班囖,13,2
156,帶狗即係話我地嗰邊俾養狗嘅,戴九即係話我哋嗰邊俾養九嘅,13,4
157,咁所以呢啲啲輪居成日都會撞到即係買餸啊即係帶狗啊搭巴士嗰陣時都會啊傾計咁樣樣,噉所意呢啲啲輪居成日都U撞到即係買送呀即係帶狗呀搭巴士嗰陣時都會呀傾偈噉樣,38,10
158,都算有嘅不過即係話我地唔係好親近架囉吓,都算有嘅不過即係話我哋唔係好親近𡃉囖,19,4
159,緊係唔會啦哈,梗係唔會喇,6,3
160,你自己香港人你同我講喇,你自己係香港人你同我講嚹,11,2
161,你話我聽你覺唔覺呀,你話我聽你覺唔覺吖,9,1
162,咁緊係唔好啦,噉梗係唔好喇,6,3
163,唉香港啊好香港依度真係啲啲人全部都係呢,哎香港啊好香港哩度真係啲啲人全部都係呢,19,2
164,依依啲叫咩呀英文就啦中文有無中文有架唔記得左叫咩啊,依依啲叫咩呀英文係喇中文有冇中文有𡃉唔記得咗叫咩,25,6
165,認識人呀係咪呀,人識人呀係咪啊,7,2
166,啊吓吓吓,呀下下下,4,4
168,唔係嘅話我都唔會跑黎加拿大讀書啦係咪,唔係嘅話都唔會跑離加拿大讀書啦係咪,18,2
170,有,有,1,0
171,咁我細個嗰陣時呢即即係話,噉我細個嗰屎呢即即係話,12,3
172,即我地講緊係幾多歲到幾多歲呀,即我哋而家講𡁵係幾多歲到幾多歲啊,14,5
173,好多次喎我有唔想講到好似吹水咁樣不過真係太太多次啦喎,好多次喎我又唔想講到好似吹水咁樣不過真係太多次喇喎,26,3
174,我即係出出過出過去好多次,我即係出出出過去好多次,12,1
175,我去過泰國好多次啦,我去過泰國好多次喇,9,1
176,去過泰國至少七八次到啦去過內大陸囉吓,去過泰郭至小七U次到喇去過耐大陸囖下,18,7
177,去過幾次去過好多次啦我老竇好鍾意去大陸嘅,去過幾去過好多次啦我老豆好鍾意去大陸嘅,20,2
178,東南亞啦主要都係吓,東南牙喇主擾都係,9,4
179,義大利,意大利,3,1
180,加拿大囉不過我係第一次黎加拿大所以,加拿大喇不過我係第一次離加拿大鎖以,17,3
181,義大利真係唉無得彈呀,意大利真係矮冇得U啊,10,5
182,美完髮彩無得彈啊真係哇好掛住呀頂,每完發彩冇得U啊真係話好掛住啊頂,16,6
183,有,有,1,0
184,我四人黨囉,我四人擋囉,5,1
185,我同埋我另外三個朋友呢全部都係我地同以前同一間學校嘅,我同埋我另外三個朋友呢全部都係我哋係以前同一間學校嘅,26,2
186,咁而家呢我地三有三個已經即係我啦同埋另另外嗰兩另外嗰兩個就北我早一年畢業嘅,噉而家呢我哋三幼三個意經即係我喇同埋另外嗰兩領外嗰兩個比我早一年不業嘅,37,10
187,在跟住我今年上年我畢業啦今年呢最後一個畢業啦咁樣我地通常都係係囉我地係四人黨黎嘅吓,噉再跟住今年上年我畢業喇金年呢最後一個畢業嚹噉樣我哋通常都係係囖我哋係四人擋離嘅下,41,13
188,而家就少啲啦因為我全部都係各散即即係話,而家就小啲啦因為我哋全部都係覺散即即係話,19,3
189,係呀各散東西咁樣啦不過,係呀角散東西咁樣啦不過,11,1
190,我諗我地下次見都應該依個暑假上次同佢地一齊嗰陣時都係上一個暑假啦吓,我諗我哋下次見都應該依個暑假上次同佢哋一齊嗰陣時都係上一個暑假喇下,33,4
191,咁係囉我地以前都即係我地以前日日都搭船返學呀,噉係囖我哋以前都即係我哋以前日日都搭船返學啊,22,5
192,咁我地哈都搭左好多年啦係咪都有六年啦係咪,噉我哋都答咗好多年喇係咪都有六年喇係咪,20,7
193,咁所以我地嗰個友誼好深嘅吓,噉所誒我哋嗰個有而好深嘅下,13,6
194,廣場囉,廣場囉,3,0
195,即係我地嗰邊有廣場有好多廣場吖嘛咁,即係我哋嗰邊有廣有好多廣場吖嗎噉,17,4
196,咁其實都唔係好多得兩個姐不過我地以前成日都會去廣場嗰度食行街食飯咁樣,噉其實都唔係好多得兩個啫不過我哋意前成日都會去廣場嗰度食行街食飯噉樣,34,5
197,有有零五零四定係零五年嗰陣時呢有一個山火啦,有有另五零四定係另五年嗰陣時呢有一個閂火喇,21,4
198,咁真係嗰陣時係真係好得人驚,噉安係嗰陣時係真係好多人驚,13,3
199,因為呢半夜三更嗰陣時呢突然間呢就響火鐘啦吓,因為呢半夜三爭嗰陣時呢特然間呢就響火宗喇下,21,5
200,響火警定係響火鐘我唔記得左啦,嚮火竟定係嚮火中我唔記得咗嚹,14,6
201,係響火警咁呢咁我阿媽呢好即係好急咁樣樣呢咁就即刻呢叫我起身啦,係響火景噉呢噉我阿媽呢好即係好急噉樣呢噉就即刻呢叫我起新喇,30,8
202,我嗰陣時真係訓到訓到好似我真係好似死我真係訓到死咁樣,我嗰陣時真係瞓到瞓到好似我真係好似我真係瞓到死噉樣,26,5
203,即係話呢你叫極我都叫唔醒啦,即係話呢你叫極我都叫唔醒喇,13,1
204,咁後尾呢咁嗰陣時一跑咁我地一行出去嗰陣時哇個山嗰個嗰條成條火龍黎嘅嗰陣時,噉後尾呢噉嗰陣一跑噉我哋一行出去嗰陣時呢嘩個山嗰個嗰條成條火龍離嘅嗰陣時,36,8
205,咁嗰陣時真係呢個火呢離我地屋企真係隔一條街架咋,噉嗰陣時真係呢個火呢離我哋U企真係𠺝一條街咋,23,5
206,真係好近好近嗰陣時我真係好驚我地成棟樓都會都會真係即係話吹即即係話俾啲風火呢即係燒到呢無嗮啦,真係好揾好揾嗰陣時我真係好驚我哋成動樓都會真係即係話吹即即係話俾啲風火呢即係U到呢冇嗮嚹,46,9
207,咁嗰陣時就真係好得人驚啊,噉嗰陣時就真係好多人驚啊,12,2
208,吓咁,下噉,2,2
