NUM, PINYIN, EXPECTED
1,gong2zung1man2
3,jat1gau2ng5baat3nin4
4,ng5sap6seoi3
5,jau5gai3maai4ngo5zi6gei2jau5sei3go3jan4
6,ngo5ge3
7,ge3zoeng6fu1laa3tung4maai4ngo5jat1go3zai2jat1go3neoi5
8,hai2hoeng1gong2ceot1sai3
9,hoeng1gong2gaa1ting4jau5sei3go3jan4
10,baa4baa1maa4maa1ngo5tung4maai4sai3lou2
11,hai6aa3
12,hai2zung1gwok3jin4hau6loi4heoi3zo2hoeng1gong2
13,jan1wai6daa2zoeng3lo1
14,jat6bun2zai2lei4daa2gam2heoi3zo2hoeng1gong2
15,mei6gin3gwo3ham6baang6laang6sei2saai3
16,ze1hai6ngo5ceot1sai3go2si4hau6sei2saai3gaa3laa3
17,hai6mai6ngo5cyun4bou6dou1jiu3gong2zung1man2
18,seng4jat6geng1zyu6daai6luk6sau1faan1hoeng1gong2lo1gam2
19,gam2hoeng1gong2jau6jiu3zaang1dak1hou2gan2jiu3sin1jap6dou2daai6hok6duk6syu1le1gam2maa3
20,so2ji5duk6dou3zung1hok6zau6aa6si3haa5lei4gaa1naa4daai6tam3tam3tam3jau6sau1jau6ngaam1bat1jyu4lei4laa1gam2laa1
21,sap6
22,sap6cat1seoi3
24,tau4tau2ngo5m4hai6ji4man4lei4ge2tau4tau2ngo5lei4hai6ge3hai6ngo5hok6saang1cim1zing3
25,gam2so2ji5tau4tau2lei4dou3tung4maai4ngo5lei4dou1le1ngo5zau6hai6duk6gei3suk1hok6haau6
26,gam2so2ji5le1zau6hai6sik6tung4zyu6dou1laa1mou5mat1so2ji5zau6
27,mou5mat1man6tai4lo1duk6jyun4
28,duk6jyun4dou2gei3suk1hok6haau6dou1sik1zo2di1dei6fong1gam2zau6ho2ji5zi6gei2ceot1heoi3zyu6laa1
29,mou5mat1man6tai4
30,dou1gei2hou2
31,jan1lei4
32,tau4tau2lei4dou1le1gok3dak1jau5di1
33,di1di1zi2hou2gwai3aa3
34,ze1hai6gam2ngo5hoeng1gong2jan1wai6ngo5dei6
35,ngo5ngo5ngo5
36,duk6sou3gam2maa3gam2seng4jat1dou1jiu3zou6hou2do1go2di1le1
37,gam2seng4jat6dou1gok3dak1jiu3jung6go2ze1hai6ngo5dei6jau6m4sik1maai5jat1maai5go2di1ze1hai6daan1hong6zi2
38,gam2ngo5gok3dak1ngo5gok3dak1lei4gai3sou3le1hou2gwai3lo1
39,gam2hau6loi4ngo5dei6le1zau6go2si4hau6
40,duk6suk1hok6haau6le1dou1ho2ji5ceot1gaai1gaa3maa3gam2ngo5dei6
41,zing2ceoi3gaai1dou6le1maai5go2di1le1
42,jan4dei6le1zau6hai6bei2zi2doi2ngo5dei6zong6le1keoi5m5hai6gaau1doi6jung6zi2doi2
43,jyu1si6le1ngo5dei6zau6
44,ngo5zeoi3gei3dak1ngo5dei6hai6jung6di1zi2doi2le1lei4dou6zou6jan1wai6gai3sou3maa3haan1faan1di1cin2
45,gam2go2si4hau6joeng2dou1ze1hai6wui5
46,wui5gok3dak1hou2gwai3lo1jan1joeng6je5dou1
47,ze1hai6aa3ze1hai6sing4ng5gam2gam2gok3dak1hou2gwai3gam2so2ji5zau6wui5pei3jyu4
48,daan6hai6ngo5tung4maai4tau4tau2lei4dou3le1m4zi1dim2gaai2jan1wai6hai2hoeng1gong2hou2
49,hou2ze1hai6go3go3dou1hou2sau3laa1gam2le1zau6hou2paa3fei4lo1
50,gam2dak1baat3sap6bong6daai6zi6jin4hai6gok3dak1zi6gei2hou2fei4lo1
51,gam2dei6ge2go2zan6si4dou1tung4di1gaa1jan4m4gou1daan6hai6go2zan6si4hou2fei4
52,gam2so2ji5lei4dou3gaa1naa4daai6go2si4hou6le1gin3go3go3dou1fei4dyut1dyut1laa1
53,gam2tung4maai4ngo5jau6duk6gei3suk1hok6haau6go3go3dou1hou2hoi1sam1laa1zyu6maai4jat1cai4gam2jyu1si6zau6wui5
54,jat1jat6zou2caan1sik6zo2sap6go3laa1
55,hai6mai6sap6go3m4zi1sap6go3ding6baat3go3
56,jau6jau5jat1jat6sik6zo2sap6ng5go3bun3caang2laa1
57,gam2saam1go3neoi5zai2jau6sik6zo2zing6hai6ngo5dei6jau6sik6sap6go3haa1zi2min6lo1gam2jyu1si6jyu1si6hai2jat1nin4leoi5bin6le1
