NUM,EXPECTED,C1M61A_qwerty,# characters,edit distance
1,我叫做,我叫做,3,0
2,我係一九四九年,我係一九肥九連,7,2
3,今年六十一歲,金練六十一歲,6,2
4,過咗六十一㗎啦其實,個咗六十一至囖其實,9,3
5,我屋企咧,我U企囉,4,2
6,你講屋企係我而家,李講U企係我而家,8,2
7,而家呢度吓,而家哩度吓,5,1
8,咁我有我太太啦同埋有兩個女,噉我有我太太啦同埋有兩個女,13,1
9,但係兩個女都嫁咗,但係兩個裏多𡃉咗,8,3
10,全部,全部,2,0
11,喺晒外邊㗎啦,喺晒外便個呀,6,3
12,所以間屋企就得我同我太太㗎啫而家,所以間屋企有得我同我太太啊啫而家,16,2
13,就啲家庭係點樣,就啲家停係點養,7,2
14,哦咁樣樣咁,咁樣噉,5,3
15,我以前我哋屋企咧就其實有六,哦以前誒哋屋企啊就其實有六,13,3
16,個人啦我爸爸媽媽啦,個人啦我爸巴嫲媽啦,9,2
17,咁然後我哋有四兄弟姊妹,噉然後我哋有四興弟姊妹,11,2
18,咁就三個仔,噉就三個仔,5,1
19,就一個女,就一個裏,4,1
20,咁我排第二嘅,噉我排大二嘅,6,2
21,咁我個妹係第三嘅,噉我個每係第三嘅,8,2
22,咁即係我前邊有個哥哥有個細佬咁啦,噉遮係我前邊有哥歌喇試有個細U噉啦,16,8
23,咁又係喎,噉又係喎,4,1
24,咁個個都話媽咪錫女多啲,噉個個啲話媽咪錫裏多啲,11,3
25,咁我個妹又好似男仔頭咁樣因為有三個男仔喺屋企啊嘛,噉我個每又好似藍仔頭噉樣因為有三個藍仔喺屋企啊,24,6
26,咁佢就唔係幾女仔㗎好男人嘅,噉佢就唔係幾裏仔嘍好U癮嘅,13,5
27,我喺香港,我喺香港,4,0
28,都喺香港啦,读喺香港喇,5,2
29,就地方咧就係九龍嘅深水埗,就哋方就係九龍嘅深水埗,12,2
30,即係我喺深水埗出世咁深水埗嗰度住,遮係我喺深水補出細噉深水補嗰度住,16,5
31,咁呢個就係我喺嗰度住,噉哩個就係我喺嗰度住,10,2
32,深水埗咧其實就係香港係九龍嘅,深水補囉其實就係香港喺九龍嘅,14,3
33,其中一個區嚟嘅,其中一個區離嘅,7,1
34,咁香港有都知有尖沙咀油麻,咁香港有一支有尖沙嘴油麥,12,4
35,地旺角咁啊嘛,哋旺角噉啊嘛,6,2
36,咁如果你由你嗰個南邊一直向北邊,噉如嗰理油離嗰個藍邊一直向筆便,15,8
37,數咧,數囉,2,1
38,數三四個輪就到深水埗㗎啦,數三肥個U就到深水補個啊,12,5
39,係啊,下,2,2
40,咁就唔係村屋係市區嚟㗎其實,噉就唔係穿屋係市區離嘅其實,13,4
41,係市區嘅屋嚟嘅,係市區嘅U離嘅,7,2
42,即係話咧嗰啲屋咧,遮係話爹嗰啲岸囉,8,4
43,樓下係鋪頭樓上係住人嘅,樓下係舖泡樓上係住人嘅,11,2
44,咁係嗰啲舊式,噉係嗰啲舊熄,6,2
45,嘅叫做唐樓,嘅叫做堂樓,5,1
46,我諗你未唔知乜係識唐樓啦,哦林理未唔知係咩堂樓,12,7
47,係一啲屋咧有條樓梯佢一間屋有三層嘅,係一啲U囉有條樓梯其實間屋囖有三塵嘅,17,6
48,咁樓下就就咁入得啦,噉樓下就就噉入得啦,9,2
49,然後有條側一條樓梯咁,完後一條斜一條樓梯噉,10,4
50,一直側上去嘅,一直斜上去嘅,6,1
51,咁後呢一半咧就二樓,噉喉利一半呢就二漏,9,5
52,再上埋嗰半咧就三樓,再上埋個半呢滯三樓,9,3
53,所以咧二樓,所以爹二樓,5,1
54,入屋嗰度咧就係間屋嘅,入U嗰度哩滯間U嘅,10,5
55,中間,中間,2,0
56,三樓就喺屋嘅後邊入咁𠶜啦你都知佢一直側上去㗎嘛,衫樓就喺屋嘅後便入拌滯嚹理知佢一至斜就去個马,23,12
57,哈係好得意㗎嗰啲叫唐樓,下係本得意啊嗰啲U嗰啲叫堂樓,11,7
58,就嗰啲舊屋咧,就嗰啲舊U囖,6,2
59,連廁所都冇嘅,連廁所多冇嘅,6,1
60,只係有個廚房嘅啫,遮係有個廚房個啫,8,2
61,啦咁啊點去廁所咧梗係冇自動沖水啦,嗱噉啊點去廁所屋緊係冇自動沖水啦,16,4
62,咁咪個個啲房有個痰桶喺度囉,噉咪個個啲房有啲痰筒喺度囖,13,4
63,咁然後喺廚,噉完後喺廚,5,2
64,房側邊某啲咧,房汁邊某啲囉,6,2
65,就有個,就有個,3,0
66,有一個嗰啲我哋叫做甕啊即係有個嗰啲,有一個嗰啲我哋叫做U啊啫係有個嗰啲,17,2
67,一個咁好大個嘅,一個硬呀好大個嘅,7,2
68,咁個個咪拎住個痰桶倒落去囉,噉個個咪扐住個痰筒咪倒落去囖,13,5
69,到到夜晚咧就有人嚟,到到夜晚U就有人離,9,2
70,啦,啦,1,0
71,呢啲係香港喺,哩啲係香港喺,6,1
72,未有新嗰啲新樓起之前咧,未有新嗰啲新樓你之前囉,11,2
73,係咁樣嘅即我哋細路仔嗰時都係咁樣嘅,係咁樣嘅遮係我哋細路仔嗰市都係噉樣嘅,17,4
74,一家人住一間屋咁,一加人住係間屋噉,8,3
75,不過我哋細路仔就唔係喎,筆個我哋細路仔又唔係喎,11,3
76,我細路仔嗰間屋咧因為有幾間,我細路仔嗰間屋囉因為有幾間,13,1
77,房嘅,房嘅,2,0
78,咁變咗我哋屋企咧就係,噉變咗我哋屋企啊就係,10,2
79,中間嗰間房就係租咗畀人嘅我哋細路仔嗰陣時,中間嗰間房就係租咗俾人嘅我哋細路仔趕時,20,3
80,房即呢間屋裡邊咧仲有我阿嬤喺度住嘅,放扯哩間屋裏邊囖仲有我啊嫲係度住嘅,17,8
81,仲有我兩個姑媽喺度住添嘅,仲有我兩個姑媽喺度住添嘅,12,0
82,係啊,下,2,2
83,住一二三四,住一二三四,5,0
84,五,五,1,0
85,差唔多啦未夠十個嘅,參唔多啦未夠十個嘅,9,1
86,都八九個㗎啦,多八九個至呀,6,3
87,係呢個係舊樓,係哩個係舊樓,6,1
88,我,我,1,0
89,即係由細路仔出世一直至到,遮係油細路仔出細直至到,12,4
90,十,十,1,0
91,三歲到十二歲到啦,三歲倒十二歲度啦,8,2
92,咁十三歲之後我哋就搬,噉十三歲之後我哋就搬,10,1
93,搬屋啦呢邊屋拆啦,搬屋喇哩邊屋拆啊,8,3
94,咁我哋就搬咗去土瓜灣囉,噉我哋就搬咗去头花環啦,11,5
95,係啊,U,2,2
96,土瓜灣咧就新樓啦而家嗰啲係新樓嚟㗎啦,桃關蘭屋就新口呀而家嗰啲係新樓離嘍啊,18,9
97,去到土瓜灣嗰啲屋咧我爸爸嗰間好特別嘅,去到头關還嗰啲岸囖我爸巴嗰間好揼別嘅,18,7
98,因為我爸爸係喺,因為我爸巴係喺,7,1
99,政府嗰啲機關到做,政府嗰啲機關度做,8,1
100,郵政局㗎我爸爸郵政局嗰度做嘢㗎,油政局個我爸巴油政局嗰度做嘢㗎,15,4
101,咁所以佢哋嗰陣時,噉所以佢哋趕時,8,3
102,政府咧就有一啲叫做畀呢啲,政府囖就有一啲叫做俾利啲,12,3
103,即呢啲,遮利啲,3,2
104,佢嘅雇員嘅,佢做顧圓嘅,5,3
105,咁變咗我爸爸哋咧就,噉變咗我爸巴地囖就,9,4
106,即四十個佢哋啲同事咧,遮四十個佢哋啲同事嘞,10,2
107,就做咗一個開咗,就做咗一個開咗,7,0
108,咗一個,咗一個,3,0
109,咁就政府畀笪地佢咁咪佢哋,噉就政府俾U地佢噉咪佢哋,12,4
110,請職師啊咁咪起一間屋囉,請即時啊噉马你一間屋囖,11,6
111,所以我哋嗰間屋咧後期喺土瓜灣嗰間屋咧,所以我哋嗰間U囖後其係桃哥環嗰間屋囖,18,8
112,就有四十伙人嘅,就有四十火人嘅,7,1
113,就五層樓,就五層樓,4,0
114,有有八幢,有有八座,4,1
115,黐埋晒一堆咁,黐埋晒一堆噉,6,1
116,有八個一層,有八個一層,5,0
117,咁有五層,噉有五層,4,1
118,哈咁我哋係其中一層啦,嗯噉我哋係其中一層,10,3
119,咁呢啲就係新樓啦,金哩啲就新樓啊,8,4
120,全部廁所都有兩個嘅,全部廁所啲有兩個嘅,9,1
121,廳啊騎樓啊乜都有嘅,聽騎樓乜多有嘅,9,4
122,咁你畀以前嗰間屋梗係好好多啦即樣樣嘢,錦鯉俾以前嗰間屋梗係好多啦遮樣嘢,18,6
123,乜都有啦咁,乜多有呀噉,5,3
124,係啊,U,2,2
125,啊咁我哋搬咗嚟加拿大咧嚟時,嗯噉我哋搬咗離加嗱大囖厘是,13,7
126,至到而家咧有二十年啦,至到而家囉有二十年啊,10,2
127,我哋一九九零年嚟嘅,我哋一九九齡年離嘅,9,2
128,今年二零一零年啦咁啊,嗯今年二U一零年啦噉,10,4
129,差唔多啦如果八月就滿二十年,參唔多啦如嗰八月就係滿二十年,13,3
130,你一九九零啊哎咁啊,理一九零矮噉,9,6
131,好啱喎你就早啲啊好似早啲,好啱喎理就早啲呀好似早啲,12,2
132,你早我哋起碼三年啊我諗啊,離早我哋起碼三年哦林,12,5
133,咁啊,哦噉嗎,2,3
134,其實就即係個原因咧,其室就姐二個原因呢,9,4
135,講到尾都係,講多尾都係,5,1
136,為細路仔㗎嗻,為細路仔嘍啫,6,2
137,我哋成日覺得即係話咧,我哋成日覺得即係話囖,10,1
138,啦香港個知道,嗱香港個至到,6,3
139,一九九七到啦咁,一九九七到啦噉,7,1
140,即嗰啲細路仔個教育,姐嗰啲細路仔個教肉,9,2
141,會點咧咁咁我哋嗰陣時係一個疑慮,會點囖噉噉我哋趕時係一個移類,15,7
142,咁所以我哋咧就,噉所以我哋囖就,7,2
143,決定畢業畀多啲啲,決定不如俾多啲啲,8,3
144,即嗰啲女啦嚟到,姐嗰啲裏啦離到,7,3
145,即佢可以第日揀我返香港做嘢又得我去邊度都任佢,啫佢可以第日揀我返香港做又得我去邊度都任佢,22,2
146,但係我哋決定喺呢度,但係我覺得喺利度,9,4
147,就對佢哋嘅發展係好啲,就對佢哋嘅發件係好啲,10,1
148,所以我哋嗰陣時我嚟咧就係,所以我哋角市我離啊就係,12,5
