NUM,EXPECTED,C1M59A_qwerty,# characters,edit distance
1,我叫做霍,我叫做U應窗,4,3
2,一九四九年,一九四九連,5,1
3,爭少少就六十歲,撐少少就六十歲,7,1
4,乜嘢叫做家庭啊,乜嘢叫做家停啊,7,1
5,我有一個老婆有三個女囉,我有一個佬婆有三個旅啦,11,3
6,香港個家庭啊,香港個家停呀,6,2
7,我有一個哥哥一個爸爸一個媽媽囉,我有一個哥歌一個爸巴一個嫲媽囖,15,4
8,我喺香港出世,我喺香港出細,6,1
9,第一個地方住喺九龍漆咸道,第一個地方住喺九龍七咸豆,12,2
10,紅磡區,紅U區,3,1
11,唔係一間屋係一個二樓來嘅,唔係一間岸係一個二樓離嘅,12,2
12,係一梯一棟大廈,係一梯一棟大廈,7,0
13,會有三層高咁樣囉我哋住喺第二層囉,會有三層膏噉養囖我哋豬喺第二層囖,16,6
14,之後咧就搬咗去近海皮黃埔街嗰度囉,之後屋就搬咗去近海陪黃布街個度囖,16,5
15,好似呢度嗰啲嘅公寓咁樣囉,好似利度嗰啲嘅公預噉養囖,12,5
16,我而家咧住喺多倫多,我而家囉住喺一多輪多,9,3
17,士嘉堡區,士家布區,4,2
18,係租嘅公寓大廈,係租嘅公遇大廈,7,1
19,我同我太太同埋我嗰女囉,我同我太太同埋我個裏囉,11,2
20,係啦呢個女就係霍,係呀利個裏就係菜仲司呀,8,7
21,喺度住咗幾耐係咪係一年多啲咁多啦,喺度住咗幾袋係咪係一連多跌咁刀啦,16,4
22,唔錯啊,唔錯吖,3,1
23,因為啊交通好方便啊買嘢好方便啊對面有個購物市場啊,因位唔呀交通好方便呀買嘢好方便呀對面有個扣乜市場呀,24,8
24,附近啊好多餐館好多好好味嘅嘢食又好好味喎,附赶呀好多餐館好多好好味嘅嘢食有好平喎,20,5
25,好多種人都有嘅有中國人啦香港人啦有啲又中國嚟嘅人啦有啲黑人有啲白人,好多種人都有嘅有中國U喇香港U喇幼啲幼中國離嘅運喇幼啲黑U幼啲百U,33,14
26,都係好混雜嘅有啲印度人啊咁樣,都係好運習嘅有啲印度人啊咁樣,14,2
27,鄰居都冇乜交談喎,倫居都冇乜膠噤也,8,4
28,剛剛隔籬嗰家搬咗嚟都唔夠一個月,啱啱隔離嗰加搬咗離都唔夠一個月,15,5
29,係啦對面嗰啲啊有時喺電梯口撞到啊咁大家點下頭笑傾兩句咁樣囉,係啦對面嗰啲呀幼事喺電梯口撞倒嘩咁帶家點那頭兆傾兩句咁樣囖,29,9
30,好啊,好哇阿,2,2
31,我爸爸喺中國我媽媽喺香港,我爸巴喺中國我嫲妈喺香港,12,3
32,中國喺廣州順德,中國喺廣州U得,7,2
33,爸爸咧就到十幾歲因為打仗所以要走難走難,爸巴安就到十幾歲因為打仗所以要走爛走爛,19,4
34,落咗香港囉,落咗香港囖,5,1
35,媽媽喺香港出生喺香港長大喺香港死囉,嫲媽喺香港出生喺香港槳大喺香港死,17,3
36,太公外公係咪啊,太工外功係咪啊,7,2
37,外公都係香港人,外公都係香港人,7,0
38,因為多倫多好好嘅地方囉好舒服囉,因為多輪多好好嘅地方囖好舒服囖,15,3
39,人冇香港咁迫囉,人冇香港咁逼囖,7,2
40,搬嚟移民嚟係咪啊一九八三年囉,搬離啊移民離係咪啊一九八三年囖,14,4
41,係啦二十六年啦差唔多,係喇意十六年啊差唔多,10,3
42,移民嚟呢度啲故事啊你想聽邊啲故事啊,移民累哩度啲故事啊利想聽邊啲故事啊,17,3
43,你講嘅一啲,李講筆嘅一啲,5,2
44,係啊哈,係呀克,3,2
45,嗰度啊唔係移民喎係學生嘅喎,嗰度呀唔係移民喎嗰度學生嘅喎,13,3
46,係啊喺香港讀完大學咁就要升學,係呀喺香港讀完大學噉就要升學,14,2
47,加拿大嗰間大學收咗我喺嗰度讀書,加嗱大個間大學收咗我喺個度讀書,15,3
48,咁啊有機會嚟加拿大嗰度讀咗兩年書囉,噉啊有機會離加拿大個度讀咗兩年書囖,17,4
49,讀完書返返香港做嘢,讀願書返返香港做嘢,9,1
50,讀書嗰陣時就好鍾意加拿大呢度嗰啲嘅生活方式,讀書個陣視就好鍾意加拿大依度嗰底嘅生U方色,21,6
51,咁樣返咗香港做下嘢結咗婚然後咧就生咗第一個女,咁樣返咗香港做下嘢結咗婚現後惡就生咗一第一個女,22,3
