NUM,EXPECTED,C1M62A_qwerty,# characters,edit distance
1,唔係先咁你哋有冇咪啊,米先噉理哋有冇U,10,6
2,個咪剩係我抓住咪剩係我講到,個咪淨係我揸預马謝係我講到,13,5
3,哦到哦咁即係唔洗我抓住啦,倒噉知係唔使我楂住啦,12,7
4,係咪啊,係咪,3,1
5,咁囉,噉哈,2,2
7,雙姓嘅,雙成嘅,3,1
8,你知道中國人嘅,李之度終角人嘅,7,5
9,姓別有啲係雙姓㗎嘛,聖別係有啲係雙性她马,9,5
10,歐陽,牛羊,2,2
11,司馬,絲馬,2,1
12,分別咪就係多咗囉個字啦,分別咪在係多度撈個字吖,11,4
13,漢即係漢人裡邊,漢即係漢人裏便,7,2
14,雙姓嘅有,相成嘅有,4,2
15,唔係咁多囉,唔係咁多囉,5,0
16,姓司徒啊,聖撕圖華,4,4
17,司馬,絲馬,2,1
18,歐陽啊呢嘢,牛羊啊哩嘢,5,3
19,即係,遮二,2,2
20,普通嘅,普通嘅,3,0
21,漢人係係,漢人係係,4,0
22,即係唔係如果你我諗你講外族嘅就,它係唔係如嗰理蕹理講外逐嘅就,15,7
23,好姓別就會,好性別就會,5,1
24,多過一個字嘅,多個一個字,6,2
25,普通漢人就有陳李張王何啊,普通漢人為有塵理張黃何啊,12,4
26,即係單一,遮係單益,4,2
27,單字㗎嘛,單字雞马,4,2
28,係啊,下,2,2
29,咁我哋係雙姓,噉我哋係雙性嘅,6,3
30,係啊,下,2,2
31,一九四八,一九四八,4,0
32,即係符合你呢個要求,遮係扶限李哩個腰求,9,6
33,六超過六十歲,六超個六十歲,6,1
34,你講,李講,2,1
35,我個家庭嘅,我個嘉停嘅,5,2
36,如果我自己家庭,如嗰我自己嘉停嘅,7,4
37,就係,就係,2,0
38,父母雙親啦,附冇傷親啦,5,3
39,我有五兄弟姐妹,我有五兄弟姊妹,7,1
40,係啊,下,2,2
41,我係排第二,我係排第二,5,0
42,我就喺香港出世嘅,我就喺香港出細嘅,8,1
43,係啊,下,2,2
44,都係喺香港,啲係喺香港,5,1
45,係啊,下,2,2
46,我喺香港住,我喺香港住,5,0
47,到,到,1,0
48,十,十,1,0
49,七歲,七歲,2,0
50,就去外國讀書,就去外覺讀書,6,1
51,係啊,下,2,2
52,嗰陣時我係去英國讀書,趕時我係去英覺讀書,10,3
53,都唔係,爹唔係,3,1
54,唔係,唔係,2,0
55,因為以前係,因為以前係,5,0
56,香港係英國殖民地啊嘛,香港係英覺U民地马,10,4
57,咁啊有好多,噉啊有好多,5,1
58,將金助金嘅,張金UU嘅,5,3
59,係,係,1,0
60,而家當然冇啦,而家當然冇啦,6,0
61,不即係後期當然冇啦,筆遮係後其當然冇啦,9,3
62,早期好多啲咁嘅機會㗎,早奇好多啲噉嘅機會囖,10,3
63,即係,她係,2,1
64,佢哋唔,佢哋唔,3,0
65,即係如果你自己畀錢去就梗係貴啦,它係如嗰理自己俾錢去就敢係貴啦下,15,6
66,係,係,1,0
67,英國政府有好多,應角政府有好多,7,2
68,以前有一個叫做,以前有一個叫做,7,0
69,英國文化協會,英國文化U會,6,1
70,佢哋有好多獎學金哈獎學金㗎,佢哋有好多著學柑下雀學U個,13,6
71,香港以前好多學生係,香港以前有好多學山係,9,2
72,呢個英國文化協會,哩個應角文化U會,8,4
73,資助去個讀讀書㗎,知座去個讀讀書個,8,3
74,我喺英國,我喺英角,4,1
75,讀高中,讀膏鐘,3,2
76,同埋,同埋,2,0
77,同埋大學囉,同埋大學囖,5,1
78,我大學係讀呢,我大學係讀哩,6,1
79,個機械工程,個機係工程,5,1
80,機械工程,機械工程,4,0
81,我係一九九零年,我係一九九齡年,7,1
82,八月嚟加拿大嘅,八月離加拿大嘅,7,1
83,咁即係,噉即係,3,1
84,接近二十年啦,接近二十年啦,6,0
85,哈哈哈,吓下下,3,3
86,鍾意,鍾意,2,0
87,鍾意係啊,鍾意下,4,2
88,因為加拿大,哩家拿大,5,3
89,住落你咪鍾意囉即係,住落里咪鍾意囖啫係,9,3
90,佢係比較,佢係比較上,4,1
91,闊落過香港啊,闊落個香港,6,2
92,即係冇咁,他係冇咁,4,1
93,人口冇咁擠逼囉,人口冇咁擠飛囉,7,1
94,係啊,下,2,2
95,加拿大有加拿大嘅好,加拿第有加拿大嘅好,9,1
96,好處囉哈即係一般人都係,好次囉吓知係一搬人都係,11,4
97,香港有香港好處加拿大有,香港有香港好處加拿大有,11,0
98,加拿大嘅好處,加拿大好處,6,1
99,加拿大嘅好處咪,加拿大嘅好處咪,7,0
100,空曠囉,空恐囉,3,1
101,大致上,大至上,3,1
102,你唔需要一個好,理唔需要一個好,7,1
103,成功人你都可以有一個好,成功人都理可以有個好,11,3
104,即係,遮係,2,1
105,點講,點講,2,0
106,一個好,一個好,3,0
107,幾好嘅生活啦,幾好嘅生活吖,6,1
108,係,係,1,0
109,剩係,淨係,2,1
110,剩係,淨係,2,1
111,住屋都係啦係咪,住U啲係吖係米,7,4
112,香港會,香港會,3,0
113,係要好,係要好,3,0
114,富有先可以得到即係,褲有先可以得倒姐係,9,3
115,一間,一間,2,0
116,好似响加拿大咁嘅屋哈,好樣加拿大噉嘅屋下,10,4
117,但如果你鍾意住,大如嗰理終蛀,7,6
118,人口稠密嘅地方嘅咁你你又話,人口籌襪佢哋方嘅錦鯉理又話哦,13,8
119,下下度度都要揸車咁,閒動好二楂車撳,9,8
120,係啊,下,2,2
121,幾個原因,機個U因,4,2
122,囉,囉,1,0
123,我啲喺晒度㗎,我啲喺晒度個,6,1
124,即係我,遮二我,3,2
125,五兄弟姊妹,五兄弟姊妹,5,0
126,除咗有兩個喺英國住,除咗有兩個喺英覺住,9,1
127,三個喺加拿大住,三個喺加拿大住,7,0
128,係啊,下,2,2
129,你講,李講,2,1
130,初初抵埗,初初底部,4,2
131,我諗初初抵埗個個人,我林初初底部個個人,9,3
132,都係,爹係,2,1
133,你點去識見㗎啦,理點去識紧嘍啦,7,3
134,係啊即係,下遮係,4,3
135,呢種城市,哩棕成市,4,3
136,由一,油一,2,1
137,個你完你完全唔熟悉,個梨原梨完全唔屬色,9,5
138,嘅咁嘅你又要去,嘅噉嘅理又要去,7,2
139,識見又要去,適應又要去,5,2
140,即係找尋生活囉,遮係責蟲生活囉,7,3
141,咁,噉,1,1
142,咁,噉,1,1
143,嗰啲喺,嗰啲係,3,1
144,即係要慢慢摸索啦,之係要慢晚摸U嘅啊,8,5
145,初初初嚟到個個都係咁啦,初初錯離到個個都係噉囖,11,4
146,啊,呀,1,1
147,奇怪事就冇乜奇怪事發生過,奇怪時就冇嘜奇怪自法生個,12,5
148,即係,遮二,2,2
149,我諗大致上嚟講都係,我淋大至上離講都係,9,3
150,睇你你你你自己個人,睇理理理自己個人,9,4
151,個機遇啦,個掣U啦,4,2
152,我搵工唔算,我搵工唔算,5,0
153,即係係好,遮係係好,4,1
154,困難,困難,2,0
155,但係有啲人搵工係好困難,但係有啲人揾工係好困難,11,1
156,咁啊睇下你,咁啊睇下理,5,1
157,好冇彩咋嘛,好冇彩她马,5,2
158,我第一份嘅工都係做返自己本行啊,我第一份嘅工都係做返自己本行啊,15,0
159,做返工程師,做返工程師,5,0
