NUM,EXPECTED,C1F58A_qwerty,# characters,edit distance
1,我叫做,我叫做,3,0
2,我係一九五零年出世,我係一九五零連出細,9,2
3,咁我計得到啦我依加係五十,噉我繼一度喇我而家係五十,12,7
4,五十七嵗五十八歲,五十七五十八歲,8,1
5,你講係我,李講係我,4,1
6,原生家庭,完新傢停,4,4
7,依加哩個家庭,依家利個嘉停,6,4
8,依加依我個家庭咪五個人囉,而家我家停咪五個人囖,12,6
9,咁生啊我我個,噉莎我我個,6,3
10,先生同埋我嗰三個仔女,先生同埋我三個仔壘啊,10,3
11,香港家庭啊係有七個人啦,香港嘉停係有七個人啦,11,3
12,爸爸媽媽同埋五兄弟姊妹,爸巴嫲媽同賣五兄弟姊妹,11,3
13,我係第三中間,我係第三中間,6,0
14,啊係香港,喺香港,4,2
15,唔係,唔係,2,0
16,係中國,係鐘角,3,2
17,去打完仗之後我諗係,去打完醬之後我飲係,9,2
18,四,四,1,0
19,四,四,1,0
20,四四,四四,2,0
21,我諗四六年咁,哦林四六連噉,6,4
22,一九四六年倒啦,一九四錄連度啊,7,4
23,住係香港西環,住喺誒香港西環,6,2
24,係邊邊種屋啊,喺便邊種屋呀,6,3
25,住係嗰啲叫做,住喺嗰啲叫做,6,1
26,幾層屋嘅舊,幾層屋嘅舊,5,0
27,幾層嘅舊屋囉,幾層嘅舊屋囖,6,1
28,係好似我諗係,係好次哦林係,6,3
29,四五層高嘅屋,四唔層高嘅屋,6,1
30,一樓,一樓,2,0
31,但係我好細個嗰陣時,但係好細個趕時,9,3
32,我諗好細,我飲好吠,4,2
33,之後就去咗,之後就去咗,5,0
34,香港仔,香港仔,3,0
35,就係住係一啲,就係住喺一啲,6,1
36,四層樓嘅屋嗰到,四層老嘅屋嗰度,7,2
37,一九八八一年,一九八八一年,6,0
38,一九八一年,一九八一年,5,0
39,我點解搬黎哩到,我哋一搬離利度,7,5
40,因爲我我結婚嘛,音為我我結婚嘛,7,2
41,結婚咁咪搬咗黎哩到囉,結婚噉咪搬咗離利度囖,10,5
42,因爲我先生係哩到做工架嘛,音為我先生喺度做工吖嗎,12,7
43,係啊係香港識架,係呀係香港色嘍,7,3
44,慢慢適應,慢晚骰應,4,2
45,又唔係好難適應不過嗰陣時,又唔係好難色應筆個嗰陣時,12,3
46,好少人哩到好少中國人,好少人利度好小中角人,10,4
47,咁所以呢就,噉坐意嘞就,5,4
48,啫係亦都冇咁多中國嘅嘢食啊,機亦都冇咁多中角嘅嘢食啊,13,3
49,咁多中國嘢買啊,咁多中角嘢埋呀,7,3
50,同埋唔係咁多朋友,同賣唔係咁多朋友,8,1
51,咁慢慢越黎越多中國人,噉萬晚越來越多忠角人,10,6
52,就啫係易適應好多囉啫係,就四二識應好多囉機,11,6
53,啫係多啲活動咁個人開心好多囉,飛多啲活動噉啊個人開心好多囖,14,5
54,乜嘢故事啊邊方面,乜嘢故事邊方面,8,1
55,難適應嗰陣時,難色應趕時,6,3
56,嗰嗰陣時係,嗰趕時係,5,2
57,好靜啦黎到,好靜喇離到,5,2
58,咁啊唔係好識人啦,噉啊唔係好識人啦,8,1
59,咁啊每日都要等我先生放工翻黎先至同我去街啦,噉啊每日都要等我先生放工返來先至同我去街啦,21,3
60,我又唔識揸車啦,我有唔識楂車啦,7,2
61,又冇咩朋友啦,有冇咩朋友啦,6,1
62,咁因爲啊咁,噉音為噉,5,5
63,咁係好好好悶架,噉係好好好悶嘅,7,2
64,咁好多時都自己好靜咁,噉好多時都自己好靜噉,10,2
65,坐係一個角落頭嗰到,坐喺一個角甩唞嗰度,9,4
66,同埋間屋又大啦就好似,同賣間屋又大吖就好似,10,2
67,好好好驚咁囉,好好好驚噉囖,6,2
68,你講啫係我結婚之前,李講飛我結婚之前,9,3
69,黎之前我係一個教師黎嘅,結婚之前我係有個教司厘嘅,11,5
70,我係冇做工架,我係冇做工嘅,6,1
71,依加係啊,而家係,4,3
72,依加都係做一啲嘅工咁樣囉,而家都係做一啲个公咁養,12,6
73,啊係啊有有教一啲啊教書啦,係呀有有教一啲教書啦,12,3
74,佢做下家務咁,佢做下加務啊噉,6,3
75,你講邊方面啊,你講邊方面呀,6,1
76,啫係一般童年,啫搬同年,6,4
77,童年我屋企都幾,同年我屋企都幾,7,1
78,都算係,都算係,3,0
