NUM,EXPECTED,C1F50A_qwerty,# characters,edit distance
2,係啊,係呀,2,1
3,哎呀咁都問嘅,啲吔咁啲問嘅,6,3
4,五十啦,五十啦,3,0
5,四個,得個,2,1
6,先生啦兩個仔女囉,先生啦兩個仔裏囉,8,1
7,喺香港嚟,喺香港彌,4,1
8,香港有爸爸媽媽同哥哥,香港有爸巴嫲媽同U歌,10,4
9,我第三,有第三,3,1
11,哦嚟到多嚟到,彌到多離到,6,3
12,嚟到多倫多,彌到多輪多,5,2
13,响囉,嚮囉,2,1
14,係啊,第呀,2,2
15,邊度,癲度,2,1
16,近嗰度,U嗰度,3,1
17,因為,因為,2,0
18,多咗細路仔啦嘛咁要住啲大啲嘅屋囉,多咗細路仔吖嗎噉要住啲大啲嘅屋囖,16,4
19,唔係唔夠住囉,咪唔夠住囖,6,3
20,嗰度租一間房嘅咋初初,嗰度租一間房嘅借初初,10,1
21,咁收尾我哋咧就搬咗去,噉U尾我哋囖就搬咗去,10,3
22,同埋,同埋,2,0
23,嗰度一個啦,嗰度一個啦,5,0
24,咁嗰度跟住由嗰度就搬去,噉嗰度跟住有嗰都就搬去,11,3
25,嗰度啦一個啦咁嗰間八百幾呎啦囉,嗰度啦一個啦噉嗰間八八幾尺囖,15,5
26,咁搬到然後跟住出世就要搬嚟呢度囉,噉搬度然後跟住出細就要搬離哩度囖,16,6
27,因為唔夠住啦,因為唔夠住啦,6,0
28,多倫多有八三年嚟二十五年啦,多輪多有八三年離二十五年喇,13,3
29,二十五六年啦係啊,二十五六年係啊,8,1
30,點解啊我讀書囉嚟,點解啊個讀書囉離,8,2
31,係啊初初嚟係讀書㗎,第啊初錯離係讀書個,9,4
32,喺囉,底囉,2,1
33,讀囉,讀囉,2,0
34,係啊而家做緊啊,第啊而家做緊呀,7,2
35,爸爸媽媽响香,爸巴嫲媽喺香,6,3
36,媽媽响大陸出世爸爸响香港出世,嫲媽嚮大陸出細爸巴享香港出細,14,6
37,唔知啊我霖順德啩,唔知五哦林順得啩,8,4
38,同你爸爸一樣你爸爸都係順德人啊,洞理爸巴一樣理爸巴都係U得人,15,8
39,順德唔知啊,順得唔知U,5,2
40,我都唔熟順德噶,到都唔UU得嘅,7,5
41,唔記得啦唔知啦,唔知得啊唔知啊,7,3
42,知佢姓,知佢姓,3,0
43,打仗啊嗰陣時,打仗啊嗰陣時,6,0
44,好耐以前咧日本仔,倒例耳前囉日本仔,8,4
45,打香港嘅時候咧咁佢哋就,打香港嗰時候囖噉佢哋啊就,11,4
46,就,就,1,0
47,由香港,又香港,3,1
48,匿咗上去本來應該响香港噶啦咁佢就匿返上去大陸囉,哩咗上去本代應該向香港啊里噉佢就哩返上去大陸囖,23,8
49,咁因為日本仔打香港啦嘛,噉因為日本仔打香港嚹嗎,11,3
50,咁之後咧打完仗日本仔打完咧咁佢又走返落嚟囉,噉之後囖打完咗日本仔打完囖噉佢有走返落離囖,21,8
51,咁,噉,1,1
52,嗰陣時興啊走嚟走去,趕時興呀走嚟走去,9,3
53,所以有啲親戚仲係响大陸有啲仲响香港囉,躲意有啲親U仲係嚮大陸幽啲重響香港囖,18,8
54,我霖十幾歲噶咋,老淋十幾歲嘍啫,7,4
55,係啊係啊,第呀係呀,4,3
56,所以响香港好耐噶啦,躲以響香港好袋啊嚹,9,5
57,係啦响香港長大,第啦嚮香港槳大,7,3
58,我都係响香港長大,到爹係喺香港槳大,8,4
59,你講香港學校,李講香港學校,6,1
60,記得,得得,2,1
