NUM,EXPECTED,C3M12A_qwerty,# characters,edit distance
1,我係,我係,2,0
2,二零零四,二零零四,4,0
3,係,係,1,0
4,最細,最細,2,0
6,依度,姨度,2,1
7,我媽咪爹哋哥哥同埋姐姐,我媽咪爹哋歌歌同埋者姐,11,3
8,我唔知真係喺邊度不過我知道係喺香港,我唔知真係喺邊度不過我知度係喺香港,17,1
9,唔知,唔知,2,0
10,媽咪係因為佢唔想去唔想啲因為個,媽咪係因為佢唔想去唔想啲因為個,15,0
11,英文嗰啲人會,英文嗰啲人會,6,0
12,嗰個會完跟住中國會攞返香港跟住佢哋搬咗去呢度,嗰個會圓跟住中國會攞反香港跟住佢哋搬咗去呢度,22,2
13,有兩次,有兩次,3,0
14,中意,鍾意,2,1
15,我中意我冇嘢中意嘅,我鍾意我冇嘢鍾意嘅,9,2
16,有,有,1,0
17,唔係我未去過好大嗰啲好多次咁我都覺得唔細,唔係我未去過好大嗰啲好多次咁我都覺得唔細,20,0
18,好玩,好玩,2,0
19,有,有,1,0
22,企鵝熊貓貓狗嗰啲,企哦熊貓貓狗嗰啲,8,1
23,好多次,好多次,3,0
24,淨係我嘅淨係我嘅,淨係我嘅淨係我嘅,8,0
25,我中意玩嗰啲喺嗰啲,我鍾意玩嗰啲喺嗰啲,9,1
26,有有時啫,有有時啫,4,0
27,中意玩嗰啲,鍾意玩嗰啲,5,1
28,會去會,會去會,3,0
29,嗰陣時我會去學校跟住返屋企或者去一陣跟住返嚟,嗰陣時我會去學校跟住反U企或者去一陣跟住反來,22,4
30,跟住會睇書去電腦嗰度或者做功課不過冇功課,跟住會睇書去電腦嗰度或者做功課不過冇功課,20,0
31,鍾意,鍾意,2,0
32,我鍾意嗰啲有有啲嗰啲有嗰啲,我鍾意嗰啲有有啲嗰啲有嗰啲,13,0
33,香港,香港,2,0
34,我最鍾意去因為我會陪嘅去,我最鍾意去因為我會陪嘅去,12,0
35,我都好鍾意呢度,我都好鍾意呢度,7,0
36,有,有,1,0
37,有,有,1,0
38,因為我,因為我,3,0
39,有時因為佢哋都唔近唔住咁近嘅,有時因為佢哋都唔近唔住咁近嘅,14,0
40,冇咁多有時我去我朋友嗰度不過都好遠呀,冇咁多有時我去我朋友嗰度不過都好遠啊,18,1
41,以前,以前,2,0
43,睇書訓覺玩陪我果啲去電腦嗰度,睇書瞓覺玩陪我果啲去電腦嗰度,14,1
44,會睇書喺嗰度嘅,會睇書喺嗰度嘅,7,0
46,上網,上網,2,0
47,少少啫,少少啫,3,0
48,唔係咁好,唔係咁好,4,0
49,英文,英文,2,0
50,上一本一個書叫做係啲龍,上一本一個書叫做係啲龍,11,0
51,我冇咁多,我冇咁多,4,0
52,我就咁去個試吓搵啲人陪佢哋玩,我就咁去個試嚇揾啲人陪佢哋玩,14,2
53,我鍾意打籃球不過,我鍾意打藍求不過,8,2
54,冇淨係鍾意打籃球冇咁多第二啲,冇剩係鍾意打藍求冇咁多第二啲,14,3
55,有有有係,有有有係,4,0
56,小提琴,小提琴,3,0
57,有一輪會鋼琴要考試,有一輪會鋼琴要考試,9,0
61,有有,有有,2,0
62,我覺得有啲好有啲好,我覺得有啲好有啲好,9,0
64,五六係唔係咁鍾意同個,五六係唔係咁鍾意同個,10,0
65,個五六個好鍾意,個五六個好鍾意,7,0
66,好多白人,好多白人,4,0
68,我淨係鍾意因為我會見到我啲朋友,我淨係鍾意因為我會見到我啲朋友,15,0
69,有時,有時,2,0
70,陪佢哋講嘢或者玩打籃球嗰啲,陪佢哋講嘢或者玩打藍球嗰啲,13,1
71,四四,四四,2,0
74,同埋,同埋,2,0
75,冇,冇,1,0
76,有,有,1,0
78,會叫佢哋出去或者去嗰度,會叫佢哋出去或者去嗰度,11,0
79,講太多,講太多,3,0
80,有時會有啲,有時會有啲,5,0
82,好少出去玩,好少出去玩,5,0
83,有時啫,有時啫,3,0
84,我哋冇,我哋冇,3,0
85,有時鍾意有時唔想,有時鍾意有時唔想,8,0
86,國語,國語,2,0
88,麵,面,1,1
89,雲吞,雲U,2,1
90,有一兩個鍾意嘅,有一兩個鍾意嘅,7,0
91,有同埋,有同埋,3,0
92,唔記得咗,唔記得咗,4,0
93,有,有,1,0
94,有冇一個次成日我鍾意蝦餃燒賣果啲,有冇一個次成日我鍾意蝦搞燒賣果啲,16,1
97,係好少知道好少知中文或者法文果啲,係好少之度好少知中文或者發文果啲,16,3
98,少少,少少,2,0
100,嗰度有多啲有多啲開咗多啲,嗰度有多啲有多啲開咗多啲,12,0
101,又多有多啲我覺得同埋,又多有多啲我覺得同埋,10,0
102,冇咁多,冇咁多,3,0
103,有有時覺得,有有時覺得,5,0
104,冇咁多,冇咁多,3,0
105,有時,有時,2,0
106,講中文,講中文,3,0
107,有,有,1,0
109,我覺得有時,我覺得有時,5,0
110,我唔知,我唔知,3,0
