NUM,EXPECTED,C2F22A_qwerty,# characters,edit distance
1,中文名,中文名,3,0
2,一九八六年出世嘅,一究八六連出細嘅,8,3
3,我廿二歲,哦廿二歲,4,1
4,因為我十二月出世呢所以我未轉廿三歲,因為我十二月出細囉所以我未轉廿三歲,17,2
5,我有,我有,2,0
6,個嫲嫲吖,個嫲嫲吖,4,0
7,爹哋同媽咪,爹爹同媽咪,5,1
8,同我有個一個大家姐,同我有個一個大家姐,9,0
9,同一個大哥,同一個大哥,5,0
10,六個囉,六個囉,3,0
11,吓我係最細㗎,下我係最細㗎,6,1
12,我喺呢度多倫多出世嘅,我喺利度多輪多出細嘅,10,3
13,出世嘅,出細嘅,3,1
14,喺士嘉堡嘅,喺事家補嘅,5,3
15,叫做,叫做,2,0
16,係嗰啲,係嗰啲啊啪文,3,3
17,吓,下,1,1
18,嗰陣時候我唔係好記得,嗰陣時候我唔係好記一,10,1
19,個點樣嘅,個U啪文點樣嘅,4,3
20,但係,但係,2,0
21,媽咪話喺喺個對,媽咪話喺喺個對,7,0
22,對面嘅我個家姐去咗嗰個嘅,對面嘅我個家姐去咗嗰個嘅,12,0
24,我係啊我諗係嗰個我唔知住咗幾多年,我係呀我林係嗰個我唔知住咗幾多憐,16,3
25,第二個屋呢係,第二個屋囉係,6,1
26,有條街係好近呢度嘅叫做,有條街係好揾利度嘅叫做,11,2
29,又住咗好似係,又住咗好至係,6,1
30,幾年喇,美連囖,3,3
31,先搬咗嚟呢度,先搬咗離利度,6,2
32,三個唔同個屋,三個唔同個屋,6,0
34,我成日唔記得,哦成日唔記得,6,1
35,個啱啱冧巴,個啱啱U把,5,2
36,我諗係都大約嚟十年十年多啲啦,我已係都大約嚟十連十連多啲啦,14,3
38,多過十年,多個十連,4,2
39,佢哋喺香港,佢哋喺香港,5,0
40,出世嘅,出細嘅,3,1
41,我,我,1,0
42,都識啲嘢係佢哋長大,都識啲嘢係佢哋長大,9,0
43,唔係好識,唔克好識,4,1
44,好多,好多,2,0
45,因為我未去過所以我未見過,音為我未去個所以我未見個,12,3
46,呢度出世,哎度出細,4,2
47,未啊,未呀,2,1
48,我未去過啊,我未去個呀,5,2
49,都想嘅但係,都想嘅但係,5,0
50,我諗因為我哋咁大家人呢多數,我林因為我哋咁大家人爹多掃,13,3
51,我哋細個嗰陣時,我哋細個嗰啊時,7,1
52,返香港係,番香港係,4,1
53,可能爺爺嫲嫲返,可浪爺爺嫲嫲番,7,2
54,咪七個人,未七個人,4,1
55,舊陣時係七個人,舊陣時係七個人,7,0
56,想成家去呢會好貴囉,想成家去囖會好貴囖,9,2
57,所以,所以,2,0
58,我同,我同,2,0
