NUM,EXPECTED,C2M23A_qwerty,# characters,edit distance
1,我叫,我叫,2,0
2,楊敬聰,U競沖,3,3
4,我係一九九三年出世,我係一九九三年出細,9,1
5,二十一二十三歲,二十二十三歲,7,1
6,我個屋企有我個老豆我個媽,我個岸企有我個老我個媽,12,2
7,我地有兩個我有兩個大家姐,我哋有律個我有冷個大家姐,12,3
8,係仲有,係有,3,1
9,多倫多出世,多律多出細,5,2
10,加拿大,加拿大,3,0
11,我唔記得嗰啲中文係咩,我悟記得嗰啲中文係咩,10,1
12,記得係姓,記得係性,4,1
13,個地方,個地方,3,0
14,個有好多印度人好多中國人不過好少鬼佬喺嗰到住,個有好多印度人好多中國人不過好少鬼佬喺嗰到住,22,0
15,之後搬咗,之後搬咗,4,0
16,屋嚟依到而家,屋梨依到而家,6,1
17,住緊,住緊,2,0
20,我喺依道好似九年,我喺依到好似九年,8,1
21,九年班喺依道住,九年班还依到住,7,2
22,佢哋有帶我去嗰道地方不過唔記得嗰嗰啲個名,女哋有戴我佢嗰到地方過悟記得嗰嗰啲個名,20,6
23,應該係香港,應該係香港,5,0
24,係最多我得講,係最多我得講,6,0
26,我唔知我個公公死咗嗰個時間我出世,我悟知我個公公死咗嗰個時間我出細,16,2
27,我個嫲嫲係繼續住喺美國,我個嫲嫲係繼續住喺美國,11,0
28,不過佢地出世應該係香港中山個地方,不過去哋出細應該係香趕中山個地方,16,4
29,佢哋諗緊加拿大係有好容易養仔女,女哋林緊加拿大係有好容易養仔女,15,2
30,因為嗰個時間香港有好多,因為嗰個時間薑港有好多,11,1
31,有好多嘢發緊係咪,好多嘢法緊係咪,8,2
32,所以佢哋諗左呀,所以女哋林咗啊,7,4
33,蒞加拿大,利加拿大,4,1
34,覺得依個地方做工係容易啲,覺得依個地方做工係容易啲,12,0
35,可以儲錢,可以取錢,4,1
36,可以搵到啲屋係大啲,可以搵到啲岸係大啲,9,1
37,係呀,係吖,2,1
38,佢哋有不過唔係記得咁多,女哋有不過悟係記得噉多,11,3
39,佢哋我知道個我個爺爺係做一個先生,U哋我知道個我個爺爺係做一個先生,16,1
41,喺嗰個時間佢覺得呀去美國去加拿大係好啲,喺嗰個時間佢覺得吖去美國去加拿大係好啲,19,1
42,不過佢蒞蒞依道太難搵工,不過去哋利依到太難揾工,11,5
43,所以我個嫲嫲做咗一個,所以我個嫲嫲做咗一個,10,0
44,做啲衫嗰啲嘢,做啲衫嗰啲嘢,6,0
45,我幾鍾意,我幾鍾意,4,0
47,不過我覺得依道係係因為我喺依到住我喺依道整大啲,不過我覺得依到係係因為我喺依到住我喺依到整大,23,3
48,我覺得係好普通,我覺得係好普通,7,0
49,其實有好多中國人買搵依個地方因為個學校成日有啲最高分,其實有U好多中國人買揾依個地方因為個殼校成日有啲趣高分,26,4
50,所以成日依年有好多人哋好多中國人買緊依啲屋,所以成日依年有好多人哋好多中國人買緊姨啲U,21,2
51,係呀,係吖,2,1
52,以前有好多鬼佬,以前有好多鬼佬,7,0
53,係呀,係吖,2,1
54,係呀成日去旅旅行,係吖成日去旅裏行,8,2
55,去美國,U美國,3,1
56,冇諗依啲嘢,冇林依啲嘢,5,1
57,因為我覺得美國好搵好難搵工,因為我角好搵好難揾工,13,5
58,同埋嗰啲,同埋嗰啲,4,0
59,嗰啲人哋,嗰啲人哋,4,0
60,唔係咁多人喺一個地方會住,悟係咁多人喺一個地方會住,12,1
61,會鍾意,會鍾意,3,0
63,有成日係咪依道係呀,有成日係咪依到係吖,9,2
64,成日同全部啲朋友平時係鬼佬係,成日同全部啲朋友平時係鬼佬係,14,0
65,半個係中國人,半個係中國人,6,0
66,不過全部係多費係英文講緊嘢啲朋友,不過歡部係多費係英吻講𡁵嘢啲朋友,16,3
67,我哋會打籃球出街釣魚行街買衫傾偈,我哋會打嵐球出街釣魚行街買三傾計,16,3
69,睇啲戲呢啲好普通嘢係咪,睇啲氣呢啲好普通嘢係咪,11,1
70,最多係我道學校,最多係我到學校,7,1
71,大學個時間,大學個時間,5,0
72,我會同人地溝通出街食嘢,我會同人哋溝通出街食嘢,11,1
73,見面,見面,2,0
74,先我我得識佢地,先我我得色去哋,7,3
75,平時係,平時係,3,0
76,嗰個地方有最多啲食物地方,嗰個地方有最多啲食物地方,12,0
77,同埋,同埋,2,0
78,有啲靜啲地方可以傾偈,有啲靜啲地方可以傾計,10,1
79,生活係咩,生活係咩,4,0
80,依道加拿大平時你係細路仔一個,依到加拿大平時你係細路仔一個,14,1
81,我會返返學朝頭早夜晚黑我會去同啲我啲朋友,我會返番學朝頭早夜晚黑我會去同啲我啲朋友,20,1
82,打波踢波,打波踢波,4,0
83,打籃球,打藍求,3,2
84,同埋踩單踩單車,同埋踩單踩單車,7,0
85,係呀,係吖,2,1
86,我知依道我加拿大人哋成日會,我知依到我加拿大人哋成日回,13,2
87,我喺依道住不過我會成日聽到我啲朋友去香港,我喺依到U不過我回成日聽到我啲朋友去客港,20,4
88,佢哋冇乜介紹我佢哋會做咩,佢哋冇乜介紹我去哋回早咩,12,3
89,佢哋返蒞依到依個時間佢唔會講香港嘢,女哋返利依到依個時間女悟回講香港嘢,17,5
90,冇乜,冇乜,2,0
91,少少嘢係你要成日洗地下,少少嘢係你要成日洗地下,11,0
92,出面要剷剷草,出面要鏟鏟草,6,2
93,拎嗰啲垃圾出出去,拎嗰啲垃圾出出去,8,0
94,冇乜嘢依道加拿大好好容易我覺得,冇乜嘢依度加拿大好好容易我覺得,15,1
96,好我哋晚晚會食嘢,好我哋晚晚會食嘢,8,0
97,嗰啲時間我唔係出街食飯,嗰啲時間我悟係出街食飯,11,1
98,我會返蒞同我老竇我個媽咪食晏飯,我會返利同我老豆我個媽咪食晏飯,15,2
99,咩會,咩會,2,0
100,好我地好我地好近咩會講我個心諗緊咩,好我哋好我哋好近咩會趕我個心U緊咩,17,4
101,係咪,係咪,2,0
103,會呀,會吖,2,1
104,冇乜嘢會匿埋,冇乜嘢會匿埋,6,0
105,不過有啲嘢唔會同佢哋講,不過有啲嘢悟會同舉哋講,11,2
106,好似我啲好近嗰啲深野,好似我啲好揾嗰啲心嘢,10,3
107,唔會講,吳會講,3,1
108,我會同我啲最近啲朋友,我同我啲最近啲朋友,10,1
109,我個女朋友可能會講,我個女朋友可能會講,9,0
110,呀我有,啊我有,3,1
111,我個老竇有,我個老豆有,5,1
112,好早介紹我做醫生,好早介紹我做醫生,8,0
113,不因為我嗰個,筆因為我嗰個,6,1
114,我啲我啲舅父係咪,我啲我扣父係咪,8,2
115,佢哋全部做依啲糧有個日,女哋全部做依啲U有個日,11,2
116,我有同我老竇講我想做一個,我有同我老鬥講我U做一個,12,2
117,不過佢有同我講同返我講,不戈女有同我講同返我講,11,2
118,唔得,吳得,2,1
119,因為我我哋屋企嗰啲人乜個人唔係,因為我我哋U企嗰啲人乜個人悟係,15,2
121,而家我讀緊,而家我讀緊,5,0
122,讀緊銀行書,讀緊銀行書,5,0
123,銀行做嘢係呀,銀行做嘢係吖,6,1
126,其實係八年班我有,其實係八年班我有,8,0
127,上堂有上依啲堂,上堂有上依啲堂,7,0
128,我覺得嘩依啲堂係幾幾好對我,我覺得嘩依啲堂係幾幾好對我,13,0
129,要用好多腦,要用好多腦,5,0
130,要用我個腦諗嘢,要用我個腦林嘢,7,1
131,好多不過,好多不過,4,0
132,我個老竇有成日逼我,我個老豆有成日逼我,9,1
133,讀嗰啲醫生嘢,讀嗰啲醫生嘢,6,0
134,所以我有,所以我有,4,0
135,我有好快同呀讀書成晚,我有好快同吖讀書成晚,10,1
136,讀依啲類,讀依啲類,4,0
137,我會,我會,2,0
138,成日會,成日會,3,0
139,有,有,1,0
140,我記得前日發夢係咩呀,我記得前日發夢係咩吖,10,1
141,有嗰個個時間我發左夢,有嗰個個時間我發咗夢,10,1
142,有好多人哋,有好多人哋,5,0
143,我識得佢個臉,我識得去個臉,6,1
144,我會同佢講跟住我,我會同佢講跟住我,8,0
145,我會去依到去嗰到地方,我會去依到去嗰倒地方,10,1
146,你可唔可以,你可摁可以,5,1
147,你可唔可以,你可摁可以,5,1
148,跟住我去依面嗰面,跟住我去醫麵嗰麵,8,3
149,佢有同我講可以,佢有同我講可以,7,0
150,冇乜嘢,冇乜嘢,3,0
151,係咁,係噉,2,1
152,有顏色,有顏色,3,0
153,有,有,1,0
154,佢地講英文,佢哋講英吻,5,2
155,冇呀,冇吖,2,1
156,我個我記得我個老竇有問我,我個我記得我個老豆問我,12,2
157,一次你想唔想學中文,一次你想悟想學中文,9,1
158,喺我細路仔個時間我諗咗,喺我細路仔個時間我林咗,11,1
159,我喺依到加拿大住,我喺依到加拿大住,8,0
160,有咩點解要學中文,有咩點解要學中吻,8,1
161,我同我啲朋友唔係講中文,我同我啲朋友悟係講中吻,11,2
162,點可以同佢地講嘢係咪,點可以同去哋講嘢係咪,10,2
163,咁我而家,噉我而家,4,1
164,我有一個女朋友有介紹我要學中文,我有一個女朋友有介紹我要學中文,15,0
165,佢成日同我講,佢成日同我講,6,0
166,你快啲學中文,你快啲學中文,6,0
167,我個仔女會點可能識講中文,我個仔女會點可能識講中吻,12,1
168,所以諗咗我諗一諗,所以林咗我淋一淋,8,3
169,其實我喺依到好多年住,其實我喺依到好多年住,10,0
170,我係我係而家讀緊書,我係我係而家讀緊書,9,0
171,所以我有,所以我有,4,0
172,搵好多辦法點樣教我自己學中文,搵好多辦法點樣教我自己學中吻,14,1
173,我用,我用,2,0
174,我用我電話,我用我電話,5,0
175,啲鬼佬有整一個,啲鬼佬有整一個,7,0
176,好似我哋會可可以練,好似我哋會可可以練,9,0
