NUM,EXPECTED,C2F16A_qwerty,# characters,edit distance
1,我個名叫做,哦個名叫做,5,1
2,年,年,1,0
3,十六,揼六,2,1
4,二月八號,二月八號,4,0
7,啫係有三個啫係有我個媽咪家姐同埋我,遮有三個遮係有我個媽咪家姐同埋哦,17,4
9,系晚餐果陣時有有陣時講啲,抵晚餐趕時有有𠻺時講啲,12,4
10,啲,啲,1,0
11,新聞啊講我哋今日做咗咩啊又又講我哋有咩問題咯咁幫一起,新聞啊講咗誒哋今日做咗咩啊有有講暗誒哋有咩問題嘍抌幫一齊,26,9
12,幫我,幫我,2,0
14,啊系依到加拿大出世,喺依度得得大出細,9,6
15,我我第一次咧住,五哦第一次U住,7,3
16,跟住第二次又住但係我我,因住第二次又住大哦我,11,4
18,跟住我我搬去咧跟住我我去,因住五搬去哩跟住五哦去,12,6
20,係,第,1,1
24,有一間嘅但係好唔係好細啫但係可以擺到三張床咧細嘅咧,有一間嘅特二好唔係開細啫嚹二可以擺朵三張床嘞細嘅嘞,25,8
25,但係我哋仲有,大我哋重有,6,3
27,有有仲有好多位行來行去,有仲有好多為行離行,11,4
28,我我個我間房咧係,五哦個哦間房囖係,8,4
30,大我個廳,大哦個聽,4,2
32,住咗,掉咗,2,1
33,兩三年,兩三連,3,1
34,係啊兩三年,係呀兩三年,5,1
35,我個媽咪咧系香港出世但係我個爹地,哦個妈咪嘞喺香港出細嚹二哦個爹爹,16,9
36,我諗係系大陸出世,哦冧去喺大陸出細,8,5
37,有有啲咧係佢佢哋想住好啲咧但係有第啲咧佢哋想,有有啲囉係佢佢哋想住好啲囖嚹二有第兒啲囖佢哋上,22,7
38,我哋搬嚟依到咧,哦哋搬利依度囖,7,4
39,佢佢哋搬嚟依到所以我哋我同我個家姐可以,佢佢哋搬利依度所以哦哋哦同我家姐可以,19,5
40,讀好啲咯,讀好啲囖,4,1
41,係,第呀,1,2
43,有好好恐怖嘎我個,有好好恐怖個哦個,8,2
44,我個爹地個媽咪啫係話我個,哦個爹哋個媽咪姐誒買哦個,12,6
45,嫲嫲咧個媽咪,嫲嫲囉個媽咪,6,1
46,佢以前好好耐以前咧果啲果啲人,佢以前好好U以前爹嗰啲嗰啲,14,5
47,咧佢果,囉佢嗰,3,2
48,好似經濟唔係幾好咧佢好,好似經掣唔係幾好囉大佢佢開,11,5
49,咧,囉,1,1
50,佢佢做個工人依個好好有錢個家咧,佢佢做個工人姨個好有錢個加囉,15,4
52,佢佢佢個咧但佢佢哋以前有好多錢嘎但係咧,佢佢佢個哩佢哋以前有好多錢個但係囖,19,5
53,果啲咧果果啲咧佢,嗰啲哩嗰啲囉佢,8,5
54,但係果啲人,大嗰啲人,5,3
55,搵到咧跟住會有有有,搵倒囉近住U有有有,9,4
56,死,屎,1,1
57,佢佢哋搵到咧佢,佢佢哋搵倒哩,7,3
59,佢哋想自殺咧,佢哋想自殺囖,6,1
61,佢哋想自殺咧佢哋煲咗啲,隊哋想自殺囖佢哋煲咗啲,11,2
62,果啲毒咧毒果啲湯咧跟住想想飲嘅但係,嗰啲讀囖讀嗰啲湯想想飲嘅大,17,10
63,佢哋冇飲到咧,佢哋冇飲到嘞,6,1
64,所以如果佢佢哋有飲到咧我哋唔會系到,所以如嗰佢佢哋有飲度啊誒哋唔會喺度囖,17,7
65,好恐怖,好恐怖,3,0
66,係啊有宜家有好多啊第宜家我我有啲朋友仲系住緊,第呀有而家有好多呀哋而𡃉午哦有啲朋友重喺住緊,22,11
67,但係我哋冇冇幾耐冇講過嘢,第二誒哋冇冇幾U冇講個嘢,12,5
68,哦會嘅因為有,哦U𠸏因為有,6,2
69,我哋個咧成日都會有果啲,哦哋個哩成日都U有嗰啲,11,4
70,有有啲有啲人咧成日打交成日打交嗌交咧,有有啲有啲人哩成日打交成日打交嗌交嘞,18,2
71,跟住成日有啊突然有一次係真嘅咧,因住成日有啊大有一至係真嘅嘞,15,5
72,我哋我哋,安U哦哋哦哋,4,4
73,我哋全部都,哦哋全部都,5,1
75,去,去,1,0
76,幫一,幫一,2,0
77,果啲咯幫,嗰啲囖幫,4,2
80,出街去去有有去好多次咧會,出街去去有好好多次囉U,12,4
81,出太古咧但係,出太估哩特二,6,4
82,我哋,哦哋,2,1
83,有一,有一,2,0
84,第啲咧我去第啲朋友屋企咧同埋去餐廳食嘢,第二啲囉U去第二啲朋友屋企囖同埋去餐廳食嘢,19,5
87,有時我哋我哋我哋坐下傾下計啊欸,有𠻺時哦哋哦哋哦哋坐下傾下計啊,15,5
88,跟住去出出去玩啲嘢啊,近住去出出去玩啲嘢呀,10,2
89,去玩電腦啊果啲咧,去玩電老啊嗰啲囖,8,3
91,有一次咧我同我我我哋個咧,有一次囖哦個哦哦哦哋個哩,12,7
92,買咗個果個果個咧所以,買咗個嗰個嗰個囉所意,10,4
93,我哋果個咧,哦哋嗰個嘞,5,3
94,要要打啲怪獸啊,耀耀打啲怪獸呀,7,3
95,果啲嘢咯好玩咯,嗰啲嘢囉好玩囉,7,3
96,啊笑,笑,2,1
97,有笑片咯但係有,有笑片囖嚹二有,7,3
99,有陣時咧鍾意睇鬼戲,有陣時嘞鍾意睇鬼戲,9,1
100,鬼戲,鬼戲,2,0
101,少有少少驚嘅但係,撩有少少驚嘅但係,8,1
102,如果如果有好多人睇就好玩咯,如哥魚嗰有好多人睇就好玩囖,13,4
103,哦我驚好好多嘢蜘蛛啊曱甴啊,五哦驚好好多嗰啲蜘蛛啊曱甴呀,13,5
105,同埋咧,重埋囖,3,2
107,恐懼症,恐具証,3,2
108,我我好,抱哦好,3,2
109,恐懼症嘎,恐具証𡃉,4,3
113,有一如果如果啲窗咧,有一次如嗰魚嗰啲槍囉,9,6
114,突然間欲咧我我我睇出邊咧我我原來有有人會入嚟咧我要睇想話睇睇全部啲咧睇啊冇入嚟呢度啊,突然間郁囖舞會哦會睇出邊呢哦原來有有人會入離U哦又睇上呀落啊睇睇睇全部啲囖睇有冇人喺度啊,42,23
Total CER: 297/763=0.39,,,,
