NUM,EXPECTED,C1F54A_qwerty,# characters,edit distance
1,我叫做,哦叫做,3,1
2,我一九五四年出世啊,到一九五四連出細噉,9,4
3,我係五十四歲,倒係五十四歲,6,1
4,我有六兄弟姊妹同埋爸爸媽媽,到有六兄弟姊眉同賣爸巴嫲媽,13,5
5,我哥哥,哦哥歌,3,2
6,我有兩個哥哥,我有兩個哥歌,6,1
7,我第三,我第三,3,0
8,我喺香港,到喺張董,4,3
9,乜第一住啊,爹第一住呀,5,2
10,香港,張港,2,1
11,我住喺細個好細個時咧就住喺木屋區,唔我住喺誒細個好細趕時囖就住喺木屋區,16,4
12,即嗰啲木屋啦,爹係嗰啲木屋啦,6,2
13,咁然後咧後尾六五歲六歲嗰時咧,抌然後安褸尾六五歲六歲趕時嘞,14,5
14,就搬咗去徙置區即係咧,就搬咗去爪至區爹係囖,10,4
15,政府嘅屋,政府嘅屋,4,0
16,政府來個屋,顶府U個屋,5,2
17,叫做徙置區喺觀塘,叫做踩至區还觀堂,8,4
18,生活啊好窮囉,燈活呀倒虹囉,6,4
19,咁咧,噉U誒,2,3
20,一間房就大約係二百呎到啦咁啊住八個人,一間房就大約係二八尺倒呀抌啊住八個人,18,5
21,咁啊冇廁所囉廁所係公共嘅,抌啊冇廁所囉廁所係公共嘅噉,12,2
22,咁爸爸就返工咁媽咪就喺屋企湊我哋囉,抌爸巴就返工抌媽咪就會喺屋奇湊我哋囖,17,6
23,我而家住喺加拿大,我而家住喺啦喇大,8,2
24,住邊種屋啊我住喺個,住邊種屋啊我住喺個,9,0
25,我而家同埋我嗰丈夫同埋我個女住就住喺呢個一年,倒而家同我個象夫同賣我個水住就住喺U個一連,22,8
26,啦又唔係特別鍾意,啦有唔係特別中意,8,2
27,喺,底,1,1
28,邊種人啊乜人都有嘅有好多係東亞瑞嘅人啦,癲種人啊爹人都有𠸏豆好多係東啞對嘅人啦,19,6
29,有啊白人啦黑人啦,有呀白人啦有刻人啦,8,3
30,好啊都好,好都好,4,1
31,好啊,好呀,2,1
32,好好多,好好多,3,0
34,我爸爸媽媽我爸爸咧我爸爸媽媽都喺中國,咬爸巴嫲媽我爸巴囉我爸巴嫲媽都係終角,18,10
35,中國汕頭嗰邊,東角山頭嗰邊,6,3
36,係,第,1,1
37,因為咧嗰陣時中國打仗,因為U趕時鍾角打仗,10,5
38,咁咧又共產黨來啦咁然後咧,抌囉有共產檔離拉噉然後哩,12,8
39,就打仗打得好犀利咁好多人咧,就打獎打得好犀離抌好多人嘞,13,4
40,都逃難啦逃咗去香港,到圖蘭爹圖咗去張董,9,7
41,我唔知喎,倒唔知喎,4,1
42,不過係好後生㗎我諗,乜過係好後生個我林,9,3
43,二十歲十零二十歲咁樣,二十歲十零二十歲咁樣,10,0
44,不過我唔知道,一嗰我唔知道,6,2
45,點解移民來加拿大啊,點解移民離啦吔大呀,9,4
46,我個丈夫咧喺加拿大讀書嘅,到個象夫嘞喺啦嗱大讀書嘅,12,5
47,咁佢畢咗業之後咧就返咗香港啦,抌佢筆咗葉之後屋就返咗張U啦,14,6
48,咁然後咧啊返咗嚟咁佢就我哋鍾意呢啲,抌然後囉番咗理噉佢就我哋鍾意哩啲,17,7
49,好鄉村個啲生活嘅咁,好香穿嗰啲生活嘅抌,9,4
50,加拿大咧嘅生活咧就畀香港咁冇咁忙囉同埋,楂嗱大囉嘅生活囖就俾張擋冇咁冇咁蒙囖同賣,19,11
51,啊多啲,多啲,3,1
52,多啲空間啦多啲地方啦,多啲空間拉多啲地方啦,10,1
53,同埋啲天氣又舒服啦又,同賣啲天氣又好舒服吖又,10,3
54,又好靚啦所以我哋咪移民過來囉,豆好靚啦噉所以我哋咪兒民個離囖,14,6
55,即係開始嗰時難唔難啊,爹係開始趕時蘭唔蘭啊,10,4
56,難㗎咁咧,蘭個噉U,4,4
57,初初嚟嗰陣時我哋有個女啦兩歲啦,初初離趕時我哋有一個U啦兩歲啦,15,5
58,咁我哋咧兩個都係,抌我哋囖兩個都係,8,2
59,冇錢嘅,冇錢嘅,3,0
60,咁所以我哋係做嘢嘅咁我哋都要咧,抌所以我哋係做嘢嘅抌我哋都要啊,15,3
61,辭咗職,遲咗織,3,2
62,咁然後就過來所以過到過嚟咧就要開始,抌然後就過離抌所以嗰到個離嘞就要開始,17,7
63,自己搵嘢做啦,自己搵嘢做啦,6,0
64,咁啊自己搵嘢做咁,抌啊自己搵嘢做噉啊,8,3
65,我嗰啲工咧就搵唔到嘅,我嗰啲公爹就搵唔到嘅,10,2
66,因為咧我係做嗰哋,因為囉我係做嗰啲,8,2
67,公關,公關,2,0
68,咁我搵唔到工做,抌我搵唔到工做,7,1
69,咁咧,抌呢,2,2
70,或者我唔喺呢邊,或者我唔喺利邊識,7,2
71,唔會適合搵到因為我嗰嗰,唔會適合搵倒因為我嗰個,11,2
72,英語咧,賢雨嘞,3,3
73,嗰能力咧冇咁好啦咁所以咧,個狼力爺冇咁好啦抌所以哩,12,5
74,要搵搵一啲咧,就要搵一啲囉,6,3
75,較為低啲嘅工作啦咁我就初初就搵秘書啦,教為低啲嘅工作啦抌我就坐坐就搵秘書啦,18,4
76,咁然後咧就,抌然後安就,5,2
77,然後我就去讀英語,然後我就去讀英文,8,1
78,咁啊讀英文咁跟住咧我就再去讀書啦讀,抌讀英文噉跟住囖我就再去讀書啦讀,17,4
79,讀會計讀會計師,讀會繼讀會計師,7,1
80,咁啊一路考考考咁啊做咗四年咁啊考到個會計師牌之後咧,抌啊一路校嚇校噉啊做咗四U抌啊考到個會計師派之後U,25,9
81,咁就開始做會計嘅工作啦,噉就開始做會U嘅工作啊,11,3
82,咁啊辛苦㗎初初嗰時,抌啊辛苦啊初初趕時,9,3
83,但係一定要囉要移民嗰時候你嗰個,但係一定要囉吊移民個時候理嗰個,15,3
84,係語言啊一定要搞好啦如果唔係,係乳然啊一定要搞好啦如估唔係,14,3
85,就好難喺呢度生存,就好蘭喺利度生U,8,3
86,我喺香港嘅學校啊係,到係張港個學後啊弟,9,6
87,點樣點你個問題係點,點樣點哋個問題係點,9,1
88,童年嘅學校,冬連嘅學後,5,3
89,即係小學,爹係小學,4,1
90,小學嘅學校喺觀塘囉,碟學嘅學後喺还觀塘囖,9,4
91,你嘅意思係點係咩邊方面啊點,哋嘅意思係點係咩邊方面啊點,13,1
92,佢喺徙置區囉,佢喺咋時區囉,6,2
93,咁又好大嘅,抌又好大嘅,5,1
94,因為咧成個地下都係嘅,因為嘞U個地拿都係嘅,10,3
95,咁我哋每一班咧就有,抌我哋妹一班囖就又,9,4
96,四十五個人啦四十五,四十五個人啦四十五,9,0
97,咁然後就,抌然後就,4,1
98,嚴㗎嚴㗎,掂呀驗啊,4,4
99,不過咧我哋嗰啲咧就叫做金字塔式,筆個囉我哋嗰啲囖就叫做金字塔式,15,4
100,即係,爹係,2,1
101,咁樣金字塔式咁即係話咧,咁樣金字塔骰抌遮係話囉,11,4
102,你一路,李一路,3,1
103,讀讀讀讀讀讀咁升升升升升到六年班之後咧,讀讀讀讀讀讀噉猩猩猩星到六連班時候U,19,10
104,就第一班可以去考,就得一班可以去考,8,1
105,會考,會考,2,0
106,會考,會考,2,0
107,咁咧小學要考啦,抌屋小學要考啦,7,2
108,中學又要嘅,中學又要嘅,5,0
109,咁所以其實得一班可以去考,抌所以特一班可以去考抌,12,5
110,咁變咗唔係好多人可以讀到中學囉所以好多人咧,噉邊咗唔係好多人可以讀到中學囖所以好多人囖,21,4
111,係咧讀完小學畢業冇書讀㗎,係嚟讀遠小學畢業冇書讀啊,12,3
112,我咧就係喺嗰班,舞屋就係喺歌班,7,3
113,最叻嗰班裡邊個頭六個,最錫嗰班裏便嗰頭六個,10,4
114,咁所以我就可以有中學我考到政府資助,抌所以我就可以有中學我考到政府之作,17,3
115,嗰啲中學咁就去咗讀囉,咗啲忠學噉就去咗讀中學囖,10,6
116,乜話,爹話,2,1
117,總共讀咗幾多年書,董共做咗幾多連書,8,3
118,有,豆,1,1
119,一路讀到而家,一路讀倒而家,6,1
120,喔,哦,1,1
121,十六,揼六,2,1
122,然後咧就二十,然後安就二十,6,1
123,廿四,特四,2,1
124,讀到佢哋唔想讀為止囉,讀到佢哋唔想讀來子囖,10,3
125,每一個人咧都係要成日要學習㗎嘛,哋一個人爹都係要成日要學習歌马,15,4
126,咁雖然有時唔一定話就去學校度讀書,抌需然有時唔一定話要去學校度讀書,16,3
127,但係咧,但係囉,3,1
128,自己都可以讀㗎嘛,自己都可以讀她马,8,2
129,咁所以我諗我啲細佬仔起碼都要,抌所以我想我啲細路仔都起马爹要,14,6
130,有大學畢業啦,又大學筆業啦,6,2
131,咁然後咧最好就有碩士啦因為如果唔係,噉然後囖最好就又石事哩因為如嗰唔係,17,7
132,咁然後咧最好就有碩士啦因為如果唔係,而家都好欄搵嘢做嘅阿马,17,16
133,咁咁如果佢哋自己鍾意囉,抌噉如果佢哋自己鍾意囖,11,3
