NUM,EXPECTED,C2M27A_qwerty,# characters,edit distance
1,講中文啊,擋中文啊,4,1
2,真係㗎,丹係呀,3,2
5,中文名啊,東文名啊,4,1
6,我叫做,到叫做,3,1
9,一一九八三年,一一九U三年,6,1
10,喺多倫多出世,抵多輪多出細,6,3
11,第一沓地方啊係,第一笪地方啊第,7,2
12,啊而家都係住緊㗎係喺即係個地址啊,而家都係住緊個係喺遮係個地子啊,16,4
13,係囉多倫多,係囉多輪多,5,1
15,係個屋嚟嘅,第個屋離嘅,5,2
16,屋企有媽咪爹哋同埋一個大佬,爹企有妈咪爹爹同賣一個大佬,13,4
17,爹哋媽咪唔係喺度出世㗎,爹哋媽咪唔係喺度出細啊,11,2
18,佢哋係喺香港出世嘅咁就好即係學生就移民嚟加拿大,隊哋係喺張擋出細嘅噉就好啫係學生就移民離喇嚹大,23,9
19,啊我都唔係幾清楚不過好似我爹哋嚟度讀大學,我都唔係幾清楚不過好似我爹哋離利度踏讀大學,20,4
20,應該係廿幾歲囉我媽咪都係一樣廿幾歲囉,應該係廿幾歲囖我妈咪都係一樣廿幾歲囖,18,3
21,即係點樣約啊,遮係點U約啊,6,2
22,故事啊,故事呀,3,1
23,都冇嘅乜因為我媽咪點樣應該係哦我爹地係,都冇嘅乜因為我媽咪點U應該係哦我爹哋係,19,2
24,嚟呢度讀書囉到移民應該係,離利度讀書囉度移慢愛離囉應該係,12,7
25,係囉我唔係幾清楚不過好似媽咪係即係一佢個大佬移民嚟先咁就,係囉到唔係記清楚不過好似媽咪係遮係一佢個大佬兒民離先就,28,6
26,咁就佢申請就係囉易啲囉,噉就佢申請就係囖二啲囖,11,4
27,我區啊,倒區啊,3,1
28,印度人啦有希臘人啦,印度人阿有唏獵人啦,9,3
29,人人都有有啲中國人嘅,人人都有有啲中國人嘅,10,0
30,啲鄰居啊都幾好啊即係打招呼啊如果見到係囉,啲輪居啊都幾好啊姐係打招呼啊如見到係囖,20,4
31,互相幫助都唔都唔會嘅即係我哋都唔係成日都傾計剩係打招呼咋係囉,杜需幫U都唔都唔會𠸏機哦哋都唔係成日都傾偈淨係打招呼咋係囖,30,10
32,都係嘅係囉,都係𠸏係囖,5,2
33,即係,爹,2,2
34,好怪嘅事啊,怪嘅事啊,5,1
37,即係唔而家唔諗到囉,飛唔而家唔林倒囉,9,4
38,我鍾意我佢即係近啦,我鍾意我區姐係干啦,9,3
39,即係唔行路就可以五分鐘就可以搭到囉,飛唔行路就可意五分鐘就可以搭倒囉,17,4
40,同埋即係都幾靜嘅即係治安都幾都㗎係囉,動賣遮係都幾正𠸏啫至安都幾都啊係囖,18,10
41,搬啊,U啊,2,1
42,啊係囉大個啲就,係囉大個啲就,7,1
43,係囉都會諗過搬嘅不過,係囉都會林過搬嘅乜過,10,2
44,係囉搬應該喔鍾意住係囉,係囉搬應該我鍾意住係囖,11,2
45,係囉因為近多啲嘢就喔鍾意住囉,第囉因為揾多啲嘢就我鍾意住囖,14,4
46,同啲朋友啊,動啲朋友啊,5,1
48,出街食飯囉,出街食飯囉,5,0
49,即係個名啊,遮下個名哦,5,3
50,個名係叫做,躲名係叫做,5,1
51,中學係叫做,冬學係叫就,5,2
52,啊特別嘢啊,特別嘢誒,5,2
54,特別嘢啊,特別嘢誒,4,1
56,啊冬天有一次有啲人即係整個好大個,冬天有一次有啲人機整個好大個,16,3
57,即係地方用雪整嘅,遮係哋方用雪整嘅,8,2
58,就即係啲細路好似我可能捐嚟捐去囉好玩係囉,嗯就遮係啲細路好切我可以捐離捐去囖好玩係囖,20,7
60,應該都幾好嘅我覺得係囉,應該都幾好𠸏我覺得係囖,11,2
61,啊小學應該都都幾鍾意嘅,小學應該都都幾鍾意𠸏,11,2
62,因為我試過即係大個啲就聯絡返嗰啲小學啲學生囉咁就係囉,因為我試過啫係大個啲就聯落返個啲小學啲學生囖噉就係囖,26,6
63,唔好啊,唔好呀,3,1
65,應該小學都冇嘅係囉都幾好㗎,應該小學都冇嘅係囖都幾好個,13,2
66,中學啲啊都嘅係囉,東學啲誒都𠸏係囉,8,3
67,唔好應該冇,唔係應該冇,5,1
68,啲壞嗰啲啊,啲懷嗰啲啊,5,1
69,一兩次囉都唔係幾大鑊嘅係囉即係,一兩次囉都唔係幾大鑊𠸏係囖啫係,15,3
70,係囉玩嚟玩去就係囉,係囉玩離玩去就係囉,9,1
71,都唔係幾嚴重啫,都唔係幾嚴重啫,7,0
72,都唔記得囉應該都係成班罰嘅唔係剩係自己一個,都唔記得囖應該都係成班U𠸏唔係淨係自己一個,21,4
74,會唔會太細遠啊,掉唔會太細遠啊,7,1
78,哦即係多倫多啊,啊姐係多倫多啊,7,2
79,大事啊,大事呃,3,1
80,落雪囉,落雪囉,3,0
81,落雪即係一兩次就落得好大咁就即係唔返得學啊即係,度雪啫係一兩次就落得好大噉就啫係唔番得學啊啫係,23,6
82,係囉鏟雪都唔鏟得啊因為好高囉,第囉鏟雪都唔餐得啊因為好高囖,14,3
83,啊哈啊哈有嘅我仲記得有一次即係,有嘅到仲記得有一次啫係,15,6
84,唔係剩係多倫多啊即係,唔係淨係多倫多個啫係,10,3
85,係囉,係囉,2,0
86,嗰陣時啊嗰陣時就返屋企囉就,U事啊趕事就番屋企囖就,13,8
