NUM,EXPECTED,C1F83A_qwerty,# characters,edit distance
1,可以講中文,可以用中文,5,1
2,好好呀,好好呀,3,0
3,我哋盡量講中文,我哋盡量講中文,7,0
4,呀就你英文比我好,阿就你英文俾我好,8,2
5,我中文就比你好呀,我中文就俾你好呀,8,1
6,我係年,我係年,3,0
7,係,係,1,0
8,今年係八十三歲,今年係八十三歲,7,0
9,我有五兄弟姊妹五個,我有五興弟姊妹五個,9,1
10,我係中間嘅,我係中間嘅,5,0
11,吓我有兩個阿哥,下我有兩個吖歌,7,3
12,一個細佬一個阿妹,一個細佬一個吖妹,8,1
13,第一地都話我喺香港出世,第一地都話我喺香港出細,11,1
14,爸爸媽媽就喺鄉下出世但係好早呢就嚟咗香港,爸巴嫲媽就喺香下出細但係好早U就離咗香港,20,6
15,係佢哋都未返過鄉下,係佢哋都未返戈香下,9,2
16,所以我都唔知,所以我都唔知,6,0
17,我知道鄉下喺邊度,我知度香下喺邊度,8,2
18,但係我未曾返過鄉下,但係我未層返戈香下,9,3
19,但係到我好大個嘅時候呢,但係到我好大個嘅時候哩,11,1
20,去旅行我反嚟返過去,U旅行我反嚟返過去,9,1
21,但係已經嗰度唔係我鄉下啦,但係已經嗰度唔係我鄉下啦,12,0
22,香港先至係我鄉下,香港先至係我鄉下,8,0
23,我童年讀書,我同年讀書,5,1
25,就我,就我,2,0
26,我七歲先至讀書嘅,我七歲先至讀書嘅,8,0
27,因為我哋細個嘅時候呢,因為我哋細個嘅時候惡,10,1
28,我哋即係,我哋啫係,4,1
29,二十,二十,2,0
30,係二十年代呀可以講,係二十連代啊可以講,9,2
31,啲媽媽呢就唔鍾意啲女讀書嘅,啲嫲媽就唔鍾意啲女讀書嘅,13,2
32,就認為啲女一結咗婚呢就係,就認為啲水一結咗婚U就係,12,2
33,嫁咗出去呢就唔屬於自己㗎喇,架咗出去就唔屬如自機架喇,13,5
35,所以呢我好遲先讀書,所以囉我好遲先讀書,9,1
36,但係有七歲嘅時候讀書,但係有七歲嘅時候讀書,10,0
37,因為我媽咪呢好迷信呀,因為我媽咪好迷唇呀,10,2
38,吓咁佢又唔比我讀書嘅,吓咁佢又誒俾我讀書嘅,10,2
39,但係我我爹哋我爸爸呢就話,但係我我爹二嘢我爸巴U就話,12,4
40,女仔而家呢個年代呢女仔一定要讀書,旅仔而家利個連代囖裏仔一定要讀書,16,5
41,因為佢唔識字,因為佢嗯識字,6,1
42,佢好唔方便成日比人呃佢,佢好唔方便成日俾人扼佢,11,2
43,吓咁又即佢除咗識得寫自己個名其他乜都唔識,下噉有啫佢除咗識得寫自己個名其他乜都唔識,20,4
44,咁佢做生意呢就好蝕底呀,咁佢做生意嘢就好蝕底啊,11,2
45,你明唔明白蝕底呀,你明唔明白蝕抵呀,8,1
46,係咁即係咁所以佢認為呢,係咁遮係噉所以佢認為乐,11,3
47,要要讀書要識字一定要識字做人一定要識字,要要讀書要識字一定要識自做人一定要識字,19,1
48,所以爸爸呢比我讀書,所以爸巴囉俾我讀書,9,3
49,咁我初時讀書嘅時候呢係讀中文嘅,咁我初時讀書嘅時候哩係讀中文嘅,15,1
50,就嗰陣時嗰個年代好少英文嘅,就嗰陣時嗰個連代可小英文嘅,13,3
51,所以我自細呢我嘅中文已經好好,所以我自洗U我嘅中文已經好好,14,2
52,嚴呀唔係好嚴,炎呀唔係好嚴唔係好嚴,6,5
53,我媽媽就鍾意打麻雀,我嫲媽就鍾意打麻著,9,2
54,所以佢呢啲時間去曬打麻雀無時間管我,所以佢哩啲時間去晒打麻著冇時間館我,17,5
55,無時間理我,冇時間理我,5,1
56,但係喺嗰陣時候呢,但係喺嗰震時候U,8,2
57,就嗰風氣好好,就嗰封氣好好,6,1
58,細佬哥呢唔會太過學壞嘅,細佬哥哩唔會太過學壞嘅,11,1
59,有規矩,有規U,3,1
60,我嘅家庭嘅規矩係一定要拜神,我嘅家停嘅規舉係一定要拜神,13,2
61,吓佢未曾認識主耶穌嘅,吓佢未恆認識主耶穌𡃉,10,2
62,所以呢有拜好多嘅神,所以囉又拜好多嘅神,9,2
63,甚至啲樹又拜石頭又拜,甚至啲樹又拜石頭又拜,10,0
64,總然之要拜好多個神,總然知要拜好多個神,9,1
65,好迷我媽媽好迷信,好迷我嫲媽好U信,8,2
66,佢又鍾意打麻雀鍾意賭所以佢非常迷信,佢又鍾意打麻雀鍾意到所以佢飛常迷信,17,2
67,佢個規矩就係,佢個規U就係,6,1
68,唔可以講啲唔好聽嘅說話,唔可以講啲唔好聽个說話,11,1
69,我兩個哥哥呢就唔係我媽咪生嘅,我兩個哥歌哩就唔係我媽咪生嘅,14,2
70,係喇即係以前嗰個唔喺度喇,係喇遮係以前嗰個唔係度喇,12,2
71,噉所以我媽咪呢因為鍾意打麻雀啦好少理佢哋兩個,噉所以我嫲咪囖因為鍾意打麻雀喇好少理佢哋兩個,22,3
72,咁反為我讀書呀寫字呀係我哥哥教我教我多啲,噉反為我讀書啊寫字啊係我哥哥教我教我多啲,20,3
73,係喇噉我嘅妹呢就係另外一個生嘅,係喇噉我個妹U就係另外一個生嘅,15,2
74,吓我同佢呢又係好少來往嘅,下我同佢囖又係好少來皇嘅,12,3
75,佢喺另外一個地方住,佢喺另外一個地方住,9,0
76,吓總之係我同我細佬同埋一個媽咪,下總之係我同我細佬同埋一個媽咪,15,1
77,咁所以我同我細細佬呢個感情幾好嘅,噉所以我同我細細佬囖個国情幾好嘅,16,3
78,佢唔喺度喇,佢唔係度喇,5,1
79,佢喺香港,佢喺響缸,4,2
80,即舊年聽見講佢已經唔喺度喇,遮舊年聽見講佢已經唔喺度喇,13,1
81,我返去都見唔到佢,我返去都見唔倒佢,8,1
83,即喺你講你點解因為佢做股票,遮喺李講你點解丹為佢做股票,13,3
84,咁呀有一年呢九九四年佢個心臟有問題,噉啊有一連囖九九四連佢個心臟有問題,17,5
85,佢要入醫院做手術,佢要入醫院做手術,8,0
86,咁我朝朝早呢我都係煲嘢拎去醫院比佢食,噉我朝朝早U我都係煲嘢拎去醫院俾佢食,18,3
87,咁佢好返出院嘅時候呢醫生叫佢唔可以再過刺激嘅生活,噉佢好返出院嘅時候U醫生叫佢唔可以再個次激嘅生活,24,4
88,咁佢做股票呢啲股票上落你熱唔熱呀,噉佢做股票哩啲股票想落里熱唔熱啊,16,5
89,係,係,1,0
90,啲股票上落呢就好刺激,啲鼓票上落喎就好次激,10,3
91,咁所以呢佢要退休啦,噉所以囖佢要退休哩,9,3
92,唔可以再喺股票市場嗰度呀做事喇,唔可以再喺股票市場嗰度做市嚹,15,3
93,咁呀呢知道呢就寫信叫我哋過嚟,噉啊哩之度哩就寫信叫我哋過離,14,7
94,吓佢可以照顧我哋噉,下佢可以照顧我哋噉,9,1
95,咁我覺得呢加拿大嘅空氣會比香港好,噉我覺得哩加拿大嘅空氣會俾香港好,16,3
96,居住嘅環境呢比香港好噉所以決定移民過嚟呢度噉,居住嘅還境哩俾香港好噉所以決定移民過離利度噉,22,5
97,啊呢度士嘉堡嘅區呢買嘢方便食嘢方便啦呀,哩度時家煲嘅區囖買嘢方便食嘢方便喇,19,8
98,就算我唔需要車呢我都可以行過對面馬路可以買嘢可以飲茶可以食嘢咁,就算我唔需要車哩我都可以行過對面馬路可以買嘢可以飲查可以食嘢噉,31,3
99,比我好大個方便吓,俾我好大個方便吓,8,1
100,以前我住嗰個同嗰度就好唔方便啦,以前我住嗰個同嗰度就好唔方便喇,15,1
101,吓因為我唔識揸車我哋兩個都唔識揸車,下因為我唔識揸車我哋兩個都唔識揸車,17,1
102,考咗三次呢都都唔嘅咁所以無再學啦,考咗三遲啊都都唔嘅噉所以冇再學囖,16,5
103,因為我喺香港呢都無揸車,因為我係嚮公嘞都冇揸車,11,5
104,吓咁大年紀嚟到呢度學揸車呢即即個反應無咁好,吓噉大個連幾離到哩度學揸車哩啫姐個反應冇咁好,21,10
105,所以呢呢即係我個女呢都唔主張我哋揸車係呀,所以哩哩遮係我個裏囖都唔煮張我哋揸車係啊,20,7
106,驚住我哋容易有意外,驚住我哋容易有意外,9,0
107,最難最唔適應呢就係自己嘅英文唔好,最難最唔識應囖就係自己嘅英文唔好,16,2
108,係呀,係呀,2,0
109,不過都唔緊要啦我而家住喺區呢都好多華人,不過都唔緊要啦我而家住喺區嘞都好多華人,19,1
110,我亦都有好多朋友噉樣,我亦都有好多朋友噉樣,10,0
111,即係又無外國嘅朋友所以都係都唔會話唔方便嘅吓,遮又冇外國嘅朋友所以都係都唔會話唔方邊嘅吓,22,4
112,即係有陣時去啲外國嘅公司呀嘅去嘅時後呢需要講英語呢就麻煩啲啦,遮係有陣時去啲外國嘅公司啊嘅去嘅時候囖需要講英雨U就馬返啲喇,30,9
113,不過少少我都嘅吓,不過少少我都嘅吓,8,0
114,有有有學過少少英文,有有有學過少少英文,9,0
115,阿細個時候我教佢英文嘅,呀細個時候我嚿佢英文嘅,11,2
116,呀嗰啲哈哈哈係我係我教佢嘅係喇,呀嗰啲哈哈哈係我係我教佢嘅係嚹,15,1
117,即係好好簡單嘅單字我教佢,遮係好好簡單嘅單字我教去,12,2
118,就唔唔可以成句英文講,就唔唔可以成對英文講,10,1
119,啦我係識嘅但係將佢冚唪唥夾埋我就唔識嘅,啦我係識嘅單係將佢扻罷冷集埋我就唔識嘅,19,5
120,你明唔明白我講呀,你明唔明白我講呀,8,0
121,我係中國人呀,我係中國人呀,6,0
122,咁當然係除咗我廣東話我仲識國語嘅,噉當然係除咗我廣東話我仲識講國語嘅,16,2
123,國語都啦吓,國語都喇吓,5,1
124,我國語呢就係第一我就係學時代曲嘅國語時代曲,我國語屋就係第一我就係學時袋曲嘅國語時袋曲,21,3
125,吓喺喺喺啲呀啲呀嗰度,下係係係啲呀啲呀嗰度,10,4
126,喺喺啲歌國語歌嗰度學返嚟,喺喺啲歌國語哥嗰度學返來,12,2
127,同埋交下啲外即係外省嘅朋友啊噉樣,同埋高下啲外遮係外生架朋友啊噉樣,16,4
128,同佢哋嗰時候講得多喇噉,同佢哋講時候講得多嚹噉,11,2
129,我講錯呢咁佢又話比我聽咁樣,我講楚瀉噉佢有話比我聽噉樣,13,5
130,咁呀先學到國語,噉啊先學到國語,7,2
131,我喺呢度呢都有外省嘅朋友呀講國語㗎嘛,我喺利度哩都有外生架朋友啊講國語𡃉嘛,18,6
132,吓不過就即係比較少機會講係呀,下不過就遮係俾搞小機會講係啊,14,6
