NUM,EXPECTED,C2M23B_qwerty,# characters,edit distance
1,英文名叫中文就,英文名叫中文就,7,0
2,我係多倫多出世,我係多輪多出細,7,2
3,今年我廿三歲,今年我廿三歲,6,0
4,我一九九三年,我一九九三年,6,0
5,佢哋香港出世,佢哋香港出細,6,1
6,我住士嘉堡,我住士家寶,5,2
7,我住即係細細間嗰啲屋,我住即係細世間嗰啲岸,10,2
8,而家仲住緊廿幾年,而家仲住緊廿幾年,8,0
9,我有個家姐大家姐,我有個家姐大家姐,8,0
10,佢哋都好似係香港一啲就九龍呀都係香港附近嘅,佢哋都好似係香港一啲就九龍吖都係香港附近嘅,21,1
11,唔係幾識,唔係幾識,4,0
12,佢哋可能卅呀零歲啦或者,佢哋可能沙阿浪歲喇或者,11,4
13,我十二年前返過去一次,我十二年前反過去一次,10,1
14,都鍾意好似而家咁又熱又焗,都鍾意好似而家咁又熱又焗,12,0
15,我去咗兩三個星期,我去咗兩三個星期,8,0
17,最鐘意海洋公園呀叫做好似係有個公園呀嗰啲又唔買衫呀又行街囉,最鍾意海洋公完吖叫做好似係有個公完吖嗰啲又唔買三吖又恆街囖,29,9
18,食嘢都好,食嘢都好,4,0
19,未開呀個陣時好似未開呀啱啱開啫咁冇,未開阿個陣時好似未開吖啱啱開啫咁冇,17,2
21,都算我第一份工係啊我做係嘅,都算我第一份工係啊我做係嘅,13,0
22,咁我啱啱喺畢業咁我而家九月就會喺度讀繼續讀,咁我啱啱喺畢業咁我而家九月就會喺度讀繼續讀,21,0
23,我讀化學得博士,我讀化學得博士,7,0
24,都係化學係,都係化學係,5,0
25,點解過,點解過,3,0
26,無乜特別囉可能有好多佢啲朋友都移民,無乜特別囉可能有好多佢啲朋友都移慢,17,1
27,都好多中國人呀西人呀好多,都好多中國人阿塞人吖好多,12,3
28,而家度度都有囉學校遠啲咁有好多,而家度度都有囉學校遠啲咁有好多,15,0
29,係,係,1,0
30,哦唔係我跳咗係,哦唔係我跳咗係,7,0
31,唔同啲囉都好多人啲街呀多啲人,唔同啲囉都好多人啲街吖多啲人,14,1
32,附近有多啲嘢食呀即係啲鋪頭開得夜啲呀,附近有多啲嘢食吖即係啲鋪頭開得夜啲吖,18,2
33,哦因為係屋企附近囉同轉吓環境又好啲囉,哦因為係U企附近囉同轉客環境又好啲囖,18,3
34,多數中學果啲係嘅不過有啲新朋友,多數中學果啲係嘅不過有啲新朋友,15,0
35,之前就係囉但係而家好啲條街就囉遠的就亂啲,之前就係囉但係而家好啲條街就囉遠的就亂啲,20,0
37,而家我就未上堂所以難啲講不過我諗應該好啲因為佢哋一個圓圈個個都喺果度讀書嘅,而家我就未上堂所以難啲講不過我林應該好啲因為佢哋一個圓圈個個都喺果度讀書嘅,37,1
38,佢呢度都有好多人,佢呢度都有好多人,8,0
39,我而家係個果度做緊,我而家係個果度做緊,9,0
40,尋唔到喇係我自己開始咗啲等第二日開始讀果陣時會易啲轉囉,尋唔到啦係我自己開始咗啲等第二日開始讀果陣時會二啲轉囉,27,2
41,出去有時睇戲呀打機呀有時還啲呀,出去有時睇戲阿打機吖有時還啲吖,15,3
42,多數傾偈囉而家,多掃傾偈囉而家,7,1
43,係囉係囉,係囖係囖,4,2
44,都會都會嘅有時想玩佢哋啲嘢呀或者想舒服啲呀,都會都會嘅有時想玩佢哋啲嘢啊或者想舒服啲吖,21,2
46,我應該去睇吓嘅好耐都未睇過啲新嘢呀不過未有時間,我應該去睇客嘅好耐都未睇過啲新嘢吖不過未有時間,23,2
47,得閒呀我鍾意聽音樂呀彈琴呀讀書呀,得閒吖我鍾意挺音落吖萬琴吖讀書吖,16,7
48,無乜特別囉,毛乜特別囉,5,1
49,我彈咗都十幾年囉,我慢咗都十幾年囖,8,2
50,係呀多數都係呀,係吖多數刀係吖,7,3
51,而家鍾意但係以前就彈個啲簿就無咁好玩囉而家自己搵啲歌呀,而家鍾意但係以前就萬個啲部就無咁好玩囖而家自己搵啲哥吖,27,5
52,係呀係呀即係我唔係彈得太勁嘅不過自己學囉,係啊係吖即係我唔係彈得太勁嘅不過自己學囖,20,3
53,鍾意聽我鍾意嗰啲嗰啲音樂呀即係啲啲囉,鍾意挺我鍾意嗰啲嗰啲音落吖即係啲啲囖,18,4
54,係多數外國,係多數外國,5,0
55,我家庭就講囉屋企就講囉出去就少好多,我家停就講囉岸企就講囉出去就小好多,17,3
56,有好耐冇返但係細個果陣時返咗可能六年到啦不過好快唔記得哂啦少寫呀少讀呀,有好耐冇反但係細個果陣時反咗可能六年到喇不過好快唔記得U喇小寫阿小讀吖,35,9
57,即係中學我返一間叫做嘅喺附近可能遠少少嘅,即係中學我反一間叫做嘅喺附近可能遠少少嘅,20,1
58,吓呢度就好似樣樣都大好多囉多啲人多啲嘢呀,嚇呢度就好似樣樣都大好多囉多啲人多啲嘢吖,20,2
59,依度嘅有講勁啲呀,依度嘅有講勁啲吖,8,1
60,哦我都唔係幾知嘅不過我中學我就鍾意煮嘢食果啲堂呀嗰啲嗰啲堂我諗住入嗰行嘅不過,哦我都唔係幾知嘅不過我中學我就鍾意煮嘢食果啲堂吖嗰啲嗰啲堂我林住入嗰行嘅不過,38,2
61,嗰啲又十二年班又唔係幾知想做啲咩咁選咗化學因為啲呀呀冇咁高份囉,嗰啲又十二年班又唔係幾知想做啲咩咁損咗化學因為啲吖吖冇咁高份囉,31,3
62,係囉咁跟住讀幾讀讀得幾好咪繼續讀囉,係囉咁跟住讀幾讀讀得幾好咪繼續讀囖,17,1
63,就咁係好少嘢,就咁係好少嘢,6,0
64,冇樣樣堂堂都係化學咁咪,冇樣樣堂堂都係化學咁咪,11,0
65,邊度呀我好耐冇去啦之前我去過溫哥華呀呀加拿大嘅東邊呀,邊度啊我好耐冇去啦之前我去過溫哥華吖阿加拿大嘅冬邊吖,26,5
66,加拿大都渣過車去嘅,加拿大都揸過車去嘅,9,1
67,少啲囉依家冇囉,小啲囉衣家冇囉,7,2
68,哦東邊嗰啲好多係好多囉佢哋好嘅有好多嘢食嘅,哦東邊嗰啲好多係好多囖佢哋好嘅有好多嘢食嘅,21,1
69,即係,即係,2,0
70,係囉係囉多倫多大城市乜都可以食不過佢哋東邊就食咗啲龍蝦呀嗰啲嘢囉,係囖係囖多輪多大成市乜都可以食不過佢哋冬邊就食咗啲龍蝦阿嗰啲嘢囖,32,7
71,我都鍾意食中菜多啲即係想食多啲清啲囉冇咁多炸嘢呀,我都鍾意食中菜多啲即係想食多啲清啲囖冇咁多咋嘢啊,24,3
72,我都會去諗住去歐洲囉或者日本呀韓國呀嗰啲都好台灣呀聽講果度都有好多嘢食,我都會去U住去U洲囉或者日本吖韓國吖嗰啲都好台灣阿挺講果度都有好多嘢食,35,6
73,係哦我聽過我啲朋友去過咁咪佢哋又好似好玩咁咪應該好多嘢睇,係哦我挺過我啲朋友去過咁咪佢哋又好似好玩咁咪應該好多嘢睇,28,1
74,冇乜但係我有時就會睇不過唔係太跟住佢哋,冇乜但係我有時就會睇不過唔係太跟住佢哋,19,0
75,卡通片嗰啲,卡通片嗰啲,5,0
76,嗰啲動畫係我少睇囉但係啲書啲漫畫就有時讀囉,嗰啲動話係我小睇囉但係啲書啲萬話就有時讀囖,21,5
77,日本哦,日本哦,3,0
78,唔係幾知喎即係嗰啲,唔係幾知嘩即係嗰啲,9,1
79,係囉係囉不過我都聽過啲細個啲城市都幾好都去得嘅,係囖係囖不過我都挺過啲細個啲成市都幾好都去得嘅,23,4
80,係呀有時囉,係吖有時囖,5,2
81,我打多數係卡果啲囉即係呀或者即係走嚟走去果啲,我打多數係卡果啲囉即係阿或者即係酒來走去果啲,22,3
82,我冇乜玩我試過以前試過少玩,我冇乜玩我試過以前試過小玩,13,1
83,吓都幾好我唔係幾識玩但係而家好多人玩好多朋友玩,嚇都幾好我唔係幾識玩但係而家好多人玩好多朋友玩,23,1
84,嗰啲就冇嗰啲就有啲朋友玩所以我都識識哋囉不過少啲,嗰啲就冇嗰啲就有啲朋友玩所以我都識識哋囖不過少啲,24,1
85,係囉即係快啲嗰啲囉,係囖即係快啲嗰啲囖,9,2
86,哦多數屋企人囉即係去加拿大附近呀或者美國呀,哦多數U企人囉即係去加拿大附近吖或者美國吖,21,3
87,都算好,都算好,3,0
88,多數都係出去食點心或者行吓街呀喺屋企呀無乜太特別以前就成日去旅行而家就家姐自己去旅行囉,多數刀係出去食點心或者恆嚇佳吖喺U企吖無乜太特別以前就成日去旅行而家就家姐自己去旅行囖,43,8
89,因為我喺讀有咁咪無暑假嘅咁咪無乜時間去囉,因為我喺讀有咁咪無暑假嘅咁咪毛乜時間去囖,20,2
90,佢大我一年半,佢大我一年半,6,0
91,都幾親密,都幾親密,4,0
92,係即係住屋企不過而家佢去咗英國倫敦果度做嘢,係即係住U企不過而家佢去咗英國唇敦果度做嘢,21,2
93,佢去咗半年嘅咁佢遲啲會返返嚟,佢去咗半年嘅咁佢遲啲會返反來,14,2
94,我想不過我嘅家庭又喺度咁咪難啲囉,我想不過我嘅家停又喺度咁咩難啲囉,16,2
95,做嘢吖,做嘢吖,3,0
96,我聽果度呀啲呀嗰度做都幾好嘅不過英國分走呢就麻煩咗好多所以呢度都好啲,我挺果度吖啲吖嗰度做都幾好嘅不過英國分走呢就麻煩咗好多所以呢度都好啲,34,3
97,佢會影響好多嗰啲即係佢哋會散晒以前呢嗰啲呢就會分晒俾啲大學嘅不過依家會散啲囉所以要在諗過,佢會影響好多嗰啲即係佢哋會散晒以前呢嗰啲呢就會分晒俾啲大學嘅不過依家會散啲囖所以要在林過,44,2
98,跌咗好低係囉,跌咗好低係囉,6,0
100,我唔係幾識,我唔係幾識,5,0
101,好怕呀,好怕吖,3,1
102,無乜特別囉,毛乜特別囉,5,1
103,唔食呀,唔食吖,3,1
104,好鍾意食或者唔食,好鍾意食或者唔食,8,0
105,好鐘意食就甜嘢多囉不過唔食就我都會試嘅就食少啲囉仲有啲嗰啲呀酸啲呀苦啲嗰啲就麻麻地囉,好鍾意食就甜嘢多囖不過唔食就我都會試嘅就食小啲囖重有啲嗰啲啊酸啲吖苦啲嗰啲就嫲嫲哋囖,42,11
106,佢哋都好家庭任我揀嘅佢哋諗有生活就得囉即係搵到錢就得囉,佢哋都好家停任我揀嘅佢哋林有生活就得囖即係揾到錢就得囖,27,5
107,不過佢又冇特別推我去一行咁都好,不過佢又冇特別推我去一恆咁都好,15,1
108,冇乜特別因為我以前細個講過想讀醫嘅咁佢哋又哦咁咪好囉咁就冇講第樣嘢,冇乜特別因為我以前細個講過想讀依嘅咁佢哋又哦咁咪好囉咁就冇講第樣嘢,33,1
109,咁我做過喺做過啲嗰啲嘢嘅咁我又喺做過一次呀同埋即係我係研究空氣啲嘢或者嗰啲嘢呀,咁我做過喺做過啲嗰啲嘢嘅咁我又喺做過一次吖同埋即係我係研究空氣啲嘢或者嗰啲嘢啊,39,2
110,同埋上年我喺做咗機場嗰啲呀即係炸物或者毒物嗰啲,同埋上年我喺做咗機場嗰啲吖即係咋襪或者讀物嗰啲,23,4
111,都有政府都有幾多工架,都有政府都有幾多公㗎,10,2
112,係呀係呀,係吖係吖,4,2
113,係呀係呀都幾好係呀又舒服政府果啲工,係吖係吖都幾好係啊又舒服政府果啲工,17,3
114,美國都有美國都好就麻煩啲囉同埋如果喺美國讀書咁又要寫多啲試呀,美國都有美國都好就麻煩啲囖同埋如果喺美國讀書咁又要寫多啲試吖,30,2
115,有家庭相嗰啲,有嘉停箱嗰啲,6,3
116,我有一輛都無返聖堂嘅而家又開始返返囉,我有一亮都無反性堂嘅而家又開始販反囖,18,6
117,呀唔係呀,吖唔係吖,4,2
118,佢哋又無乜特別喎,佢哋又無乜特別嘩,8,1
119,哦而家唔知呀以前我家姐成日叫我返嘅不過而家我試返多啲囉諗多啲嘢囉,哦而家唔知阿以前我家這成日叫我反嘅不過而家我試反多啲囖林多啲嘢囖,32,7
120,而家都喺多倫多我都識返多啲人嘅,而家都还多輪多我都識反多啲人嘅,15,3
121,依度,姨度,2,1
122,星期四,星期四,3,0
123,演唱會去過一次我五年前都去咗睇,演唱會去過一次我五年前都去咗睇,15,0
124,我同我阿媽去,我同我阿媽去,6,0
125,佢想去嘅佢公司派咗啲飛咁咪去埋囉,佢想去嘅佢公司派咗啲飛咁咩去埋囖,16,2
126,朋友少啲囉幾個囉唔係太多人,朋友小啲囖幾個囉唔係太多人,13,2
127,都還幾個鐘囉有時成日囉少啲囉,都還幾個鐘囉有時成日囉小啲囉,14,1
128,係係,係係,2,0
129,特別嘢呀,特別嘢吖,4,1
130,冇乜特別腰果有時家庭想去行山呀出去,冇乜特別腰果有時家停想去恆山吖出去,17,3
131,呀平時都無乜特別係屋企瞓吓覺,阿平時都無乜特別係U企瞓客角,14,4
132,我哋就少啲囉我媽咪鍾意去囉而家仲揾咗啲朋友去咁咪有時去埋囉,我哋就小啲囖我媽咪鍾意去囖而家仲揾咗啲朋友去咁咪有時去埋囖,29,4
133,我普通囉如果吾系太熱我都去嘅,我普通囉如果悟係太熱我都去嘅,14,2
135,兩樣都會唔會出太多汗不過,兩樣都會唔會出太多汗不過,12,0
136,我都有我呢幾日都有睇少少多數跳水呀游水呀果啲,我都有我呢幾日都有睇少少多數跳水吖游水吖果啲,22,2
137,又唔係特別有興不過刺激啲囉睇嗰啲,又唔係特別有興不過次激啲囖睇嗰啲,16,2
138,我識但係我好耐冇游過唔知遊成點囉,我識但係我好耐冇油過唔知油成點囖,16,3
139,少少囉睇吓電視播邊樣囉多數,少少囉睇客電視播邊樣囉多掃,13,2
140,係呀,係吖,2,1
141,平時都有晚黑就有,平時都有晚黑就有,8,0
142,節目呀我多數睇煮食節目呀或者比賽嗰啲呀,節目吖我多數睇主食節目吖或者俾菜嗰啲吖,19,6
143,我鍾意識點煮不過就少啲煮囉,我鍾意識點煮不過就少啲煮囖,13,1
145,我講就好囉人哋就唔知啦普通啦煮得,我講就好囉人哋就唔知啦普通喇煮得,16,1
146,屋企就中式好普通嘅,U企就終色好普通嘅,9,3
147,平時有啲即係煲飯呀煮啲菜呀咁咪煮啲肉呀咁咪撈埋囉,平時有啲即係煲飯吖主啲菜吖咁咪煮啲肉吖咁咪撈埋囉,24,4
148,今日晏晝食三文治,今日眼晝食三文治,8,1
149,自己整嘅,自己整嘅,4,0
150,係係,係係,2,0
151,而家度度都迫咗好多囉佢哋搏命起屋而家多啲人囉乜人都有而家少咗啲西人囉多咗啲中國果啲人囉,而家度度都逼咗好多囉佢哋博命起U而家多啲人囖乜人都有而家小咗啲西人囉多咗啲中國果啲人囉,43,5
152,都有時我媽咪會成日話佢哋囉揸車唔好呀或者唔識啲規矩呀咁咪麻煩啲囉,都有時我媽咪會成日話佢哋囖揸車唔好啦或者唔識啲規U吖咁咪麻煩啲囖,32,5
153,係呀,係吖,2,1
154,我會我都想嘅,我會我都想嘅,6,0
155,我應該十八歲果陣時攞咗張身份證唔知佢做咩咁我或者下年可以返囉我唔係幾識,我應該十八歲果陣時攞咗張新份正唔知佢做咩咁我或者下年可以反囖我唔係幾識,35,4
156,做咩呀都差唔多行街買嘢呀食嘢呀,做咩吖都差唔多恆街買嘢啊食嘢吖,15,4
157,有係見佢哋都好,有係見佢哋都好,7,0
158,睇下佢哋幾多位應該會嘅,睇下佢哋幾多位應該會嘅,11,0
159,一啲就九龍啦或者尖沙咀呀我唔係幾識,一啲就九龍喇或者尖沙嘴吖我唔係幾識,17,3
160,果度係應該個頭嘅,果度係應該個頭嘅,8,0
161,哦即係啲地方,哦即係啲地方,6,0
162,嗰啲嗰啲車仔呀嗰啲上山嘅,嗰啲嗰啲車仔吖嗰啲上山嘅,12,1
163,附近呀又無乜特別一係女人街呀,附近吖又無乜特別一係女人街吖,14,2
164,佢都應該會去擒山,佢都應該會去擒山,8,0
165,新界好似去過唔係幾記得,新界好似去過唔係幾記得,11,0
166,中國我未去過,中國我未去過,6,0
167,又冇乜特別想去囉佢哋都有一啲大但係有好多地方都未去囉,又冇乜特別想去囉佢哋都有一啲大但係有好多地方都未去囖,26,1
168,哦我又無乜興趣囉,哦我又無乜興趣囖,8,1
169,係呀係呀佢哋個個都想睇嘅,係吖係吖佢哋個個都想睇嘅,12,2
170,係呀係呀佢哋去過同埋而家有好多團都去嗰邊呢,係吖係吖佢哋去過同埋而家有好多團都去嗰邊呢,21,2
171,係呀係呀咁都有搵工又難啲囉睇吓你信邊個呀搵朋友呀果啲都難,係吖係吖咁都有揾工又難啲囖睇客你信邊個吖揾朋友吖果啲都難,28,8
172,佢哋搵我個舅父同埋佢哋有好多朋友係果度囉,佢哋揾我個舅父同埋佢哋有好多朋友係果度囖,20,2
173,佢哋都識啲人係到都易少少囉,佢哋都識啲人係到都二少少囖,13,2
174,佢哋做會計兩個都係,佢哋做會計兩個都係,9,0
175,係尋唔到喇即係佢哋可能轉過幾次但係都係做個行,係尋唔到啦即係佢哋可能轉過幾次但係都係做個恆,22,2
176,香港好似都係讀會計,香港好似都係讀會計,9,0
177,唔知香港有個大學呀,唔知香港有個大學吖,9,1
178,咪可能嗰間囉,咪可能嗰間囖,6,1
179,佢哋又冇乜共但係我諗過去溫哥華囉佢哋都有啲朋友係果邊,佢哋又冇乜共但係我林過去溫哥華囖佢哋都有啲朋友係果邊,26,2
180,都有諗過不過而家屋價好貴都好難搬嚟搬去囉,都有林過不過而家U㗎好貴都好難搬嚟搬去囖,20,4
181,住係邊冇乜特別住囉或者搬上去果邊囉少啲人囉,住係邊冇乜特別住囉或者搬上去果邊囉小啲人囖,21,2
182,係囉好多區仔即係過多起緊好多如果我想住得大啲呀不過我都唔介意住細間屋囉喺附近,係囉好多區仔即係過多起緊好多如果我想住得大啲吖不過我都唔介U住世間岸囖喺附近,38,5
183,屋就住得舒服啲囉不過又要剷雪呀剪草呀咁咪麻煩啲咁都應該,U就住得舒服啲囖不過又要剷說吖剪草吖咁咪麻煩啲咁都應該,27,5
184,我都會住不過貴啲囉有時,我都會住不過貴啲囖有時,11,1
185,係呀清潔囉,係吖清潔囉,5,1
186,係呀係呀,係吖係吖,4,2
187,哦佢哋都會幫手嘅,哦佢哋刀會幫手嘅,8,1
188,依家就冇諗囉或者結婚果陣時囉唔知幾耐,依家就冇林囉或者結婚果陣時囖唔知幾耐,18,2
189,我想呀我又冇乜特別嘅卅零歲囉嗰度,我想啊我又冇乜特別嘅沙零歲囖嗰度,16,3
190,哦咁,哦咁,2,0
191,即係而家如果眼甘出嚟搵工呀或者讀書咁咪難啲好多人覺得你一結婚就應該搬埋一齊咁咪如果而家開始搵工呀就唔夠錢買屋囉,即係而家如果眼今出嚟揾公吖或者讀書咁啲難啲好多人覺得你一結婚就應該搬埋一齊咁咪如果而家開始揾工吖就唔夠錢買U囖,55,9
192,無乜特別囉無乜特別嘅如果你同朋友住嘅話就要啲囉即係幾乾淨呀幾時清潔呀嗰啲,無乜特別囉無乜特別嘅如果你同朋友住嘅話就要啲囖即係幾乾靜阿幾時清潔啊嗰啲,36,4
193,係呀我好鍾意架,係吖我好鍾意𡃉,7,2
194,係呀就係囉我多數係同啲唔識嘅人住嘅不過佢哋都唔係太污糟囉,係吖就係囖我多數係同啲唔識嘅人住嘅不過佢哋都唔係太污糟囖,28,3
195,而該喺屋企住不過遲啲就搬我九月就搬落嚟,而該喺U企住不過遲啲就搬我九月就搬樂嚟,19,2
196,我係及個頭喺對面嘅,我係及個頭喺對面嘅,9,0
197,果度有啲嗰啲,果度有啲嗰啲,6,0
198,係不過我朋友嘅,係不過我朋友嘅,7,0
199,佢又成日講囉不過我唔知佢幾時搬囉,佢又成日講囖不過我唔知佢幾時搬囖,16,2
200,佢就可能搬佢有個公司喺附近嘅咁佢可能睇吓你係邊度做囉近近地,佢就可能搬佢有個公司喺附近嘅咁佢可能睇客你係邊度做囖近近哋,29,3
201,佢都係會計,佢都係會計,5,0
202,佢都係跟住佢而家佢早兩年畢咗業,佢都係跟住佢而家佢早兩年筆咗葉,15,2
203,佢已經有架啦個係讀埋碩士考埋嘅,佢已經有𡃉喇個係讀埋石士考埋嘅,15,3
Total CER: 373/2959=0.13,,,,
