NUM,EXPECTED,C1M42A_qwerty,# characters,edit distance
1,吓,卡,1,1
2,即係而家全部用廣東話架啦吓,即係而家全部用廣東話𡃉喇嚇,13,3
3,一九七四年,一九七四年,5,0
4,最大大仔,最大大仔,4,0
5,仲有兩個妹,仲有兩個妹,5,0
6,香港,香港,2,0
7,那打素醫院所以我應該中環果邊掛,那打掃醫院所以我應該中環果邊啩,15,2
8,第一次搬去我,第一次搬去我,6,0
9,我出世果到係喺叫做珠璣大廈喺北角,我出細果到係喺叫做朱機大廈喺北角,16,3
10,住到十七十八歲,住到十七十八歲,7,0
11,十七歲我係喺我係過嚟讀書十八歲就移民,十七歲我係喺我係過來讀書十八歲就移慢,18,2
12,係係,係係,2,0
13,記得即係又咁有幾個階段啦細細個啦咁就細細個,記得即係又咁有幾個街斷啦細細個啦咁就細細個,21,2
14,咁最大嘅印象就係阿爸阿媽應該係阿媽好細個就拖住我返幼稚園,咁最大嘅印象就係阿巴阿媽應該係阿媽好細個就拖住我反幼U園,28,3
15,跟住就小學呢我就小學同中學我都係要搭車搭廿三號由北角去到麥當勞度果度返學嘅,跟住就小學呢我就小學同中學我都係要搭車搭廿三號游北覺去到麥當奴度果度反學嘅,37,4
16,咁就小學中學都係咁樣咁,咁就小學中學都係咁樣咁,11,0
17,係囉讀完中五就過咗嚟囉係啦,係囉讀完中五就過咗嚟囉係喇,13,1
19,我係呢度果陣時仲有第十三班嘅咁所以就,我係呢度果陣時仲有第十三班嘅咁所以就,18,0
20,考完香港會考走過嚟讀第十三班跟住就入,考完香港會考走過來讀第十三班跟住就入,18,1
21,我喺係讀即係個類嘅嘢,我喺係讀即係個類嘅嘢,10,0
22,我知道我阿媽應該係喺香港出世我阿爸就應該喺中國出世嘅但應該佢係四歲或者三歲就黎左香港,我知度我阿媽應該係喺香港出細我啊巴就應該喺中國出細嘅彈應該佢係四歲或者三歲就來咗香港,42,8
23,係邊度出世呀我唔知呀哈哈,係邊度出細啊我唔知阿蝦哈,12,4
24,頭先講喇我初初好似一個先鋒部隊咁樣啦就過咗嚟讀即係咁樣就過嚟啦咁跟住佢哋一年之後就過埋嚟咁樣囉,頭先講啦我初初好似一個先封部隊咁樣喇就過咗來讀即係咁樣就過嚟啦咁跟住佢哋一年之後就過埋來咁樣囉,47,5
25,咁所以我都唔係一齊過嚟我係嚟咗先,咁所以我都唔係一齊過嚟我係嚟咗先,16,0
26,一年我兩個妹同埋我阿媽係啦,一年我兩個妹同埋我阿媽係喇,13,1
27,如果我無記錯呢應該係我爹哋媽咪覺得即係九七問題啦即係,如果我毛記錯呢應該係我爹哋媽咪覺得即係九七問題喇即係,26,2
28,即係自由啦將來仔女自由得唔得呀咁所以佢哋就過咗嚟囉,即係字由喇醬來仔女自油得唔得阿咁所以佢哋就過咗嚟囉,25,5
29,係,係,1,0
30,哦勁唔捨得啦唔捨得啲同學啦唔捨得啲朋友啦唔捨得學校啦唔捨得有得吉魚蛋啦唔捨得有得係咁意落去就通街行喇可以買飯盒啦,哦勁唔寫得啦唔寫得啲同學喇唔寫得啲朋友喇唔寫得學校喇唔寫得有得拮如蛋喇唔寫得有得係咁意落去就通街恆喇可以買飯盒喇,56,14
